year,title,doc
2022,"Pilot Mental Health, Methodologies, and Findings: A Systematic Review","<title>Pilot Mental Health, Methodologies, and Findings: A Systematic Review</title>"
2022,PANDEMIC-INDUCED CRISES IN TOURISM AND HOSPITALITY – AN INDIAN CONTEXT,<title>PANDEMIC-INDUCED CRISES IN TOURISM AND HOSPITALITY – AN INDIAN CONTEXT</title>
2022,The Psychological Impact of COVID-19 on Pilot Mental Health and Wellbeing-Quarantine Experiences,<title>The Psychological Impact of COVID-19 on Pilot Mental Health and Wellbeing-Quarantine Experiences</title>
2022,"Comparison of Schedules, Stress, Sleep Problems, Fatigue, Mental Health and Well-being of Low Cost and Network Carrier Pilots","<title>Comparison of Schedules, Stress, Sleep Problems, Fatigue, Mental Health and Well-being of Low Cost and Network Carrier Pilots</title>"
2022,Hovering at the polls: Do helicopter parents prefer paternalistic political policies?,<title>Hovering at the polls: Do helicopter parents prefer paternalistic political policies?</title>
2022,Technology Adoption and Acceptance of Urban Air Mobility Systems: Identifying Public Perceptions and Integration Factors,<title>Technology Adoption and Acceptance of Urban Air Mobility Systems: Identifying Public Perceptions and Integration Factors</title>
2022,"Pilots’ Responses to Unexpected Events: Conceptual, Theoretical, Methodological, and Analytical Issues","<title>Pilots’ Responses to Unexpected Events: Conceptual, Theoretical, Methodological, and Analytical Issues</title>"
2022,Investigating a Computational Explanation of the Black Hole Illusion,<title>Investigating a Computational Explanation of the Black Hole Illusion</title>
2022,Cognitive Biases in Risk Communication during Post-Flight Debrief,<title>Cognitive Biases in Risk Communication during Post-Flight Debrief</title>
2022,Impact of COVID-19 on Job Satisfaction: The Case of Military and Airline Pilots,<title>Impact of COVID-19 on Job Satisfaction: The Case of Military and Airline Pilots</title>
2022,NeuroTracker Multiple Object Tracking Ability Predicts Novice Performance on a Simulated Air Traffic Control Task,<title>NeuroTracker Multiple Object Tracking Ability Predicts Novice Performance on a Simulated Air Traffic Control Task</title>
2022,Off-stage Heroes: The Antecedents and Consequences of Job Passion among Civil Aviation Maintenance Crew,<title>Off-stage Heroes: The Antecedents and Consequences of Job Passion among Civil Aviation Maintenance Crew</title>
2022,The Effect of Caffeine and Sleep Quality on Military Pilot Students’ Flight Performance-Related Cognitive Function,<title>The Effect of Caffeine and Sleep Quality on Military Pilot Students’ Flight Performance-Related Cognitive Function</title>
2022,Is There a Difference in Brain Functional Connectivity between Chinese Coal Mine Workers Who Have Engaged in Unsafe Behavior and Those Who Have Not?,<title>Is There a Difference in Brain Functional Connectivity between Chinese Coal Mine Workers Who Have Engaged in Unsafe Behavior and Those Who Have Not?</title>
2022,Investigation of Pilot Inceptor Workload and Workload Buildup Technique Through Simulator and In-Flight Studies,<title>Investigation of Pilot Inceptor Workload and Workload Buildup Technique Through Simulator and In-Flight Studies</title>
2022,Hybrid Human Error Assessment Approach for Critical Aircraft Maintenance Practice in the Training Aircraft,<title>Hybrid Human Error Assessment Approach for Critical Aircraft Maintenance Practice in the Training Aircraft</title>
2022,The Effect of Vocal Tone of Feedback on Student Pilot Performance,<title>The Effect of Vocal Tone of Feedback on Student Pilot Performance</title>
2022,Psychosocial Job Strain and Musculoskeletal Pain in Cabin Crew–Does Gender Matter?,<title>Psychosocial Job Strain and Musculoskeletal Pain in Cabin Crew–Does Gender Matter?</title>
2022,Why do Controllers Choose the Conflict Resolution Maneuvers that They Do?,<title>Why do Controllers Choose the Conflict Resolution Maneuvers that They Do?</title>
2022,"Effect of Fatigue in Air Traffic Controllers’ Workload, Situation Awareness, and Control Strategy","<title>Effect of Fatigue in Air Traffic Controllers’ Workload, Situation Awareness, and Control Strategy</title>"
2022,Forecast of Aviation Traffic in Indonesia Based on Google Trend and Macroeconomic Data using Long Short-Term Memory,<title>Forecast of Aviation Traffic in Indonesia Based on Google Trend and Macroeconomic Data using Long Short-Term Memory</title>
2022,Assessing Resilience Competencies in Collegiate Aviation and Aerospace Students,<title>Assessing Resilience Competencies in Collegiate Aviation and Aerospace Students</title>
2022,"COVID-19 and tourism stakeholders: experience, behaviour and transformation","<title>COVID-19 and tourism stakeholders: experience, behaviour and transformation</title>"
2022,The Association of Occupational Stress with Anxiety among Chinese Civil Pilots: The Moderating Role of Type A Behavior Pattern,<title>The Association of Occupational Stress with Anxiety among Chinese Civil Pilots: The Moderating Role of Type A Behavior Pattern</title>
2022,"What the Birkman Method© Can Tell Us about the Psychological Profile of Business Aviation Departments, Their Leadership, Strengths, and Challenges","<title>What the Birkman Method© Can Tell Us about the Psychological Profile of Business Aviation Departments, Their Leadership, Strengths, and Challenges</title>"
2022,Risk-taking Propensity: A Comparison between Pilots and Members of the General Population,<title>Risk-taking Propensity: A Comparison between Pilots and Members of the General Population</title>
2022,The Use of Blockchain in Aviation Safety Reporting Systems: A Framework Proposal,<title>The Use of Blockchain in Aviation Safety Reporting Systems: A Framework Proposal</title>
2022,Understanding Sleepiness and Fatigue in Cabin Crew Using COVID-19 to Dissociate Causative Factors,<title>Understanding Sleepiness and Fatigue in Cabin Crew Using COVID-19 to Dissociate Causative Factors</title>
2022,"8th International Conference on Artificial Intelligence and Security, ICAIS 2022","<title>8th International Conference on Artificial Intelligence and Security, ICAIS 2022</title>"
2022,The Effect of Simulation Fidelity on Transfer of Training for Troubleshooting Professionals: A Meta-Analysis,<title>The Effect of Simulation Fidelity on Transfer of Training for Troubleshooting Professionals: A Meta-Analysis</title>
2022,Psychological Mechanism of Civil Aviation Staff’s Unsafe Behavior,<title>Psychological Mechanism of Civil Aviation Staff’s Unsafe Behavior</title>
2022,Preliminary Research on Evaluation Index of Professional Adaptability for Airline Transport Pilot,<title>Preliminary Research on Evaluation Index of Professional Adaptability for Airline Transport Pilot</title>
2022,"19th International Conference on Engineering Psychology and Cognitive Ergonomics, EPCE 2022 Held as Part of the 24th HCI International Conference, HCII 2022","<title>19th International Conference on Engineering Psychology and Cognitive Ergonomics, EPCE 2022 Held as Part of the 24th HCI International Conference, HCII 2022</title>"
2022,"COVID19 Lockdown Concerned With Economy, Mental and Environmental Health: Indian Scenario","<title>COVID19 Lockdown Concerned With Economy, Mental and Environmental Health: Indian Scenario</title>"
2022,GEORGE BOTHEZAT AND HIS CONTRIBUTION INTO THE WORLD AVIATION AND ASTRONAUTICS,<title>GEORGE BOTHEZAT AND HIS CONTRIBUTION INTO THE WORLD AVIATION AND ASTRONAUTICS</title>
2022,The bipolarity of Alberto Santos-Dumont: flights and falls of the “Father of Aviation”; A bipolaridade de Alberto Santos-Dumont: os voos e as quedas do “Pai da Aviação”,<title>The bipolarity of Alberto Santos-Dumont: flights and falls of the “Father of Aviation”; A bipolaridade de Alberto Santos-Dumont: os voos e as quedas do “Pai da Aviação”</title>
2022,Unraveling the Physiological Correlates of Mental Workload Variations in Tracking and Collision Prediction Tasks,<title>Unraveling the Physiological Correlates of Mental Workload Variations in Tracking and Collision Prediction Tasks</title>
2022,The impact of COVID-19 on the aviation industry: A literature review,<title>The impact of COVID-19 on the aviation industry: A literature review</title>
2022,The effects of emotional trait factors on simulated flight performance under an acute psychological stress situation,<title>The effects of emotional trait factors on simulated flight performance under an acute psychological stress situation</title>
2022,Aptitude Requirements for Human Operators in Human-Automation Interaction: A Meta-Analytic Review,<title>Aptitude Requirements for Human Operators in Human-Automation Interaction: A Meta-Analytic Review</title>
2022,"21st Congress of the International Ergonomics Association, IEA 2021","<title>21st Congress of the International Ergonomics Association, IEA 2021</title>"
2022,A Qualitative Exploration of Choking under Pressure in Commercial Airline Pilots: A Phenomenological Approach,<title>A Qualitative Exploration of Choking under Pressure in Commercial Airline Pilots: A Phenomenological Approach</title>
2022,Being in Control of Noise Levels Improves the Perception of Airplane Seat Comfort,<title>Being in Control of Noise Levels Improves the Perception of Airplane Seat Comfort</title>
2022,"Helicopter parenting, emotional avoidant coping, mental health, and homophobic stigmatization among emerging adult offspring of lesbian parents","<title>Helicopter parenting, emotional avoidant coping, mental health, and homophobic stigmatization among emerging adult offspring of lesbian parents</title>"
2022,Research on Evaluation of Intercultural Competence of Civil Aviation College Students Based on Language Operator,<title>Research on Evaluation of Intercultural Competence of Civil Aviation College Students Based on Language Operator</title>
2022,Cognitive Style and Flight Experience Influence on Confirmation Bias in Lost Procedures,<title>Cognitive Style and Flight Experience Influence on Confirmation Bias in Lost Procedures</title>
2022,Job Analysis for Air Traffic Control: A Review of the Literature from 1949 to 2020,<title>Job Analysis for Air Traffic Control: A Review of the Literature from 1949 to 2020</title>
2021,Re-examining the Pioneering Studies on Eye Movements in Aviation: Connecting the Past to the Present,<title>Re-examining the Pioneering Studies on Eye Movements in Aviation: Connecting the Past to the Present</title>
2021,Environmental Risk Factors and Psychotic-like Experiences in Children Aged 9–10,<title>Environmental Risk Factors and Psychotic-like Experiences in Children Aged 9–10</title>
2021,Predicting aviation training performance with multimodal affective inferences,<title>Predicting aviation training performance with multimodal affective inferences</title>
2021,"Pilot Work Related Stress (WRS), Effects on Wellbeing and Mental Health, and Coping Methods","<title>Pilot Work Related Stress (WRS), Effects on Wellbeing and Mental Health, and Coping Methods</title>"
2021,"An exploration of perceived stress, burnout syndrome, and self-efficacy in a group of Polish air traffic controllers and maritime navigators: Similarities and differences","<title>An exploration of perceived stress, burnout syndrome, and self-efficacy in a group of Polish air traffic controllers and maritime navigators: Similarities and differences</title>"
2021,Precautions & Possible Therapeutic Approaches of Health Hazards of Astronauts in Microgravity,<title>Precautions & Possible Therapeutic Approaches of Health Hazards of Astronauts in Microgravity</title>
2021,Developing a Stigma Scale for the Workplace: Focus on an Airline Cabin Crew,<title>Developing a Stigma Scale for the Workplace: Focus on an Airline Cabin Crew</title>
2021,A Sense of Fellowship: Mindfulness Improves Experienced Interpersonal Benefits and Prosociality in A Military Aviation Unit,<title>A Sense of Fellowship: Mindfulness Improves Experienced Interpersonal Benefits and Prosociality in A Military Aviation Unit</title>
2021,A Systematic Review of Stimulant Use in Civilian and Military Aviation,<title>A Systematic Review of Stimulant Use in Civilian and Military Aviation</title>
2021,Helicopter Pilots Synchronize Their Altitude with Ship Heave to Minimize Energy When Landing on a Ship’s Deck,<title>Helicopter Pilots Synchronize Their Altitude with Ship Heave to Minimize Energy When Landing on a Ship’s Deck</title>
2021,Reiseangst: Travel anxiety and psychological resilience during and beyond the COVID-19 pandemic,<title>Reiseangst: Travel anxiety and psychological resilience during and beyond the COVID-19 pandemic</title>
2021,Lockdown to contain COVID-19 is a window of opportunity to prevent the second wave,<title>Lockdown to contain COVID-19 is a window of opportunity to prevent the second wave</title>
2021,Improving Training in Aviation: A Theoretical Evaluation and Application,<title>Improving Training in Aviation: A Theoretical Evaluation and Application</title>
2021,Optimization of a Customized Leadership Development Program Upskilling English Language Fluency in Brazil Aviation Leaders,<title>Optimization of a Customized Leadership Development Program Upskilling English Language Fluency in Brazil Aviation Leaders</title>
2021,Air Traffic Controllers' Occupational Stress and Performance in the Future Air Traffic Management,<title>Air Traffic Controllers' Occupational Stress and Performance in the Future Air Traffic Management</title>
2021,Will flight shaming influence the future of air travel?,<title>Will flight shaming influence the future of air travel?</title>
2021,Aviation-Associated Spatial Disorientation and Incidence of Visual Illusions Survey in Military Pilots,<title>Aviation-Associated Spatial Disorientation and Incidence of Visual Illusions Survey in Military Pilots</title>
2021,Remote Warfare: A New Architecture of Air Power,<title>Remote Warfare: A New Architecture of Air Power</title>
2021,Investigating Offshore Helicopter Pilots’ Cognitive Load and Physiological Responses during Simulated In-Flight Emergencies,<title>Investigating Offshore Helicopter Pilots’ Cognitive Load and Physiological Responses during Simulated In-Flight Emergencies</title>
2021,Feedback and Student Learning: Matching Learning and Teaching Style to Improve Student Pilot Performance,<title>Feedback and Student Learning: Matching Learning and Teaching Style to Improve Student Pilot Performance</title>
2021,Principle of individualization in developing students’ motor qualities during physical education classes,<title>Principle of individualization in developing students’ motor qualities during physical education classes</title>
2021,Visual Improvements after Perceptual Learning Transfer from Normoxia to Hypoxia,<title>Visual Improvements after Perceptual Learning Transfer from Normoxia to Hypoxia</title>
2021,The Effects of Tablet-Based Electronic Grading on Airline Evaluator Performance,<title>The Effects of Tablet-Based Electronic Grading on Airline Evaluator Performance</title>
2021,Effects of Stress on Performance during Highly Demanding Tasks in Student Pilots,<title>Effects of Stress on Performance during Highly Demanding Tasks in Student Pilots</title>
2021,Are patients with cognitive impairment fit to fly? Current evidence and practical recommendations,<title>Are patients with cognitive impairment fit to fly? Current evidence and practical recommendations</title>
2021,Testing the Compliance Behavior Model in General Aviation: A Pilot Study,<title>Testing the Compliance Behavior Model in General Aviation: A Pilot Study</title>
2021,Assessment of Augmented Reality Technology’s Impact on Speed of Learning and Task Performance in Aeronautical Engineering Technology Education,<title>Assessment of Augmented Reality Technology’s Impact on Speed of Learning and Task Performance in Aeronautical Engineering Technology Education</title>
2021,Display on Demand Method Increases Time Spent Looking Outside the Cockpit: Testing a Training Method during Visual Flight Rules Flights,<title>Display on Demand Method Increases Time Spent Looking Outside the Cockpit: Testing a Training Method during Visual Flight Rules Flights</title>
2021,Self-Harm in Aviation Medicine-A Complex Challenge During a Pandemic,<title>Self-Harm in Aviation Medicine-A Complex Challenge During a Pandemic</title>
2021,Navigating the risks of flying during COVID-19: A review for safe air travel,<title>Navigating the risks of flying during COVID-19: A review for safe air travel</title>
2021,An Examination of Pilot-Reported Trust and Response to Information Conflicts Experienced on the Flight Deck,<title>An Examination of Pilot-Reported Trust and Response to Information Conflicts Experienced on the Flight Deck</title>
2021,The Impact of a Legally Defined Just Culture on Voluntary Reporting of Safety Information,<title>The Impact of a Legally Defined Just Culture on Voluntary Reporting of Safety Information</title>
2021,"Perceptions of Just Culture between Pilots and Managers: Evaluation of Airlines in the EU, Middle East, and Asia/Pacific Regions","<title>Perceptions of Just Culture between Pilots and Managers: Evaluation of Airlines in the EU, Middle East, and Asia/Pacific Regions</title>"
2021,Situational Awareness and General Aviation Accidents: An Analysis of 94 US Accident Reports,<title>Situational Awareness and General Aviation Accidents: An Analysis of 94 US Accident Reports</title>
2021,Why Commercial Pilots Voluntarily Report Self-Inflicted Incidents: A Qualitative Study with Aviation Safety Experts,<title>Why Commercial Pilots Voluntarily Report Self-Inflicted Incidents: A Qualitative Study with Aviation Safety Experts</title>
2021,A Research Agenda for Implementing Augmented Reality in Ab Initio Pilot Training,<title>A Research Agenda for Implementing Augmented Reality in Ab Initio Pilot Training</title>
2021,EAAP2020 Online Week: Building Bridges: Raising Aviation Psychology to the Next Level!,<title>EAAP2020 Online Week: Building Bridges: Raising Aviation Psychology to the Next Level!</title>
2021,Health risks and potential predictors of fatigue and sleepiness in airline cabin crew,<title>Health risks and potential predictors of fatigue and sleepiness in airline cabin crew</title>
2021,Flight Operation Officers: from Job Analysis to Selection Procedures,<title>Flight Operation Officers: from Job Analysis to Selection Procedures</title>
2021,A Qualitative Study Exploring Well-Being and the Potential Impact of Work-Related Stress among Commercial Airline Pilots,<title>A Qualitative Study Exploring Well-Being and the Potential Impact of Work-Related Stress among Commercial Airline Pilots</title>
2021,Exploring Neurocognitive Performance Differences in Military Aviation Personnel,<title>Exploring Neurocognitive Performance Differences in Military Aviation Personnel</title>
2021,Why Learning Opportunities from Aviation Incidents Are Lacking: the Impact of Active and Latent Failures and Confidential Reporting,<title>Why Learning Opportunities from Aviation Incidents Are Lacking: the Impact of Active and Latent Failures and Confidential Reporting</title>
2021,Fatigue in Aeromedicine: An Exploration of Team Cohesion as a Countermeasure against Adverse Events,<title>Fatigue in Aeromedicine: An Exploration of Team Cohesion as a Countermeasure against Adverse Events</title>
2021,Modeling of Aircrew Rostering Problem with Fatigue Risk Management Approach,<title>Modeling of Aircrew Rostering Problem with Fatigue Risk Management Approach</title>
2021,Pilots’ Willingness to Operate in Unmanned Aircraft System Integrated Airspace,<title>Pilots’ Willingness to Operate in Unmanned Aircraft System Integrated Airspace</title>
2021,Cognitive Task Analysis of Unmanned Aircraft System Pilots,<title>Cognitive Task Analysis of Unmanned Aircraft System Pilots</title>
2021,A Two-Stage Model of Diversion Knowledge and Skills Highlights Where Pilot Factors Impact Safety-Related Outcomes,<title>A Two-Stage Model of Diversion Knowledge and Skills Highlights Where Pilot Factors Impact Safety-Related Outcomes</title>
2021,"Investigating the Relationships Among Security Communications, Passenger’s Awareness and Satisfaction Toward Preflight Security Checks","<title>Investigating the Relationships Among Security Communications, Passenger’s Awareness and Satisfaction Toward Preflight Security Checks</title>"
2021,Investigating the Predictive Validity of the COMPASS Pilot Selection Test,<title>Investigating the Predictive Validity of the COMPASS Pilot Selection Test</title>
2021,Developing a Measurement Scale for Evaluating Perceived Affective Qualities in Flight Deck Design,<title>Developing a Measurement Scale for Evaluating Perceived Affective Qualities in Flight Deck Design</title>
2021,"Short and Long Haul Pilots Rosters, Stress, Sleep Problems, Fatigue, Mental Health, and Well-Being","<title>Short and Long Haul Pilots Rosters, Stress, Sleep Problems, Fatigue, Mental Health, and Well-Being</title>"
2021,Willingness to Watch the Pre-Flight Safety Briefing: A Structural Model,<title>Willingness to Watch the Pre-Flight Safety Briefing: A Structural Model</title>
2021,The Psychology and Communication Behind Flight Anxiety: Afraid to Fly,<title>The Psychology and Communication Behind Flight Anxiety: Afraid to Fly</title>
2021,Learning Supported by Technology: Effectiveness with Educational Software,<title>Learning Supported by Technology: Effectiveness with Educational Software</title>
2021,"Citizenship, Migration and Mobility in a Pandemic (CMMP): A global dataset of COVID-19 restrictions on human movement","<title>Citizenship, Migration and Mobility in a Pandemic (CMMP): A global dataset of COVID-19 restrictions on human movement</title>"
2021,The potential stickiness of pandemic-induced behavior changes in the United States,<title>The potential stickiness of pandemic-induced behavior changes in the United States</title>
2021,Commercial Air Travel for Passengers With Cardiovascular Disease: Recommendations for Common Conditions,<title>Commercial Air Travel for Passengers With Cardiovascular Disease: Recommendations for Common Conditions</title>
2021,"The Influence of Personality, Safety Attitudes, and Risk Perception ception of Pilots: A Modeling and Mediation Perspective","<title>The Influence of Personality, Safety Attitudes, and Risk Perception ception of Pilots: A Modeling and Mediation Perspective</title>"
2021,Relating OCEAN (Big Five) to Job Satisfaction in Aviation,<title>Relating OCEAN (Big Five) to Job Satisfaction in Aviation</title>
2021,"Animal Farm in healthcare: definitions, policies, laws and implications for health professionals","<title>Animal Farm in healthcare: definitions, policies, laws and implications for health professionals</title>"
2021,"MBTI personality types of korean cabin crew in middle eastern airlines and their associations with cross-cultural adjustment competency, occupational competency, coping competency, mental health and turnover intention","<title>MBTI personality types of korean cabin crew in middle eastern airlines and their associations with cross-cultural adjustment competency, occupational competency, coping competency, mental health and turnover intention</title>"
2021,Air travel in a COVID-19 world: Commercial airline passengers’ health concerns and attitudes towards infection prevention and disease control measures,<title>Air travel in a COVID-19 world: Commercial airline passengers’ health concerns and attitudes towards infection prevention and disease control measures</title>
2021,Physician Mental Health: My Personal Journey and Professional Plea,<title>Physician Mental Health: My Personal Journey and Professional Plea</title>
2021,The importance of safety and security measures at sharm el sheikh airport and their impact on travel decisions after restarting aviation during the covid-19 outbreak,<title>The importance of safety and security measures at sharm el sheikh airport and their impact on travel decisions after restarting aviation during the covid-19 outbreak</title>
2021,David Anton: aviation doctor who investigated air crashes and became the first occupational physician with the RNLI,<title>David Anton: aviation doctor who investigated air crashes and became the first occupational physician with the RNLI</title>
2021,Aviation psychology: Development stage in science and education,<title>Aviation psychology: Development stage in science and education</title>
2021,Research of the problem of involvement of technical university students in the process of physical education: Students' opinions,<title>Research of the problem of involvement of technical university students in the process of physical education: Students' opinions</title>
2021,Digital biomarkers for the prediction of mental health in aviation personnel,<title>Digital biomarkers for the prediction of mental health in aviation personnel</title>
2021,Features of the formation of the concept of educational work in an educational institution of civil aviation,<title>Features of the formation of the concept of educational work in an educational institution of civil aviation</title>
2021,Simulation Training in Psychiatry for Medical Education: A Review,<title>Simulation Training in Psychiatry for Medical Education: A Review</title>
2021,Conscientiousness in pilots correlates with electrodermal stability: Study on simulated flights under social stress,<title>Conscientiousness in pilots correlates with electrodermal stability: Study on simulated flights under social stress</title>
2021,The fatiguing effect of broadband noise: An EEG-based study,<title>The fatiguing effect of broadband noise: An EEG-based study</title>
2021,The Difficulty to Break a Relational Complexity Network Can Predict Air Traffic Controllers’ Mental Workload and Performance in Conflict Resolution,<title>The Difficulty to Break a Relational Complexity Network Can Predict Air Traffic Controllers’ Mental Workload and Performance in Conflict Resolution</title>
2021,Artificial Intelligence Simulation Research Based on Aviation Flight Training Technology,<title>Artificial Intelligence Simulation Research Based on Aviation Flight Training Technology</title>
2021,Permanent Medical Grounding in Royal Canadian Air Force Pilots (2008–2017),<title>Permanent Medical Grounding in Royal Canadian Air Force Pilots (2008–2017)</title>
2021,Spatial orientation during gondola centrifugation with subjects upright versus supine: Evidence for Gestalt psychological mechanisms in vestibular perception,<title>Spatial orientation during gondola centrifugation with subjects upright versus supine: Evidence for Gestalt psychological mechanisms in vestibular perception</title>
2021,"Multidisciplinary, simulation-based training to improve review of seclusion","<title>Multidisciplinary, simulation-based training to improve review of seclusion</title>"
2021,You Are Here: Narrative Construction of Identity and Community Resilience in Newfoundland during and after 9/11,<title>You Are Here: Narrative Construction of Identity and Community Resilience in Newfoundland during and after 9/11</title>
2021,Examining the Mental Workload Associated With Digital Health Technologies in Health Care: Protocol for a Systematic Review Focusing on Assessment Methods,<title>Examining the Mental Workload Associated With Digital Health Technologies in Health Care: Protocol for a Systematic Review Focusing on Assessment Methods</title>
2021,General Aviation Flight Safety During the COVID-19 Pandemic,<title>General Aviation Flight Safety During the COVID-19 Pandemic</title>
2021,Space psychology in russia: History of formation and development features,<title>Space psychology in russia: History of formation and development features</title>
2021,Incentivization and cognitive performance in those who sustain mild traumatic brain injury: A series of case studies of aviation-rated Army personnel,<title>Incentivization and cognitive performance in those who sustain mild traumatic brain injury: A series of case studies of aviation-rated Army personnel</title>
2021,Implementation of PROMETHEE Method for Employee Performance Assessment System,<title>Implementation of PROMETHEE Method for Employee Performance Assessment System</title>
2021,A Review of Research on Civil Aviation Pilots' Safety Mental Health Based on Personality Traits,<title>A Review of Research on Civil Aviation Pilots' Safety Mental Health Based on Personality Traits</title>
2021,Research on Information Visualization Design for Public Health Security Emergencies,<title>Research on Information Visualization Design for Public Health Security Emergencies</title>
2021,Perceived reliability of medical device alarms-a major determinant of medical errors driven by frozen medical thinking,<title>Perceived reliability of medical device alarms-a major determinant of medical errors driven by frozen medical thinking</title>
2021,Human Factors in HSE Performance - Role of User-Friendly HSE Documentation,<title>Human Factors in HSE Performance - Role of User-Friendly HSE Documentation</title>
2021,Analysing the psychological condition of pilots through computer aided graphology,<title>Analysing the psychological condition of pilots through computer aided graphology</title>
2021,Transplantation of allogeneic cryopreserved hematopoietic cell grafts during the Covid-19 pandemic: A National Marrow Donor Program perspective,<title>Transplantation of allogeneic cryopreserved hematopoietic cell grafts during the Covid-19 pandemic: A National Marrow Donor Program perspective</title>
2021,Evaluating differences in cognitive functions and personality traits among air traffic controllers with and without error history,<title>Evaluating differences in cognitive functions and personality traits among air traffic controllers with and without error history</title>
2021,Psychodiagnostic toolkit of combat stress for aviation specialists,<title>Psychodiagnostic toolkit of combat stress for aviation specialists</title>
2021,Self-Harm in Aviation Medicine—A Complex Challenge During a Pandemic,<title>Self-Harm in Aviation Medicine—A Complex Challenge During a Pandemic</title>
2021,Reopening the Upper Airspace over Kosovo for Civil Air Traffic: The Road Thereto,<title>Reopening the Upper Airspace over Kosovo for Civil Air Traffic: The Road Thereto</title>
2021,Single Pilot Operations Along the Human-Centered Design Lifecycle: Reviewing the Dedicated Support Concept,<title>Single Pilot Operations Along the Human-Centered Design Lifecycle: Reviewing the Dedicated Support Concept</title>
2021,ISDT Case Study of Loving Kindness Meditation for Flight Attendants,<title>ISDT Case Study of Loving Kindness Meditation for Flight Attendants</title>
2021,"18th International Conference on Engineering Psychology and Cognitive Ergonomics, EPCE 2021, held as part of the 23rd International Conference, HCI International 2020","<title>18th International Conference on Engineering Psychology and Cognitive Ergonomics, EPCE 2021, held as part of the 23rd International Conference, HCI International 2020</title>"
2021,Floating Iceberg Model of Psychological Competence Towards Airline Transport Pilots’ Professionalism Lifecycle Management System,<title>Floating Iceberg Model of Psychological Competence Towards Airline Transport Pilots’ Professionalism Lifecycle Management System</title>
2021,A Qualitative Study of How Remotely Piloted Aircraft Operators Describe Their Worldviews,<title>A Qualitative Study of How Remotely Piloted Aircraft Operators Describe Their Worldviews</title>
2021,Impact of the Covid-19 Pandemic on Psychological Stress Factors in the Cockpit,<title>Impact of the Covid-19 Pandemic on Psychological Stress Factors in the Cockpit</title>
2021,Task Engagement and Flow in the Operational Safety of South African Civil Air Traffic Controllers,<title>Task Engagement and Flow in the Operational Safety of South African Civil Air Traffic Controllers</title>
2021,Electroencephalographic Signals and Pilot Situation Awareness During Simulated Flight: A Case for Enhanced Digital Technology in General Aviation,<title>Electroencephalographic Signals and Pilot Situation Awareness During Simulated Flight: A Case for Enhanced Digital Technology in General Aviation</title>
2021,"MBTI Personality Types of Korean Cabin Crew in Middle Eastern Airlines, and Their Associations with Cross-Cultural Adjustment Competency, Occupational Competency, Coping Competency, Mental Health, and Turnover Intention","<title>MBTI Personality Types of Korean Cabin Crew in Middle Eastern Airlines, and Their Associations with Cross-Cultural Adjustment Competency, Occupational Competency, Coping Competency, Mental Health, and Turnover Intention</title>"
2021,Predicting Inattentional Blindness with Pupillary Response in a Simulated Flight Task,<title>Predicting Inattentional Blindness with Pupillary Response in a Simulated Flight Task</title>
2021,Psychophysical Coherence Training Regulating Air Traffic Controller’s Heart Rate Variability and Resilience to Fatigue,<title>Psychophysical Coherence Training Regulating Air Traffic Controller’s Heart Rate Variability and Resilience to Fatigue</title>
2021,Definitions and psychological impacts of quarantine and strategies to reduce it: A review paper,<title>Definitions and psychological impacts of quarantine and strategies to reduce it: A review paper</title>
2021,Aircraft Assembly Snags: Human Errors or Lack of Production Design?,<title>Aircraft Assembly Snags: Human Errors or Lack of Production Design?</title>
2021,Learning to Become Researchers: Lessons Learned from a Research Experience for Undergraduates (REU) Program Focused on Research in the Psychological Sciences with Real-World Implications,<title>Learning to Become Researchers: Lessons Learned from a Research Experience for Undergraduates (REU) Program Focused on Research in the Psychological Sciences with Real-World Implications</title>
2021,"Crew Resource Management Training for Surgical Teams, A Fragmented Landscape","<title>Crew Resource Management Training for Surgical Teams, A Fragmented Landscape</title>"
2021,RF-130 Workplace Psychosocial Hazards are associated with Emotional Distress and Burnout in Civil Aviation Pilots,<title>RF-130 Workplace Psychosocial Hazards are associated with Emotional Distress and Burnout in Civil Aviation Pilots</title>
2021,Reliability and validity of a 3-min psychomotor vigilance task in assessing sensitivity to sleep loss and alcohol: Fitness for duty in aviation and transportation,<title>Reliability and validity of a 3-min psychomotor vigilance task in assessing sensitivity to sleep loss and alcohol: Fitness for duty in aviation and transportation</title>
2021,Predictors of the feeling of stress in the aviation sector,<title>Predictors of the feeling of stress in the aviation sector</title>
2021,Sleepy Surgeons: A Multi-Method Assessment of Sleep Deprivation and Performance in Surgery,<title>Sleepy Surgeons: A Multi-Method Assessment of Sleep Deprivation and Performance in Surgery</title>
2021,Altered Attention Network in Paratroopers Exposed to Repetitive Subconcussion: Evidence Based on Behavioral and Event-Related Potential Results,<title>Altered Attention Network in Paratroopers Exposed to Repetitive Subconcussion: Evidence Based on Behavioral and Event-Related Potential Results</title>
2021,"Short and Long Haul Pilots' Rosters, Stress, Sleep Problems, Fatigue, Mental Health, and Well-Being","<title>Short and Long Haul Pilots' Rosters, Stress, Sleep Problems, Fatigue, Mental Health, and Well-Being</title>"
2021,Analysis of web-based travel health advice provided to international travellers with chronic medical and psychiatric illnesses,<title>Analysis of web-based travel health advice provided to international travellers with chronic medical and psychiatric illnesses</title>
