"Title","Year","Source title","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Cognition and Habit Alterations of Maintenance Crew in A-Checks for New-Generation Aircraft: The A350XWB","2024","International Journal of Aerospace Psychology","10.1080/24721840.2023.2265953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173775631&doi=10.1080%2F24721840.2023.2265953&partnerID=40&md5=0d03c464a420bd622d2d7d304c8f4eb2","Background: Airlines should ensure reliable maintenance support for aircraft operations, especially when introducing new aircraft types. To realize alternations in technicians’ cognition and habit in executing routine checks is vital to identify and set training principles during starting stages of type changes. Method: This study compiled possible alterations for A350XWB maintenance from senior practitioners and then conducted a comprehensive survey of China Airlines A-check crew members. A ranked pair-wise comparison (RPC) approach distinguished the priorities of gaps in crew cognition differences and habit changes. Results: Fuselage anti-collision regulation resulted in larger gaps in cognition and habits. Procedures for powering the electrical system on and off, concepts for fuselage structure and materials, and reports of visual inspection procedures after collisions were the sub-criteria with the most significant changes for all respondents. Senior technicians presented more significant cognition differences with juniors in regulations for safety ranges between ground equipment and fuselage. Crew accumulating specific working experience performed more cautiously and carefully. Conclusion: New knowledge and procedures generated alternations of the crew’s cognition and habit in implementing A350XWB A-checks than previous types. This study identified the relative gaps in practical operations. Airlines must be continuously aware of these gaps in aircraft maintenance during aircraft type changes. © 2023 Taylor & Francis Group, LLC.","",""
"Psychometric Properties of the FAS and the FAM Questionnaires Assessing Flight Anxiety: A Turkish Community-Based Study","2024","International Journal of Aerospace Psychology","10.1080/24721840.2023.2260428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173119536&doi=10.1080%2F24721840.2023.2260428&partnerID=40&md5=876a587970f7c0e65e9fcdd464ec1fa6","Objective: To conduct the Turkish adaptation of the Flight Anxiety Situations Questionnaire (FAS) and the Flight Anxiety Modality Questionnaire (FAM). Background: The FAS measures the anxiety levels in different flight situations, while FAM assesses the somatic and cognitive symptoms of anxiety or anticipatory anxiety in different flight situations. The FAS and the FAM have been adapted to different cultures and used in different studies. Method: 645 adults from different regions of Turkey participated in this study (M<inf>age</inf> = 25.58, SD<inf>age</inf> = 10.43, 59.2% women). A Socio-demographic Information Form, the Visual Analog Flight Anxiety Scale (VAFAS), the FAS, the FAM and the State-Trait Anxiety Inventory (STAI) were used for data collection. Results: Exploratory factor analysis showed that the Turkish forms of the FAS and the FAM had similar factor structures to the original forms. The FAS consisted of three factors and the FAM consisted of two factors with factor loadings between.56 and.85. High Cronbach’s alpha scores (.78–.97) of the FAS, the FAM and their subscales supported internal consistency reliability. Convergent and discriminant validity of the scales were supported with correlation analysis and independent samples t-test. Conclusion: The Turkish forms of the FAS and the FAM provided psychometrically sound self-report measures of flight anxiety. It is thought that these measures will be useful in clinical assessments, interventions and future cross-cultural research about flight anxiety in the Turkish community. © 2023 Taylor & Francis Group, LLC.","",""
"A systematic review of pilot-related runway incursions from a human factors perspective","2024","International Journal of Aerospace Psychology","10.1080/24721840.2023.2247441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170844196&doi=10.1080%2F24721840.2023.2247441&partnerID=40&md5=b87b204bf2949a1d4d20791cb78f81ef","Objective: This study undertook a systematic review of peer-reviewed articles aimed to investigate how pilot-related causal factors contribute to runway incursions (RIs). Background: Unauthorized entry onto an active runway, referred to as a “runway incursion” continues to present a safety risk in aviation. It is important to understand the cause of runway incursions and the underlying factors of why pilots commit runway incursions from a human factor perspective. Method: A systematic literature review was conducted to synthesize and summarize the relevant findings from previous studies. Literature searches were conducted through eight databases with an emphasis on studies that identify causal factors related to pilot behavior. Results: Limited publications on the analysis of pilot-related contributing factors of runway incursions were identified from 1985 to 2021. Thirteen articles met the inclusion criteria and were included in this study. The review uncovered the common types of RIs, and the leading contributing factors associated with pilot error, such as miscommunication and loss of situational awareness. The evaluated studies provided possible mitigation solutions focusing on technical system, but no clear solution on how to prevent such errors systematically from a human factor perspective was revealed. Conclusion: Overall, the results provide insight into pilot behavior regarding runway incursions and provide a basis for future research to improve runway safety. © 2023 Taylor & Francis Group, LLC.","",""
"The Future of Fighter Pilot Training? Live Virtual Constructive in Large Force Exercises: Perceived and Expected Training Value","2024","International Journal of Aerospace Psychology","10.1080/24721840.2023.2247444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169161864&doi=10.1080%2F24721840.2023.2247444&partnerID=40&md5=ba7daa6bc7eece33b74e9585fb0283df","Objective: This study investigates whether and how perceived training value varies among fighter pilots participating in a large force exercise (LFE), and whether they expect Live Virtual Constructive (LVC) training to enhance training value of future LFEs. Background: LVC technology is maturing but its expected training value is under-investigated, especially regarding future LVC in LFEs. Method: Fighter pilots at a Live-flying LFE answered questionnaires, 120 responses were analyzed statistically. The questions focused on whether the sortie they just flew provided training value, generally and for specific Desired Learning Objectives (DLOs), on whether the inclusion of Virtual and Constructive entities in future LFEs would contribute to training value generally and to the DLOs specifically, and on specific LVC implementation issues. Results: Ratings of experienced training value varied across DLOs, and DLO ratings varied across Mission types. Fighter pilots were positive toward including Virtual and Constructive entities in LFEs for certain DLOs, mostly for flying a complex mission. DLOs covaried around the factors of LVC-tradeoff advantages and Live advantages, as well as temporal dimensions of planning before a mission and stages of engagement. LVC implementation lessons were extracted. Conclusion: Fighter pilots are generally moderately positive about LVC in LFEs. The measurement of perceived training value per DLO seems a relevant instrument for investigating perceived training value of an LFE and expected training value of future LVC training. © 2023 Swedish Defence Research Agency FOI. Published with license by Taylor & Francis Group, LLC.","",""
"The Effect of Role Stress and Emotional Exhaustion on Well-being Among Pilots: The Moderating Effect of Leisure Participation","2024","International Journal of Aerospace Psychology","10.1080/24721840.2023.2242382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167366456&doi=10.1080%2F24721840.2023.2242382&partnerID=40&md5=91b768c2a6a01e14e0f90795fa41dffe","Background: Since the flight safety accident of Germanwings Airlines and the spread of the COVID-19 epidemic have happened in recent years, the mental state of civil aviation pilots has paid much attention. The work of civil aviation pilots has to face pressure from families, individuals, companies and other multi-faceted sources. Therefore, it may lead to negative work behaviors and performance, and even further affect flight safety. Objective: The study investigates the relationship between role stress, emotional exhaustion, and well-being of among civil aviation pilots. Additionally, this study determines whether leisure participation moderates the relationship between emotional exhaustion and well-being. Methods: Participants were 249 Taiwanese pilots, who were administered questionnaires that measured role conflict, role ambiguity, well-being, and leisure participation. Partial least squares structural equation modeling was utilized to analyze data in this study. Results: Role stress had a significant effect on emotional exhaustion which had a significant effect on well-being among the pilots. Leisure participation moderated in reducing negative influence of emotional exhaustion on well-being. Conclusion: These findings regarding the negative impact of pilots’ negative emotional state on their work performance can serve as a reference point for informing human resource management strategies that focus on enhancing well-being among pilots. © 2023 Taylor & Francis Group, LLC.","",""
"Editorial Insights Into the Future","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183600626&doi=10.1027%2F2192-0923%2Fa000262&partnerID=40&md5=3c74d19343244cf6ecac20687e7fc3af","[No abstract available]","",""
"Correction to Jarry et al., 2022","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183599611&doi=10.1027%2F2192-0923%2Fa000238&partnerID=40&md5=18cbbef805f4c8e4870d3beac1f73dc7","The article entitled “Time course of anticipation in pilot's beyond visual range situation awareness” by Marianne Jarry, Colin Blätter, and Vincent Ferrari (Aviation Psychology and Applied Human Factors, 12(2), 119-128, https://doi.org/10.1027/2192-0923/a000233) contains a mistake on pp. 119 and 128. The affiliation for all authors should correctly read as follows: Centre de recherche de l'Ecole de l'air et de l'espace, Ecole de l'air et de l'espace, Salon-de-Provence, France The authors regret any inconvenience caused. © 2023 Hogrefe Publishing.","",""
"Observational Learning in Ab Initio Pilot Training The Challenges and Opportunities of Backseating Flight Observations","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183599499&doi=10.1027%2F2192-0923%2Fa000260&partnerID=40&md5=e6559cb985d339745c05ee63ced683e6","New learning and teaching techniques are required to reduce the length and costs of flight training while increasing its quality, such as observational learning, also known as backseating in aviation training. This study investigates the opportunities and challenges associated with backseating in an aircraft when another student is learning to fly. An ethnographic study of a flight school in Australia was conducted via observation and in-depth interviews. The results show opportunities such as learning from common mistakes, recognizing patterns, and reinforcing struggling areas in a stress-free environment, without any extra costs. The reported concerns included weight limits and regulatory issues, student nervousness when observed, and insufficient time to backseat flights. For backseating to be adopted, regulatory ambiguities should be addressed. © 2023 Hogrefe Publishing.","aviation education; flight observations; flight training; observational learning; pilot training",""
"Interactions With Technology in the Cockpit The Influence of the Affect Heuristic on Perceived Benefits and Risks of General Aviation Cockpit Technologies","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183598395&doi=10.1027%2F2192-0923%2Fa000251&partnerID=40&md5=9dfb0c37888fe74e3f8118dfbc7e6363","Technological advancements have resulted in significant safety benefits in commercial aviation; however, in general aviation their adoption has been somewhat slow. It is therefore important to understand how pilots interact with technology, particularly in general aviation. This study explored whether the affect heuristic influenced pilots' perceptions of the benefits and risks of five cockpit technologies available in general aviation, with a particular focus on technologies that may assist weather-related decision-making. Evidence from a series of scenario-based tasks suggests that the perceived risks and benefits of the technology were associated with pilot affect, whereby positive feelings toward a given technology were associated with a lower perceived risk, such as accidentally flying into adverse weather, and higher perceived benefits, such as helping to maintain control while completing concurrent tasks. Findings also suggest that affect and perceived risks can be manipulated by negatively framed prior information. The practical implications of the effect of the affect heuristic on the successful introduction of new technologies and the promotion of safety initiatives in general are discussed. © 2023 Hogrefe Publishing.","affect heuristic; cognitive bias; pilot decision-making",""
"Measuring Presence and Situational Awareness in a Virtual Reality Flight Simulator","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183598221&doi=10.1027%2F2192-0923%2Fa000250&partnerID=40&md5=2e62268b35e29aff25d7dc5dea91993a","A sense of presence plays a significant role in virtual reality (VR) usability, yet there is limited research of its existence in a virtual reality flight simulator (VRFS). Similarly, there is scarce investigation of situational awareness (SA) in a VRFS. Consequently, this paper discusses an experiment that explored presence and SA in a VRFS. Physiological responses are also captured. The results reveal that participants felt a high degree of presence in a VRFS, and felt immersed and involved. The sense of presence contributed to good SA, and physiological data identified increased stress levels. These results are an important step in the exploration of VR in the field of aviation training. However, more research is required to identify how and where VR could be applied. © 2023 Hogrefe Publishing.","flight simulation; presence; situational awareness; spatial computing; virtual reality",""
"Mobility Aircrew Fatigue Perceptions and Mitigation Strategies","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183597965&doi=10.1027%2F2192-0923%2Fa000254&partnerID=40&md5=5e854a6c8eb6f6801240cfb003f3761a","Mobility aircrew operate in unique, high-tempo environments resulting in susceptibility to fatigue. In the current study we examined fatigue perceptions and mitigation strategies before and during mission execution with questionnaires from 44 volunteers from a US Air Force air mobility squadron. Results suggest that fatigue is a serious safety-of-flight concern for the community; however, crews generally did not reference the available fatigue risk management (FRM) tool for missions. Aircrew member characteristics were associated with differences in fatigue-related perceptions and mitigation strategies. Crews used various personal fatigue mitigation strategies and had habitual stimulant and depressant consumption during missions based on daily routines. We discuss implications of these findings for FRM tools. © 2023 Hogrefe Publishing.","aviation; fatigue mitigation; fatigue risk management",""
"Does Deliberately Going Beyond Alarms in Stall Recovery Exercises Lead to Negative Training?","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183596716&doi=10.1027%2F2192-0923%2Fa000261&partnerID=40&md5=22de0f68153b3b8d4918c3c593646aeb","We investigated whether deliberately going beyond alarms during aerodynamic stall recovery exercises may result in negative training. Two groups of 20 airline pilots received stall recovery training in a moving-base simulator. The “delayed-response” group induced the stall themselves. The “immediate-response” group was presented with paused situations and had to recover immediately after unpausing. In a surprising transfer test, the pilots in the delayed-response group showed less aggressive unloading, and experienced significantly more time pressure compared to the pilots in the immediate-response group. In a stall cue recognition test, the delayed-response group performed nearly significantly better. We conclude that experiencing the progression of an aerodynamic stall during training has positive effects on pilot performance, even if this requires unprocedural behavior. © 2023 Hogrefe Publishing.","aviation; flight simulation; human factors; transfer of training; upset recovery",""
"A New Protocol to Study Mind-Wandering for Air Traffic Controllers A Pilot Study","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172021958&doi=10.1027%2F2192-0923%2Fa000253&partnerID=40&md5=9b6c3bcca2c274531b702fe8e16cdbbc","Although mind-wandering decreases processing of external information, it remains understudied in air traffic controllers (ATCOs), who must constantly attend to external information. Using autobiographical memory retrieval, we propose an innovative protocol to mimic the moment when ATCOs start mind-wandering. A total of 16 participants performed an ATCO simulation task while we triggered attentional switches toward their inner world using memory probes and recorded eye movements with eye-tracking glasses and a camcorder. We successfully induced one to five spontaneous memories for half of the participants and showed the impact on response times (Mdn = +0.74 s) to clear flight level. Preliminary results suggest that autobiographical memory could be used to identify a temporal ocular marker - particularly gaze aversion, also positively related to self-reported mind-wandering - to detect the attentional switch. © 2023 The Author(s). Distributed as a Hogrefe OpenMind article.","air traffic controllers; eye movements; gaze aversion; involuntary memories; mind-wandering",""
"A Competency Framework for Aviation Psychologists and Human Factors Specialists in Aviation","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175876371&doi=10.1027%2F2192-0923%2Fa000245&partnerID=40&md5=cce49b6c1b06d3226ada560a7d083aba","Aviation psychology and human factors have made a significant contribution to aviation safety since the beginning of flying. Following the Germanwings tragedy in 2015, the professions have received extra attention from both governmental and aviation industry organizations. This paper reports on the development of a competency framework defining skills, knowledge, and attitudes for the endorsement of aviation psychologists (AVPSY) and aviation human factors specialists (AVHFS) based on input from 47 stakeholders and subject matter experts. The framework covers aviation domain knowledge, knowledge about humans, methodological approaches and tools, application practice areas, and common supporting skills and attitudes. Commonalities and differences between AVPSY and AVHFS are highlighted, and competency levels are discussed. Practical benefits of using the competency-based framework are emphasized for practitioners, employers, and universities or training organizations. © 2023 Hogrefe Publishing.","accreditation; aviation psychology; competence; human factors; KSA",""
"Confronting Aerotowing Experts with a New Phase-of-Flight Taxonomy for Towplanes","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175867690&doi=10.1027%2F2192-0923%2Fa000241&partnerID=40&md5=46912c319143e58f5e5588ab3da31b4b","While designing an automated flight control system for aerotowing gliders, engineers realized that no suitable phase-of-flight taxonomy was available for performing a functional hazard assessment. As first experiences with a custom taxonomy were gathered, questions arose on how reproducible these results were and whether they could be applied to aerotow-related tasks outside the systems engineering domain. Inter-rater agreement, as one key metric of the taxonomy, was investigated by having 13 experts on aerotowing rate a total of 30 scenarios that are presented as photographs, video sequences, and textual narratives. Agreement between experts was substantial across these types of media. The remaining sources of disagreement were found to be of little practical relevance during real-world application of the aerotowing taxonomy. © 2023 Hogrefe Publishing.","aerotowing; glider flight operations; inter-rater agreement; phase of flight; towplane",""
"The Effectiveness of Improving Flight Passengers' Safety Behaviors by Modifying Auditory Cues","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175851678&doi=10.1027%2F2192-0923%2Fa000239&partnerID=40&md5=a8363cd5d6955fda554d32de626e71dc","The purpose of the study was to examine the effect of the intensive auditory cues on passengers performance and annoyance. It is critical to draw flight passengers attention and help them be aware of the importance of safety instructions. A total of 46 simulations were conducted to collect participants performance and annoyance when hearing auditory cues. The findings demonstrated that passengers performed significantly better when hearing the intensive auditory cues with moderately high perceived urgency levels (PULs), whereas a low or an exceedingly high PUL of auditory cues impaired their performance. Participants also reported significantly higher annoyance with more intensive auditory cues. The current study suggested that the manipulation of PULs of auditory cues could improve passengers safety. © 2023 Hogrefe Publishing.","auditory displays; flight passenger; risk assessment; warning compliance",""
"Crucial Abilities of Pilots and Weapon Systems Officers: An Ability-Based Approach","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175810770&doi=10.1027%2F2192-0923%2Fa000244&partnerID=40&md5=93bc512cfe2010390992cd3c0f2f0317","The first objective of our study was to identify the common and specific crucial abilities for fighter pilots, transport pilots, fighter weapon systems officers (WSOs), and transport WSOs. The second aim was to prioritize clusters of abilities. We used an online questionnaire to survey 479 expert pilots and WSOs in order to assess the level of requirement of 33 cognitive, psychomotor, and perceptual abilities on a Likert-type scale. Two groups of abilities were identified: a common group and a specific one composed of abilities that are crucial for specific jobs. The prioritization of clustered abilities indicated differences in the level of requirement within the so-called crucial abilities. This study led to the identification of four specific profiles of ordered abilities. © 2023 Hogrefe Publishing.","cognitive task analysis; computational modeling; multisensory integration; pilot decision-making; skilled performance",""
"Eye-Tracking: from Concept to Operational Training Tool","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175807231&doi=10.1027%2F2192-0923%2Fa000240&partnerID=40&md5=a712d0c465092fb8496551d667be4605","Eye-tracking has historically been proposed as a tool to provide insight into pilot performance, although its transition from scientific curiosity to a practical device has been challenging. Advancing technology has recently opened the possibility of deploying eye-tracking measurements for operational use in flight training, thus allowing for improved understanding of pilot monitoring strategies. This aims to support a more focused development for both new trainees and experienced pilots in recurrent training. The paper outlines the cooperative progress made in developing an emerging eye-tracking-based training solution for contemporary airline pilot training. It shares selected findings from three studies conducted and discusses the potential, challenges, and lessons learned so far. © 2023 Hogrefe Publishing.","evidence-based training; eye-tracking; monitoring; pilot performance; pilot training",""
"Policy Capturing to Support Pilot Decision-Making: A Proof of Concept Study","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175793351&doi=10.1027%2F2192-0923%2Fa000237&partnerID=40&md5=25bf24c306a91b7d21f308435f4efd63","Single-pilot operations are cognitively challenging for pilots and could benefit from decision-support tools to mitigate risk-prone situations. The Cognitive Shadow is a prototype tool that employs policy capturing, a data-driven technique used to model decisions, to learn users judgement policies and alert decision discrepancies from one s decision pattern. This proof-of-concept study investigates the potential of policy capturing to model pilots policies facing unstable approaches. Pilots were presented simulated cases and asked whether to continue descent or to go-around while the policy-capturing tool learned their decision pattern and provided feedback. Individual models reached mean predictive accuracy of _ 89% while the group model reached 100%. These results speak to the potential of extracting pilots knowledge using policy capturing to create decision aids. © 2023 Hogrefe Publishing.","decision making; machine learning; policy capturing; single-pilot operations; unstable approach",""
"Humans and Technology","2023","Aviation Psychology and Applied Human Factors","10.1027/2192-0923/a000248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175790742&doi=10.1027%2F2192-0923%2Fa000248&partnerID=40&md5=210fb8719e6be1f9e009f619b36e964c","[No abstract available]","",""
"An Examination of Human Factors in Australian Helicopter Emergency Medical Services (HEMS)","2023","International Journal of Aerospace Psychology","10.1080/24721840.2023.2245851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169539511&doi=10.1080%2F24721840.2023.2245851&partnerID=40&md5=fb5785b0db7db3dfbf41da519c744914","Objective: This study aims to identify and examine prevalent human factors in the Australian Helicopter Emergency Medical Services (HEMS) industry. Background: There is little research into the human factors of HEMS operations. Weather, fuel planning, fatigue, and pressure are prominent human factors found in HEMS operations globally. Method: The research methodology involves primary data through a tailored human factors survey of HEMS staff in Australia, and secondary data from historical ATSB (Australian Transport Safety Bureau) accident reports involving HEMS operations. Results: Results from a survey, as well as secondary data, show that Australian HEMS is in line with global trends, regularly encounter issues related to weather, fatigue and feelings of pressure. Weather factors were the most encountered event by most Australian HEMS crews surveyed. The likelihood of an individual committing an error or violation was increased when they felt pressure to complete the task. The cause of the pressure was found to be unique to HEMS operations with the condition of the patient being the most common. However, the source of the pressure was equally attributed to self-imposed pressure and pressure imposed by others. Years of experience in HEMS operations is identified in reducing exposure to some of the investigated hazards and human factors. Conclusion: The weather situation, fatigue and feelings of pressure were the three main human factor issues in Australian HEMS. © 2023 Taylor & Francis Group, LLC.","",""
"A Mixed-Method Study on Job Satisfaction Among Air Traffic Controllers During the Pandemic: The Roles of Work-Family Interface and Resilience","2023","International Journal of Aerospace Psychology","10.1080/24721840.2023.2242391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169074285&doi=10.1080%2F24721840.2023.2242391&partnerID=40&md5=907f4cdd500f03668d7ad2106a901535","Objective: To investigate whether workload is negatively related to job satisfaction, directly and indirectly, via work-family conflict, and conditional on resilience levels. Background: Covid-19 restriction measures severely affected the aviation sector leading air traffic controllers to face periodic fluctuations in air traffic volume. Despite their key role in ensuring the efficiency and safety of air traffic management, little is known about the psychological issues faced by air traffic controllers during the pandemic. Method: A total of 168 Italian air traffic controllers completed an online self-report survey assessing workload, work-family conflict, job satisfaction, resilience, and Covid-19-related experience. Descriptive statistics and moderated mediation analyses were performed. To deepen the quantitative results, ten semi-structured interviews were conducted, and were analyzed using thematic analysis. Results: Workload was positively related to work-family conflict which, in turn, was negatively associated with job satisfaction. Resilience buffered this association. The following six main themes emerged from the interviews: the impact of the Covid-19 pandemic; double-edged job characteristics; job-related risk stressors; protective resources; work-life interface; and consequences. Conclusion: Air traffic controllers who were confronted with sudden increases in air traffic volume were more likely to experience work-family conflict and then be less satisfied with their job. However, resilience was a protective factor against lower job satisfaction under high work-family conflict levels. Qualitative results deepened these findings. The practical implications of these findings are discussed. © 2023 Taylor & Francis Group, LLC.","",""
"The Technology Readiness and Acceptance Model as a Predictor of Pilots’ Willingness to Operate in UAM Integrated Airspace","2023","International Journal of Aerospace Psychology","10.1080/24721840.2023.2242397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166905481&doi=10.1080%2F24721840.2023.2242397&partnerID=40&md5=9e31ec88111080aa8a4b847003033116","Objective: This research study aimed to identify the factors influencing manned aircraft pilots’ willingness to operate in AAM/UAM integrated airspace using a hypothesized model grounded in the Technology Readiness Index (TRI) and Technology Acceptance Model (TAM). Background: Advanced Air Mobility (AAM) is the concept of using novel aircraft to transport cargo and passengers in and around regional and urban areas. Urban Air Mobility (UAM) is a subset of AAM. Currently, there is a lack of empirical research on manned aircraft pilots’ willingness to operate in the vicinity of autonomous AAM/UAM aircraft. Method: The study used a quantitative correlational design and a survey instrument to collect data from 254 participants. Results: The findings from the study indicated support for five of the ten hypotheses, and the model explained 63% of the variance in willingness to pilot an aircraft (WTPA) in UAM/AAM integrated airspace. Conclusions: Perceived ease of use and trust had a positive influence on willingness to pilot, while risk had a negative influence. © 2023 The MITRE Corporation.","",""
"Qualitative Analysis of General Aviation Pilots’ Aviation Safety Reporting System Incident Narratives Using the Human Factors Analysis and Classification System","2023","International Journal of Aerospace Psychology","10.1080/24721840.2023.2232387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165500583&doi=10.1080%2F24721840.2023.2232387&partnerID=40&md5=ec5276a20f872755a79b5073506cd235","NASA's Aviation Safety Reporting System (ASRS) gathers data from voluntary aviation safety reports for nonfatal accidents and incidents. These reports are a valuable resource in identifying unsafe occurrences and hazardous situations in the aviation industry. A tool known as the Human Factors Analysis and Classification System (HFACS), initially developed for military use, has proven useful for root cause analysis of human causes in aviation accidents and incidents, including in commercial contexts. This research study utilizes HFACS to classify the ASRS safety reports to identify key indicators in General Aviation (GA) non-fatal accidents and incidents. Qualitative data analysis reveals relationships between incidents and causal factors, indicating 53% of incidents to be perceptual errors, 32% decision errors, and 26% skill-based errors. Prevalent preconditions for these errors include crew resource management (53%), physical environment (32%), and technological environment (16%). The study aligns with previous research findings, suggesting that crew resource management is a common factor in both GA incidents and commercial and military aviation. While GA pilots may make different types of errors, such discrepancies are not prevalent in the voluntarily reported data. © 2023 Taylor & Francis Group, LLC.","",""
"COVID-19 and the Airline Business: A New Decision-Making Process for Employee Loyalty and Job Insecurity","2023","International Journal of Aerospace Psychology","10.1080/24721840.2023.2231507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164692352&doi=10.1080%2F24721840.2023.2231507&partnerID=40&md5=8aa7c71f735b254a1c5af176f8720949","Objective: This study is designed to present a decision-making process forming airline crews’ loyalty intention to their company, comparing this process before and after the COVID-19 outbreak. Background: Under the threat of COVID-19, the airline industry experienced unprecedented challenging times. Specifically, job security among airline employees was increasingly uncertain. Method: Using survey methods, we developed the theoretical framework based on the theory of planned behavior and tested it using structural equation modeling and multigroup analysis. Results: The results successfully embraced the process of volitional and non-volitional behaviors from its constituents. In addition, airline crew loyalty intention was influenced by company image and subjective well-being through attitude and job satisfaction. Lastly, perceived job insecurity moderated the relationships between variables, and the impact of employee attitude on job satisfaction and loyalty intention differed before and after COVID-19. Conclusion: The developed theoretical framework sufficiently accounted for airline employees’ loyalty intentions. As a result, the findings of this research help researchers and practitioners find efficient ways of boosting airline crews’ positive attitude and loyalty in the post-COVID-19 era. © 2023 Taylor & Francis Group, LLC.","",""
"Team Performance in Air Combat: A Teamwork Perspective","2023","International Journal of Aerospace Psychology","10.1080/24721840.2023.2231517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164675181&doi=10.1080%2F24721840.2023.2231517&partnerID=40&md5=030eeacf264c8b4e030c8ecd121db7f4","Objective: The objective of this paper is to describe a model combining taskwork and teamwork of a single-seat fighter aircraft team, or flight, during its performance episode. Background: In air combat, evaluations of team performance have focused on task performance. However, both teamwork and taskwork are required for high performance output. Attempts to address taskwork and teamwork in single-seat fighter aircraft flights have mainly settled for adopting existing models of teamwork to flights. As such, they have overlooked the unique nature of teamwork in air combat. Method: Existing models of teamwork and taskwork are reviewed and a flight’s tactical decision-making is described as an input-process-output model. A model combining flight’s teamwork, taskwork, situation awareness and transactive memory is conceptualized and operation of the model is illustrated with a case study. In the case study, the model is used to provide an alternative explanation for an air combat accident. Results: The model bridges the gap between the well-established concepts of teamwork and the unique nature of air combat. It rationalizes how the mission essential competencies, situation awareness and transactive memory interact with each other, and how they impact the flight’s performance output. Conclusions: The model helps scholars and practitioners in identifying the connection between the flight’s performance output and the underlying processes even when cause and effect are not adjacent in either time or space. © 2023 The Author(s). Published with license by Taylor & Francis Group, LLC.","",""
