Topic,Count,Name,Representation,Representative_Docs
26,20,26_risk perception in pilots,['risk perception in pilots'],"['<title>How Do General Aviation Pilots Choose Their Route When Flying in Complex Airspace?</title> <excerpt>Objective: This study is an analysis of the planning of general aviation (GA) pilots and its impact on airspace infringements. Background: Past studies identified the contribution of inadequate flight planning to airspace infringements in Europe, but without any discussion relating to the processes involved and their shortcomings.</excerpt>', '<title>Development and Validation of a General Aviation Risk Perception Scale</title> <excerpt>The aim of this study was to develop a psychometric tool for measuring pilot perceptions of risk, with a focus on risk in general aviation (GA) flying. Unlike other objective protocols that pilots adhere to (eg, checklists), assessing and responding to risk is a subjective task, making it challenging to evaluate.</excerpt>', ""<title>Risk perception among general aviation pilots</title> <excerpt>Two measures of pilot risk perception are described. One measure assessed pilots' perception of the level of risk experienced by other, fictional, pilots, and the second measure assessed the pilots' perceptions of the level of risk they would experience if they were personally involved in a set of scenarios.</excerpt>""]"
27,20,27_mental workload assessment,['mental workload assessment'],"['<title>The effects of dynamic workload and experience on commercially available EEG cognitive state metrics in a high-fidelity air traffic control environment</title> <excerpt>The current study evaluated the validity of commercially available electroencephalography (EEG) cognitive state metrics of workload and engagement in differentially experienced air traffic control (ATC) students. EEG and pupil diameter recordings were collected from 47 ATC students (27 more experienced and 20 less experienced) during a high-fidelity, variable workload approach-control scenario.</excerpt>', '<title>Operator Functional State Classification using Multiple Psychophysiological Features in an Air Traffic Control Task</title> <excerpt>We studied 2 classifiers to determine their ability to discriminate among 4 levels of mental workload during a simulated air traffic control task using psychophysiological measures. Data from 7 air traffic controllers were used to train and test artificial neural network and stepwise discriminant classifiers.</excerpt>', '<title>Workload state classification with automation during simulated air traffic control</title> <excerpt>Real-time operator workload assessment and state classification may be useful for decisions about when and how to dynamically apply automation to information processing functions in aviation systems. This research examined multiple cognitive workload measures, including secondary task performance and physiological (cardiac) measures, as inputs to a neural network for operator functional state classification during a simulated air traffic control (ATC) task.</excerpt>']"
28,20,28_self-efficacy in performance,['self-efficacy in performance'],"['<title>Goal Orientations and Performance: Differential Relationships Across Levels of Analysis and as a Function of Task Demands</title> <excerpt>Goal orientation and self-regulation theories were integrated to develop a multilevel framework aimed at addressing controversies regarding the magnitude and direction of goal orientation effects on performance. In Study 1, goal orientations were measured repeatedly whilst individuals performed an air traffic control task.</excerpt>', '<title>Cognitive and Noncognitive Determinants and Consequences of Complex Skill Acquisition</title> <excerpt>Integration of multiple perspectives on the determinants of individual differences in skill acquisition is provided by examination of a wide array of predictors: ability (spatial, verbal, mathematical, and perceptual speed), personality (neuroticism, extroversion, openness, conscientiousness, and agreeableness), vocational interests (realistic and investigative), self-estimates of ability, self-concept, motivational skills, and task-specific self-efficacy. Ninety-three trainees were studied over the course of 15 hr (across 2 weeks) of skill acquisition practice on a complex, air traffic controller simulation task (Terminal Radar Approach Controller; TRACON; Wesson International; Austin, TX).</excerpt>', '<title>Another source of individual differences: Strategy adaptivity to changing rates of success</title> <excerpt>This article explores an alternative approach to the study of individual differences of cognitive function -that people may have the same strategies but differential ability to adaptively select among them in response to success and failure feedback from the environment. Three studies involving the complex and dynamic Kanfer-Ackerman Air Traffic Control Task (P.</excerpt>']"
29,19,29_pilot selection assessment,['pilot selection assessment'],"['<title>Flight Examiners’ Methods of Ascertaining Pilot Proficiency</title> <excerpt>Objective: To determine how flight examiners reason and which methods they use when assessing the competencies of pilots for continued accreditation purposes and type-rating training. Background: Early work on pilot performance assessment focused on measurement models, including the accuracy and reliability of the scores attributed to the human factors variables included.</excerpt>', '<title>The aircraft pilot: 5 years of research; a summary of outcomes</title> <excerpt>The history and objectives of the Committee on Selection and Training of Aircraft Pilots of the National Research Council are described. The results of the research studies are analyzed under several basic programs: pilot selection and classification, pilot training, evaluation of pilot performance, emotional disturbances with learning to fly, studies of airsickness, and aviation accidents.</excerpt>', '<title>Aircrew selection systems</title> <excerpt>Research was conducted to develop and validate a computerized battery of psycomotor and cognitive tests to identify candidates who sould not either complete pilot training or be recommended for a fighter assignment after training. All or part of the battery of 15 tests was given to 1,622 Air Force Pilot candidates prior to training and their test scores were regressed against various flying performance measures.</excerpt>']"
30,19,30_pilot mental health stress,['pilot mental health stress'],"['<title>Occupational and psychosocial stress among commercial aviation pilots</title> <excerpt>The sources of occupational and domestic stress, together with life events and coping strategies, were assessed in terms of their influence on job dissatisfaction, mental health, and performance among a group of 442 commercial airline pilots. It was found that self-perceived poor performance was associated with job-related factors such as fatigue and anxiety about required courses, performance checks, and insufficient flying time, particularly among older pilots.</excerpt>', '<title>A Qualitative Study Exploring Well-Being and the Potential Impact of Work-Related Stress among Commercial Airline Pilots</title> <excerpt>Increasing evidence suggests that commercial airline pilots can experience physical, mental, and social health difficulties. Qualitative interviews with commercial airline pilots explored the relationship between work-related stress and well-being.</excerpt>', ""<title>The sources of stress on the wives of commercial airline pilots</title> <excerpt>The purpose of this study was to assess the impact of the pilot's job on the personal and life satisfaction of his wife. A representative sample of 282 wives of commercial airline pilots was investigated to empirically determine which sources of stress and demographic characteristics would predict life dissatisfaction.</excerpt>""]"
31,19,31_pilot display effectiveness,['pilot display effectiveness'],"['<title>Navigation display design: Displaying nearest airport information</title> <excerpt>Thirty-six participants were tested on their ability to orient toward the nearest airport based on the manner in which information was presented on a global positioning system (GPS) area navigation display. Results indicated that use of the tabular, text-only format normally found on such displays was significantly slower and less accurate than either a map display of nearest airport information or a text display that included an orientation symbol.</excerpt>', '<title>Comparing text and graphics in navigation display design</title> <excerpt>Thirty-six pilots were tested in a flight simulator on their ability to decide which of 2 airports was furthest from a storm front, based on the manner in which information was presented on a navigational display. The results support the superiority of graphical over textual information display.</excerpt>', ""<title>Brain structural plasticity in visual and sensorimotor areas of airline pilots: A voxel-based morphometric study</title> <excerpt>Background and Purpose: : Airline pilot is a highly specialized profession that requires to response quickly and accurately in the presence of a wide variety of visual information. Although functional imaging studies have employed virtual simulation to identify brain areas that underlie various flying-related tasks, little is known about the specific patterns of structural plasticity in the airline pilot's brain.</excerpt>""]"
32,18,32_psychological effects of flying,['psychological effects of flying'],"['<title>Counseling of emotional blocking in an aviator</title> <excerpt>This is a case report of counseling which revealed the cause of emotional blocking of a failing pilot trainee and enabled him to cope with the repressed and displaced father-hatred. Although ""washed out"" soon after counseling started, the boy has adjusted as an aviation machinist\'s mate and is now more likely to succeed as a pilot when he gets another chance.</excerpt>', '<title>In-flight psychiatric emergencies</title> <excerpt>Background: Although studies have been published regarding airline in-flight medical emergencies, there is a lack of any specific studies about in-flight psychiatric emergencies. This study seeks to ascertain the incidence of in-flight psychiatric emergencies, their associated factors, and outcomes.</excerpt>', ""<title>Inflight anxiety conditions presenting with ''break-off'' symptoms</title> <excerpt>The psychological dimension of disorientation is explored through two experienced pilots who developed inflight anxiety conditions. These were associated with ''break-off'' symptoms, which are inflight sensations of separation from the ground, the environment, and the aircraft.</excerpt>""]"
33,18,33_pilot selection assessments,['pilot selection assessments'],"['<title>Predicting Commercial Pilot Training Performance: A Validation Study</title> <excerpt>The main purpose of this study was to examine the predictive validity of the system used for ab initio selection of candidates to a bachelor program in aviation. The selection includes paper-and-pencil tests, computer-based tests, and an interview.</excerpt>', '<title>The Role of Basic Flight Simulators in the Selection of Ab Initio Airline Pilots</title> <excerpt>Objective: This paper aims at identifying the factors influencing performance in basic flight simulators in the selection of ab initio pilot candidates and to determine the incremental value of these flight simulators in predicting performance in flight training. Background: Several factors such as cognitive ability, personality, and demographic information are discussed to be associated with performance in basic flight simulators.</excerpt>', '<title>Investigating the Validity of Previous Flying Experience, Both Actual and Simulated, in Predicting Initial and Advanced Military Pilot Training Performance</title> <excerpt>This study examined the validity of cognitive ability, previous flying experience, and a simulation in predicting the job knowledge and flying performance of military pilots undergoing training. Archival data were analyzed for 300 Canadian pilot candidates who attempted entry-level military pilot training and 150 candidates who completed intermediate-level training on fixed-wing aircraft.</excerpt>']"
34,18,34_landing flare perception,['landing flare perception'],"['<title>A mathematical model of glide-slope perception in the visual approach to landing</title> <excerpt>A mathematical model of glide-slope perception is presented for the visual approach to landing when there is a visually impoverished scene. The perceptual process has been modeled as the weighted average of the geometric relations in the scene that provide glide-slope information, with weights being adjusted during the approach to minimize the uncertainty in glide-slope perception.</excerpt>', '<title>Progress in the development of guidance strategies for the landing flare manoeuvre using tau-based parameters</title> <excerpt>Purpose – To provide a progress report into research conducted to establish guidelines for the development of guidance vision aids. Design/methodology/approach – The first stage of the research is to establish a coherent engineering basis for the methods of (visual) motion perception and control to inform the design of pilot aids that will support flight in degraded visual conditions, particularly when close to the ground.</excerpt>', '<title>Ranking Pictorial Cues in Simulated Landing Flares</title> <excerpt>Two-dimensional pictorial cues provide depth perception information that help pilots initiate the landing flare 10–20 ft from the ground. Although prior studies established the importance of three specific cues, they failed to rank-order their importance.</excerpt>']"
35,18,35_military pilot stress,['military pilot stress'],"['<title>Impairment of flying efficiency in anancastic pilots</title> <excerpt>Previous work on the effects of stress upon flying efficiency has shown two types of psychological stress to exist; these are usually referred to as cognitive and affective stress, respectively. A refinement in affective stress analysis has enabled two subtypes of stress to be demonstrated: one is characterized by activity of the sympathetic nervous system (SNS) and subjective feelings of rage, fear, anxiety, or frustration; the other by excessive rumination.</excerpt>', ""<title>An assessment of Turkish Air Force pilots' anxiety and depression levels</title> <excerpt>A popular conception of good morale is the perception of well-being, lack of distress, and absence of anxiety and depression. Therefore, the term 'morale' is related to anxiety and depression.</excerpt>"", '<title>Variations in mood states among Brazilian air force pilots: a crossover analysis between operational and aerobatic flight missions</title> <excerpt>Background: Aerobatic flight maneuvers expose military pilots to a confluence of physiological and psychological stressors—including sustained G-forces, vestibular disorientation, and neuromuscular fatigue—that may acutely modulate emotional states and compromise cognitive performance. However, the differential psychometric impact of routine operational flights versus high-intensity air demonstrations remains poorly characterized.</excerpt>']"
36,17,36_military pilot performance,['military pilot performance'],"['<title>Effect of different combat jet manoeuvres in the psychophysiological response of professional pilots</title> <excerpt>Extreme limits of the human body could be reached in air combat. We analysed 29 fighter pilots before and after offensive and defensive manoeuvres on heart rate (HR), heart rate variability, leg and hand strength, spirometry, temperature, blood oxygen saturation (BOS), lactate, hydration (USG), cortical activation, memory and psychological variables.</excerpt>', '<title>Similarities and Differences in Psychophysiological Reactions Between Simulated and Real Air-to-Ground Missions</title> <excerpt>This study examines the similarities and differences in psychophysiological reactions in simulated and real flight. Five fighter pilots from the Swedish Air Force participated in the study, flying the same type of mission in a simulator and in real flight.</excerpt>', '<title>Impact of real and simulated flights on psychophysiological response of military pilots</title> <excerpt>Objective: The present research aimed to analyse the autonomic, anxiety, perceived exertion, and self-confidence response during real and simulated flights. Methods: This cross-sectional study participated 12 experienced male pilots (age = 33.08 (5.21)) from the Spanish Air Force.</excerpt>']"
37,17,37_personality in extreme environments,['personality in extreme environments'],"['<title>Antarctic culture: 50 Years of antarctic expeditions</title> <excerpt>Background: Analyses of data collected on returned Australian Antarctic personnel were conducted to examine links between personality traits, perceptions of Antarctic station culture, and perceptions of subjective fit with Antarctic station life and culture. Methods: Participants were 103 men who participated in Australian National Antarctic Research Expeditions (ANARE) over a 50-yr period from 1950 to 2000 representing the first 50 yr of ANARE and all positions and occupations included in Australian Antarctic expeditions.</excerpt>', '<title>Personality Trait Comparison of Pararescue Personnel and Elite Athletes</title> <excerpt>INTRODUCTION: Pararescue personnel (PJs) deploy in high-risk environments and perform extraordinary missions under intense conditions, requiring an unusual combination of physical and psychological abilities. The rigorous nature of PJ training and the superior levels of fitness and cognitive functioning to perform challenging physical feats in high-pressure, high-intensity environments have prompted military commanders and embedded health care providers to compare successful performance in the PJ mission with the characteristics required of elite, Olympic-level athletes.</excerpt>', '<title>Predictors of behavior and performance in extreme environments: The antarctic space analogue program</title> <excerpt>Background: To determine which, if any, characteristics should be incorporated into a select-in approach to screening personnel for long- duration spaceflight, we examined the influence of crewmember social/demographic characteristics, personality traits, interpersonal needs, and characteristics of station physical environments on performance measures in 657 American men who spent an austral winter in Antarctica between 1963 and 1974. Methods: During screening, subjects completed a Personal History Questionnaire which obtained information on social and demographic characteristics, the Deep Freeze Opinion Survey which assessed 5 different personality traits, and the Fundamental Interpersonal Relations Orientation- Behavior (FIRO-B) Scale which measured 6 dimensions of interpersonal needs.</excerpt>']"
38,17,38_perception under rotary acceleration,['perception under rotary acceleration'],"['<title>The effects of repeated rotary acceleration on the oculo-gyral illusion</title> <excerpt>""The effects of repeated angular acceleration and deceleration on visual perception were studied in three subjects to establish whether any change in the oculo-gyral illusion would occur\xa0. .</excerpt>', '<title>Visual reaction times during prolonged angular acceleration parallel the subjective perception of rotation</title> <excerpt>Investigated the effect of prolonged angular acceleration on choice reaction time to an accelerating visual stimulus, using 10 commercial airline pilots as Ss. The pattern of reaction times during and following acceleration was compared with the pattern of velocity estimates reported during identical trials.</excerpt>', ""<title>Rotary acceleration of a subject inhibits choice reaction time to motion in peripheral vision</title> <excerpt>Studied the effect of S's rotary acceleration upon choice reaction time (RT) to an accelerating target in peripheral vision, with the level of acceleration and the viewing angle of the visual target as variables. 12 commercial airline pilots were tested in a rotation device under conditions of visual stimulation alone and visual-plus-rotary stimulation.</excerpt>""]"
39,17,39_long-duration space health,['long-duration space health'],"['<title>Medical problems of manned space flights onboard orbital stations</title> <excerpt>Medical aspects of crew safety and life support as well as biomedical investigations form part and parcel of the preparation and conduct of manned space programs. The list of biomedical problems related to these programs is very long.</excerpt>', '<title>Human factor in manned Mars mission</title> <excerpt>This paper presents the set of specific problems in manned Mars mission, connected with human factor, and scientific approaches for their resolution. The concept of multifunctional medical Complex for Martian spacecraft is discussed.</excerpt>', '<title>A Year on the International Space Station: Implementing a long-duration biomedical research mission</title> <excerpt>INTRODUCTION: The year-long mission of American astronaut Scott Kelly and Russian cosmonaut Mikhail Kornienko included the most complex biomedical experiments ever conducted on the International Space Station-and arguably in human spaceflight-to establish insight into human health risks of interplanetary exploration. Focusing on risk mitigation, NASA conducted investigations that addressed spaceflight health hazards to varying degrees.</excerpt>']"
40,17,40_crew resource management evolution,['crew resource management evolution'],"['<title>The evolution of crew resource management training in commercial aviation</title> <excerpt>In this study, we describe changes in the nature of Crew Resource Management (CRM) training in commercial aviation, including its shift from cockpit to crew resource management. Validation of the impact of CRM is discussed.</excerpt>', '<title>MRM training, evaluation, and safety management</title> <excerpt>Maintenance resource management (MRM) programs started as training programs aimed at increasing the awareness regarding human performance limitations in the aviation maintenance environment. Since their inception in 1989, MRM programs in the United States have undergone 4 generations of development (Taylor & Patankar, 2001) and are currently morphing themselves yet again toward the 5th generation, one that incorporates a Federal Aviation Administration-approved voluntary error-reporting program such as the Aviation Safety Action Program (ASAP) or a generic or internal error-reporting program.</excerpt>', ""<title>Behavioral markers for crew resource management: A review of current practice</title> <excerpt>Developments in crew resource management (CRM) have progressed from the introduction of training programs to the evaluation of CRM skills, particularly for multicrew cockpits. European regulators responsible for flight operations and flight crew licensing (Joint Aviation Authorities, 1996, 1997) are introducing requirements for the training and assessment of pilots' nontechnical skills.</excerpt>""]"
41,16,41_pilot psychology and assessment,['pilot psychology and assessment'],"['<title>Medical flying fitness: a routine affair - but who examines and assesses psychic health?</title> <excerpt>The regular physiological check up of pilots pretends to be a thorough diagnosis and yet the psychological aspects are ignored almost completely sometimes. As an excuse for this procedure, it is stated that in his psychological aptitude test prior to flying training, the pilot had already been classified as suitable and fit.</excerpt>', '<title>Psychological testing and pilot licensing</title> <excerpt>This article reviews contemporary trends in the psychological testing of pilots. It is written in the particular context of draft European Joint Aviation Authorities licensing proposals which, in certain circumstances, envisage psychological testing for pilot licensing purposes.</excerpt>', '<title>What the Birkman Method© Can Tell Us about the Psychological Profile of Business Aviation Departments, Their Leadership, Strengths, and Challenges</title> <excerpt>Method: The study summarizes a significant amount of Birkman data, validated by one-on-one interviews with business aviation professionals and supported by close observation of the departments and corporations where they work. Objective: Earlier research focused on military, commercial, and trainee pilots; the present study of business aviation examines not only pilots but also maintenance technicians, cabin attendants, schedulers, and directors of aviation who fly, maintain, and manage corporate jets.</excerpt>']"
42,16,42_gender and health in aviation,['gender and health in aviation'],"['<title>Impact of sound and vibration on health, travel comfort and performance of flight attendants and pilots</title> <excerpt>Noise and vibration affect flight attendants and pilots at their workplace in cabin and cockpit, respectively, besides numerous other physical environmental parameters, eg air quality, draft, temperature distribution, humidity, glare. Additionally, the physiological setting and psychological attitude modulate the impact of environmental parameters.</excerpt>', '<title>Self perceived health and mental health among women flight attendants</title> <excerpt>Aims: The authors investigated associations of work related risk factors with self perceived health as less than ""good"" and psychological distress among Italian women flight attendants. Methods: The authors conducted a cross sectional survey on health and mental health among 1955 former and current flight attendants, using a postal questionnaire.</excerpt>', '<title>Integrating qualitative methods into occupational health research: A study of women flight attendants</title> <excerpt>Aims: To identify possible work related sources of psychosocial stress in order to develop pertinent questionnaire items for a cross-sectional health survey of 3000 Italian women flight attendants, and to solicit suggestions on improving survey participation. Methods: Qualitative study in which 26 current and former women flight attendants participated: three focus groups of 6-7 participants each and six in-depth individual interviews.</excerpt>']"
43,16,43_cardiovascular health in pilots,['cardiovascular health in pilots'],"['<title>Cardiovascular reactivity to work stress predicts subsequent onset of hypertension: The air traffic controller health change study</title> <excerpt>Objective: The hypothesis that increased blood pressure reactivity to stress is an early risk marker of hypertension was tested in a 1994 follow-up of the 1974 to 1978 Air Traffic Controller Health Change Study sample. Methods: Assessments in 1974 to 1978 included physical examinations and recordings (every 20 minutes for 5 hours) of both workload (planes within controller airspace) and blood pressure reactivity.</excerpt>', '<title>Is there a hypercoagulable state in military fighter pilots?</title> <excerpt>Background: A hypercoagulable state is associated with an increased incidence of cardiovascular disease, the most important cause of permanent grounding of flying personnel. Hypothesis: The aim of our study was to investigate whether a hypercoagulable state is present in jet pilots, and whether it can be due to flight activity.</excerpt>', '<title>Systolic blood pressure in fighter pilots after 12-15 years service</title> <excerpt>Systolic blood pressure (SBP) was measured at entry and after 12-15 years in 112 fighter pilots and compared to 112 transport and helicopter pilots. The pilots were 20-24 years old on entry into the study.</excerpt>']"
44,16,44_cognitive load in pilots,['cognitive load in pilots'],"[""<title>Fighter pilots' heart rate, heart rate variation and performance during an instrument flight rules proficiency test</title> <excerpt>Increased task demand will increase the pilot mental workload (PMWL). When PMWL is increased, mental overload may occur resulting in degraded performance.</excerpt>"", '<title>The differential effect of sustained operations on psychomotor skills of helicopter pilots</title> <excerpt>INTRODUCTION: Flying a helicopter is a complex psychomotor skill requiring constant control inputs from pilots. A deterioration in psychomotor performance of a helicopter pilot may be detrimental to operational safety.</excerpt>', '<title>Investigating Offshore Helicopter Pilots’ Cognitive Load and Physiological Responses during Simulated In-Flight Emergencies</title> <excerpt>Objectives: This study was designed to explore pilots’ emergency response performance by collecting real-time physiological and cognitive workload data during pre-defined offshore helicopter scenarios in a flight simulator. Background: Qualification processes require helicopter pilots to complete scheduled simulation training to ensure competency in areas that would otherwise be too dangerous to practice while flying the actual helicopter.</excerpt>']"
45,15,45_psychological dynamics in aviation,['psychological dynamics in aviation'],"['<title>Relationships among service climate, psychological contract, work engagement and service performance</title> <excerpt>The paper identifies relationships between cabin service directors and flight attendants and service climate, psychological contracts, work engagement, service performance and cue perception ability. We find that relational psychological contracts have a positive influence on work engagement; transactional psychological contracts have a negative influence on work engagement; work engagement has a positive influence on service performance; work engagement mediates the relationship between relational psychological contracts and service performance; service climate has a positive influence on service performance; and cue perception ability moderates the relationship between work engagement and service performance.</excerpt>', '<title>How positive psychological capital promotes service recovery performance through mental health and work engagement: Does service climate matter?</title> <excerpt>Purpose – This study aims to examine the contribution of positive psychological capital (PsyCap) to service recovery performance (SRP) through the mediating roles of mental health (MH) and work engagement (WE). Additionally, it considers the moderating role of service climate (SC).</excerpt>', '<title>Effects of Psychological Capital and Person-Job Fit on Hospitality Employees’ Work-Family Conflict, Family-Work Conflict and Job Performance: The Moderating Role of Marital Status</title> <excerpt>Drawing on the conservation of resources (COR) theory and congruence theory, this study aims to investigate the influence of psychological capital (PsyCap) and person-job fit (PJ fit) on work–family conflict (WFC), family–work conflict (FWC) and job performance (JP), especially the moderating effect of marital status on hypothesized relationships between two directions of conflicts in the work-family interface and JP. Utilizing a two-stage design, this study surveyed 312 flight attendants employed by two international airline companies in Malaysia and used the structural equation modeling technique to test the hypothesized relationships.</excerpt>']"
46,15,46_air medical operational safety,['air medical operational safety'],"['<title>Survivors perceptions of recovery following air medical transport accidents</title> <excerpt>Objective: Air medical transport (AMT) teams play an essential role in the care of the critically ill and injured. Their work, however, is not without risk.</excerpt>', '<title>Assessing air medical crew real-time readiness to perform critical tasks</title> <excerpt>Background. Air medical transport has had problems with its safety record, attributed in part to human error.</excerpt>', ""<title>Senior Aviator Medical Qualification Status</title> <excerpt>Introduction: Aviation personnel are expensive to train and challenging for the services to retain because of lucrative opportunities in the civilian aviation sector and a desire among pilots for agency. The military services' retention efforts have typically utilized a combination of high continuation pays and longer service commitments of up to 10 years following initial training.</excerpt>""]"
47,14,47_pilot medical fitness,['pilot medical fitness'],"['<title>Pilot medical history and medications found in post mortem specimens from aviation accidents</title> <excerpt>Introduction: Federal Aviation Administration (FAA) regulations require pilots to report all medications and medical conditions for review and consideration as to the overall suitability of the pilot for flight activities. Methods: Specimens were collected by local pathologists from aviation accidents and sent to the Bioaeronautical Sciences Research Laboratory for analysis.</excerpt>', '<title>Medical Reporting Behavior of Military, Commercial, and General Aviation Pilots</title> <excerpt>INTRODUCTION: Pilots are undoubtedly among employees who undergo rigorous medical evaluations to ensure they are fit to fly. However, accidents like the Germanwings Flight 9525 highlight that medically unfit individuals can still end up in the cockpit.</excerpt>', '<title>Medical disqualification of 275 commercial pilots: Changing patterns over 20 years</title> <excerpt>Introduction: The medical requirements for commercial pilots are issued by the ICAO and the European aviation safety organization JAA. In Norway, the Aeromedical Section of the Civil Aviation Authority assesses whether pilots are medically fit to fly.</excerpt>']"
48,14,48_weather decision making,['weather decision making'],"['<title>Pilots as Weather Briefers: The Direct Use of Aviation Weather Products by General Aviation Pilots</title> <excerpt>When planning a flight, pilots have traditionally consulted with trained weather briefers who gather, select, review, and to some extent interpret aviation weather products for them. Today, pilots can directly access these same weather products from their own computers, aircraft cockpits, and mobile devices, and choose to skip the services offered by weather briefers.</excerpt>', '<title>Crosswind landings in general aviation: A modified method of reporting wind information to the pilot</title> <excerpt>Crosswind conditions are a contributory factor in many general aviation landing incidents and accidents. In an online survey, it was observed that 98% of respondents either failed to or could not accurately calculate the runway crosswind component from air traffic control (ATC) reports passed using the International Civil Aviation Organization (ICAO) standard phraseology; the majority of pilots also severely underestimated the crosswind strength.</excerpt>', '<title>Assessing General Aviation Pilots’ Understanding of Aviation Weather Products</title> <excerpt>Objective: The objective of this article was to develop a written examination to assess general aviation (GA) pilots’ understanding of aviation meteorology products. Background: Although the number of accidents in GA flight continues to decrease over time, one troubling situation is when pilots encounter hazardous weather.</excerpt>']"
49,13,49_pilot pain and performance,['pilot pain and performance'],"['<title>Performance Optimization and Injury Mitigation for Air Force Student Fighter Pilots</title> <excerpt>Introduction: Military fighter aircrew report high rates of cervical pain and injury. There is currently no consensus regarding the best training methods for this population.</excerpt>', ""<title>Back pain and its consequences among Polish Air Force pilots flying high performance aircraft</title> <excerpt>Objectives: Back pain in Air Force fast jet pilots has been studied by several air forces and found to be relatively common. The objective of the study was to determine the prevalence and degree of the pain intensity in the cervical, thoracic and lumbar spine, subjective risk factors and their effect on the pilots' performance while flying high maneuver aircrafts and the consequences for cognitive deficiencies.</excerpt>"", '<title>Evaluating the Impact of a Spine Training Program on Air Force Student Fighter Pilots</title> <excerpt>Introduction: A 2022 survey conducted by Headquarters Air Combat Command Aircrew Performance Branch found that 98% of fighter aircrew reported flight-related neck pain during their career. Despite the high prevalence of neck pain and growing operational demands, there remains no consensus regarding best practices for mitigating aircrew pain and injury.</excerpt>']"
50,13,50_health impacts on pilots,['health impacts on pilots'],"['<title>Influence of stress on lymphocyte subset distribution - A flow cytometric study in young student pilots</title> <excerpt>Stressors can induce sizable modifications on immunocompetent cells. Major circulating lymphocyte subsets were quantitated in Italian Air Force student pilots undergoing intensive training and continuous evaluation, a stressful situation both physically and psychologically.</excerpt>', '<title>Relationships between stress, psychological factors, health, and immune levels among military aviators</title> <excerpt>The present study investigated the relationship between immunoglobulin levels and work stress and personality factors in a population of healthy air force aviators, and also if such factors were related to health complaints. Sixty-four aviators participated, 31 fighter pilots and 33 from a Hercules C130 squadron.</excerpt>', '<title>Sinusitis in pilots of different aircraft types: Is allergic rhinitis a predisposing factor?</title> <excerpt>Background: Despite the high association of allergic rhinitis and acute sinusitis, their exact relationship remains unclear, especially in pilots. The purpose of this study was to analyze the possible relationship of a history of allergic rhinitis with the occurrence of acute sinusitis in Israeli air force pilots.</excerpt>']"
51,13,51_airsickness rehabilitation training,['airsickness rehabilitation training'],"['<title>Autogenic feedback training exercise: A treatment for airsickness in military pilots</title> <excerpt>In this article, we present physiological data from 2 male pilots who completed a 6-hr training program for control of motion sickness at National Aeronautic and Space Administration Ames Research Center. The program consisted of an Autogenic Feedback Training Exercise in which research participants learn through operant conditioning techniques to regulate several physiological responses to suppress their symptoms.</excerpt>', '<title>Autogenic feedback training exercise and pilot performance: Enhanced functioning under search-and-rescue flying conditions</title> <excerpt>Studies have shown that autonomous mode behavior is one cause of aircraft fatalities due to pilot error. In such cases, the pilot is in a high state of psychological and physiological arousal and tends to focus on one problem, while ignoring more critical information.</excerpt>', '<title>Autogenic feedback training improves pilot performance during emergency flying conditions.</title> <excerpt>Studies have shown that autonomous mode behavior (AMB) is one cause of aircraft fatalities caused by pilot error. In AMB cases, the pilot is in a high state of psychological and physiological arousal and tends to focus on one problem, while ignoring more critical information.</excerpt>']"
52,12,52_communication and safety behavior,['communication and safety behavior'],"[""<title>The Impact of a Legally Defined Just Culture on Voluntary Reporting of Safety Information</title> <excerpt>The aim of the present study was to examine commercial pilots' reporting behavior and confidence in their airlines' just culture. In pursuit of this aim, 539 European-based pilots participated in the study by answering an online questionnaire.</excerpt>"", '<title>Extension of mindful safety practices through safety knowledge and safety motivation: a study of the aviation industry</title> <excerpt>This article attempts to extend the mindful safety practices adopted by pilots in the aviation industry. There is still a lack of discussion about how these factors (individual, group and organizational levels) influence the adoption of mindful safety practices among commercial pilots in the aviation industry.</excerpt>', ""<title>Why Commercial Pilots Voluntarily Report Self-Inflicted Incidents: A Qualitative Study with Aviation Safety Experts</title> <excerpt>Voluntary incident reports by commercial pilots provide essential data for airline efforts in learning from incidents (LFI). Because LFI is frequently limited by pilots not reporting incidents voluntarily, we interviewed seven commercial aviation safety experts in a focus group to derive factors influencing the voluntary reporting behavior of pilots' self-inflicted incidents.</excerpt>""]"
53,12,53_fear and experience in flying,['fear and experience in flying'],"['<title>Flying and danger, joy and fear</title> <excerpt>U.S. Air Force fliers are all volunteers who undergo rigorous training for their profession.</excerpt>', '<title>A Qualitative Exploration of Choking under Pressure in Commercial Airline Pilots: A Phenomenological Approach</title> <excerpt>This study uses a phenomenological approach to explore the experience of choking (underperformance) among commercial pilots. Semi-structured interviews were conducted with eight pilots, including three examiners (as observers of choking).</excerpt>', '<title>Fear of flying: An Israeli Air Force short case report</title>']"
