year,country,affiliations,title,doc,topic
2014,Poland,"Faculty of Rehabilitation, Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie, Warsaw, MA, Poland; Department of Orthopaedic Surgery, Professor A. Gruca Independent Public Research Hospital, Otwock, Poland; Department of Flight Safety, Military Institute of Aviation Medicine, Warsaw, MA, Poland",Back pain and its consequences among Polish Air Force pilots flying high performance aircraft,"<title>Back pain and its consequences among Polish Air Force pilots flying high performance aircraft</title> <excerpt>Objectives: Back pain in Air Force fast jet pilots has been studied by several air forces and found to be relatively common. The objective of the study was to determine the prevalence and degree of the pain intensity in the cervical, thoracic and lumbar spine, subjective risk factors and their effect on the pilots' performance while flying high maneuver aircrafts and the consequences for cognitive deficiencies. Material and Methods: The study was designed as a retrospective, anonymous questionnaire survey, collecting data on the age, aircraft type, flying hours, pain characteristics, physical activity, etc.</excerpt>",90
2014,Slovakia,"Technická Univerzita v Košiciach, Kosice, Kosice Region, Slovakia",Psychological readiness of air traffic controllers for their job,"<title>Psychological readiness of air traffic controllers for their job</title> <excerpt>This article highlights the importance of examining human factors in aviation, especially in air traffic control. It analyzes the factors affecting performance of air traffic controllers (ATC) and increase or decrease of security. The aim is to eliminate the risk factors affecting air traffic controllers in the working and the training phase..</excerpt>",-1
2014,Canada - France,"Communauté d'universités et établissements de Toulouse, Toulouse, Occitanie, France; Université Laval, Quebec, QC, Canada",Failure to detect critical auditory alerts in the cockpit: Evidence for inattentional deafness,"<title>Failure to detect critical auditory alerts in the cockpit: Evidence for inattentional deafness</title> <excerpt>Objective: The aim of this study was to test whether inattentional deafness to critical alarms would be observed in a simulated cockpit. Background: The inability of pilots to detect unexpected changes in their auditory environment (eg, alarms) is a major safety problem in aeronautics. In aviation, the lack of response to alarms is usually not attributed to attentional limitations, but rather to pilots choosing to ignore such warnings due to decision biases, hearing issues, or conscious risk taking.</excerpt>",55
2014,Germany - United States,"Work and Engineering Psychology, Technische Universität Darmstadt, Darmstadt, Hessen, Germany; Friends Research Institute, Inc., Baltimore, MD, United States",Critical Incident Stress Management (CISM) in complex systems: Cultural adaptation and safety impacts in healthcare,"<title>Critical Incident Stress Management (CISM) in complex systems: Cultural adaptation and safety impacts in healthcare</title> <excerpt>In complex systems, such as hospitals or air traffic control operations, critical incidents (CIs) are unavoidable. These incidents can not only become critical for victims but also for professionals working at the ""sharp end"" who may have to deal with critical incident stress (CIS) reactions that may be severe and impede emotional, physical, cognitive and social functioning. These CIS reactions may occur not only under exceptional conditions but also during every-day work and become an important safety issue.</excerpt>",54
2014,Canada - United States,"Department of Systems Design Engineering, University of Waterloo, Waterloo, ON, Canada; MIT School of Engineering, Cambridge, MA, United States",Supervisory-level interruption recovery in time-critical control tasks,"<title>Supervisory-level interruption recovery in time-critical control tasks</title> <excerpt>This paper investigates the effectiveness of providing interruption recovery assistance in the form of an interactive visual timeline of historical events on a peripheral display in support of team supervision in time-critical settings. As interruptions can have detrimental effects on task performance, particularly in time-critical work environments, there is growing interest in the design of tools to assist people in resuming their pre-interruption activity. A user study was conducted to evaluate the use of an interactive event timeline that provides assistance to human supervisors in time-critical settings.</excerpt>",49
2014,Austria,"Universitat fur Musik und darstellende Kunst Graz, Graz, Styria, Austria",A speech database for stress monitoring in the cockpit,"<title>A speech database for stress monitoring in the cockpit</title> <excerpt>This article presents a new database of speech produced under cognitive load for the purpose of non-invasive psychological stress monitoring. The voices and the heart rates of eight airline pilots were recorded while completing an advanced flight simulation programme in a level D full flight simulator. Focusing on real-world applicability, the experiments were designed to yield the maximum degree of realism possible.</excerpt>",103
2014,United States,"Hawai'i Pacific University, Honolulu, HI, United States; Tripler Regional Med Center, Honolulu, HI, United States; U.S. Army Aeromedical Research Laboratory, Fort Novosel, AL, United States","Mission, physical, and war stressors' impact on aircrew psychological strain","<title>Mission, physical, and war stressors' impact on aircrew psychological strain</title> <excerpt>Background: Little is known about the relative impact of the organization of missions on aircrew well-being. Using an occupational stress model we investigate a previously little studied concept of mission stressors and determine its relative impact in comparison to physical and war stressors in the prediction of four strains in deployed aircrews. Method: Questionnaires were completed by 272 deployed in-aircraft crewmembers.</excerpt>",-1
2014,Japan,"Graduate School of Biomedical Sciences, Nagasaki University, Nagasaki, Nagasaki, Japan; Faculty of Design, Kyushu University, Fukuoka, Fukuoka, Japan; Institute for Advanced Study, Kyushu University, Fukuoka, Fukuoka, Japan; Research Center for Applied Perceptual Science, Kyushu University, Fukuoka, Fukuoka, Japan; Graduate School of Integrated Frontier Sciences, Kyushu University, Fukuoka, Fukuoka, Japan",Illusory self-motion (Vection) may be inhibited by hypobaric hypoxia,"<title>Illusory self-motion (Vection) may be inhibited by hypobaric hypoxia</title> <excerpt>Introduction: Previous reports have shown that higher altitudes can alter human perception. We add further evidence to this claim, describing a new finding in which higher altitudes inhibit the perception of illusory self-motion, ie, vection. Method: We compared vection strength under both normal and high altitude (hypobaric hypoxia) conditions.</excerpt>",78
2014,China,"School of Transportation Science and Engineering, Beihang University, Beijing, China; School of Energy and Power Engineering, Beihang University, Beijing, China; Aircraft/Engine Integrated System Safety Beijing Key Laboratory, Beihang University, Beijing, China",An integrated graphic-taxonomic-associative approach to analyze human factors in aviation accidents,"<title>An integrated graphic-taxonomic-associative approach to analyze human factors in aviation accidents</title> <excerpt>Human factors are critical causes of modern aviation accidents. However, existing accident analysis methods encounter limitations in addressing aviation human factors, especially in complex accident scenarios. The existing graphic approaches are effective for describing accident mechanisms within various categories of human factors, but cannot simultaneously describe inadequate human-aircraft-environment interactions and organizational deficiencies effectively, and highly depend on analysts' skills and experiences.</excerpt>",1
2014,Brazil,"Aerospace Medicine Center (CEMAL), Rio de Janeiro, RJ, Brazil; Universidade Federal do Rio de Janeiro, Rio de Janeiro, RJ, Brazil",Common mental disorders among civil aviation flight attendants,<title>Common mental disorders among civil aviation flight attendants</title> <excerpt>The purpose of the current study was to estimate the prevalence of common mental disorders (cmds) among brazilian civil aviation fl ight attendants and to investigate associations between cmds and sociodemographic and work-related variables. methods: this was a quantitative cross-sectional study conducted between october 2009-october 2010 using a self-reporting questionnaire about sociodemographic and work-related data and a screening instrument for the detection of psychiatric morbidity. results: a total of 453 fl ight attendants were evaluated.</excerpt>,51
2013,United States,"NC State University, Raleigh, NC, United States; U.S. Army Special Operations Command, VA, United States; University of Michigan-Dearborn, Dearborn, MI, United States",Influence of flight domain and cockpit display dynamics on pilot perceived clutter,<title>Influence of flight domain and cockpit display dynamics on pilot perceived clutter</title> <excerpt>Two analyses were conducted on three datasets from a series of aviation human factors experiments focused on the development and testing of measures of flight display clutter as well as the relation with flight task performance. The objectives of this study were to assess the effects of cockpit display dynamics and aircraft type on pilot perceptions of display clutter in simulated flight tasks through statistical analyses of the data gathered across the experimental studies. Comparisons were made on observations of pilots with comparable experience under similar headup or headdown display conditions.</excerpt>,44
2013,New Zealand - United States,"Sleep/Wake Research Centre, Massey University Wellington, Wellington, WGN, New Zealand; Delta Air Lines, Atlanta, GA, United States",Circadian adaptation of airline pilots during extended duration operations between the USA and Asia,"<title>Circadian adaptation of airline pilots during extended duration operations between the USA and Asia</title> <excerpt>This study tracked circadian adaptation among airline pilots before, during, and after trips where they flew from Seattle (SEA) or Los Angeles (LAX) to Asia (7-9 time zones westward), spent 7-12d in Asia, and then flew back to the USA. In Asia, pilots' exposures to local time cues and sleep opportunities were constrained by duty (short-haul flights crossing 1 time zone/24h). Fourteen captains and 16 first officers participated (median age=56 versus 48 yrs, p.U)<0.001).</excerpt>",24
2013,United States,"The Chicago School of Professional Psychology, Chicago, IL, United States; American School of Professional Psychology, Argosy University, HI, United States",Neuropsychological assessment of decision making in alcohol-dependent commercial pilots,<title>Neuropsychological assessment of decision making in alcohol-dependent commercial pilots</title> <excerpt>Background: The aim of this exploratory archival study was to discern the utility of the Iowa Gambling Task (IGT) in identifying adaptive decision-making capacities among pilots with a history of alcohol dependence both with and without Cluster B personality features. Methods: Participants included 18 male airmen at the rank of captain with a history of receiving alcohol dependence treatment and subsequent referral for a fitness-for-duty evaluation. Data from prior comprehensive neuropsychological evaluations conducted in a private practice setting at the mandate of the FAA utilizing criteria outlined in the HIMS program was used.</excerpt>,121
2013,Australia - United States,"School of Psychology, The University of Western Australia, Perth, WA, Australia; Department of Psychology, The University of Texas at San Antonio, San Antonio, TX, United States; School of Psychology, The University of Queensland, Brisbane, QLD, Australia",Minimizing the disruptive effects of prospective memory in simulated air traffic control,"<title>Minimizing the disruptive effects of prospective memory in simulated air traffic control</title> <excerpt>Prospective memory refers to remembering to perform an intended action in the future. Failures of prospective memory can occur in air traffic control. In two experiments, we examined the utility of external aids for facilitating air traffic management in a simulated air traffic control task with prospective memory requirements.</excerpt>",49
2013,Australia,"School of Psychology, The University of Queensland, Brisbane, QLD, Australia",Adaptive decision making in a dynamic environment: A test of a sequential sampling model of relative judgment,"<title>Adaptive decision making in a dynamic environment: A test of a sequential sampling model of relative judgment</title> <excerpt>Research has identified a wide range of factors that influence performance in relative judgment tasks. However, the findings from this research have been inconsistent. Studies have varied with respect to the identification of causal variables and the perceptual and decision-making mechanisms underlying performance.</excerpt>",21
2013,France,"Medico-Psychological Service Applied to Aeronautics, Hôpital d'Instruction des Armées Percy, Clamart, France",Ejection in hostile environments: Medico-psychological aspects for the fighter pilot,"<title>Ejection in hostile environments: Medico-psychological aspects for the fighter pilot</title> <excerpt>Introduction: In the French Air Force, commitment of fighter squadrons in Afghanistan revives the fear among pilots of being ejected in a hostile environment, along with the prospect of being captured. Clinical Observations: Although ejection in a hostile environment is an exceptional event, it is what flight crews fear most strongly over enemy territory. Since the widespread use of ejection seats in fighter aircraft in the 1950s, ejection has become a means of protecting the crews ' lives.</excerpt>",92
2013,France,"Université de Toulouse, Toulouse, Occitanie, France; Université de Toulouse, Toulouse, Occitanie, France",Effects of the audiovisual conflict on auditory early processes,"<title>Effects of the audiovisual conflict on auditory early processes</title> <excerpt>Auditory alarm misperception is one of the critical events that lead aircraft pilots to an erroneous flying decision. The rarity of these alarms associated with their possible unreliability may play a role in this misperception. In order to investigate this hypothesis, we manipulated both audiovisual conflict and sound rarity in a simplified landing task.</excerpt>",55
2013,Japan,"Department of Neurology, Tomei Fujimori Clinic, Nagoya, Japan",Two reports of flight-related headache,"<title>Two reports of flight-related headache</title> <excerpt>Airplane headache is flight-related and appears during airplane landing and/or takeoff without accompanying symptoms. Intracranial and paranasal imaging studies reveal no abnormalities. The etiology is still uncertain, although sinus barotrauma has been proposed as a possible mechanism.</excerpt>",12
2013,Australia,"Institute of Sport and Exercise Science, James Cook University, Townsville, QLD, Australia; Institute of Sport and Exercise Science, James Cook University, Townsville, QLD, Australia; School of Medicine and Dentistry, James Cook University, Townsville, QLD, Australia","Physiological, biochemical, and psychological responses to environmental survival training in the Royal Australian Air Force","<title>Physiological, biochemical, and psychological responses to environmental survival training in the Royal Australian Air Force</title> <excerpt>Military environmental survival training (EST) is designed and considered to evoke significant stressors to military personnel in preparation for combat-like scenarios. The aim of this study was to observe and report selected physiological, biochemical, psychological, and performance responses to this intense 15-day program of Royal Australian Air Force (RAAF) EST. Fourteen RAAF participants undertook the EST course.</excerpt>",65
2013,United States,"Department of Aviation, University of North Dakota, Grand Forks, ND, United States; College of Nursing, University of North Dakota, Grand Forks, ND, United States; Department of Psychology, University of North Dakota, Grand Forks, ND, United States",Effects of hydration on cognitive function of pilots,"<title>Effects of hydration on cognitive function of pilots</title> <excerpt>The objective of this study was to examine the effect of fluid intake and possible dehydration on cognitive flight performance of pilots. A repeated-measures, counterbalanced, mixed study design was used to examine differences in working memory, spatial orientation, and cognitive flight performance of 40 randomly selected healthy pilots after having high and low fluid intakes. Serial weights were also analyzed to determine differences in cognitive flight performance of the dehydrated (1-3% weight loss) and hydrated study participants.</excerpt>",26
2013,China,"College of Safety Science and Engineering, Civil Aviation University of China, Tianjin, Tianjin, China",Evolution of group passenger behaviors and airline countermeasures on mass incident during flight delay,"<title>Evolution of group passenger behaviors and airline countermeasures on mass incident during flight delay</title> <excerpt>According to the analogy psychology, demand and behavior of passengers during flight delay, passengers were divided into four different types, ie, cooperative, claiming, following and impetuous, respectively. In light of the crisis management theory, the evolution and different stages (latent-outbreak-subside) of mass incidents during flight delay were proposed. The airline corresponding countermeasures were given for life cycle of mass incident.</excerpt>",60
2013,Puerto Rico - Sudan - United States,"Howard University, Washington, D.C., United States; Recinto Universitario de Mayagüez, Mayaguez, Puerto Rico; Khartoum University, Khartoum, Sudan",Introducing Survival Ethics into Engineering Education and Practice,"<title>Introducing Survival Ethics into Engineering Education and Practice</title> <excerpt>Given the possibilities of synthetic biology, weapons of mass destruction and global climate change, humans may achieve the capacity globally to alter life. This crisis calls for an ethics that furnishes effective motives to take global action necessary for survival. We propose a research program for understanding why ethical principles change across time and culture.</excerpt>",84
2013,China,"School of Psychology, Shaanxi Normal University, Xi'an, Shaanxi, China; Department of Education, Xian University of Arts and Science, Xi'an, China",The effects of risk perception and flight experience on airline pilots' locus of control with regard to safety operation behaviors,"<title>The effects of risk perception and flight experience on airline pilots' locus of control with regard to safety operation behaviors</title> <excerpt>The primary objective of this paper was to integrate two research traditions, social cognition approach and individual state approach, and to understand the relationships between locus of control (LOC), risk perception, flight time, and safety operation behavior (SOB) among Chinese airline pilots. The study sample consisted of 193 commercial airline pilots from China Southern Airlines Ltd. The results showed that internal locus of control directly affected pilot safety operation behavior.</excerpt>",2
2013,Norway - Sweden - United Kingdom - United States,"Department of Psychosocial Science, Universitetet i Bergen, Bergen, Hordaland, Norway; University of Aberdeen, Aberdeen, Scotland, United Kingdom; National Defense College, Försvarshögskolan, Stockholm, Stockholm, Sweden; Missouri Western State University, Saint Joseph, MO, United States; Statens arbeidsmiljøinstitutt, Oslo, Oslo, Norway",The role of psychological capital in perception of safety climate among air traffic controllers,"<title>The role of psychological capital in perception of safety climate among air traffic controllers</title> <excerpt>Previous research has shown that psychological capital (PsyCap) is associated with desired employee behavioral and performance outcomes. Extending previous research, we examine, in two studies, if the PsyCap of Norwegian air traffic controllers is related to their perceptions of safety climate. Based on bootstrapping procedures, results from Study 1 (N = 77) and Study 2 (N = 38) revealed that PsyCap was positively correlated with safety climate.</excerpt>",27
2013,United States,"Department of Biomedical and Health Information Sciences, University of Illinois at Chicago, Chicago, IL, United States; SENSING STRATEGIES, INC, Pennington, NJ, United States",Technical and operational users' opinions of a handheld device to detect directed energy,"<title>Technical and operational users' opinions of a handheld device to detect directed energy</title> <excerpt>Introduction: Lasers, a form of directed energy (DE), are a threat to pilots and Air Force personnel. In light of this threat, a handheld medical device called the "" Tricorder "" is under development to improve situational awareness of DE. Current operational procedures do not include methods for recording or handling new information regarding DE.</excerpt>",17
2013,France,"Occupational Physiology Laboratory, INRS Institut National de Recherche et de Sécurité, Paris, France; Laboratoire Cognition, Langues, Langage, Ergonomie, Toulouse, Occitanie, France; CNRS Centre National de la Recherche Scientifique, Paris, Ile-de-France, France",Fuzzy-TLX: Using fuzzy integrals for evaluating human mental workload with NASA-Task Load indeX in laboratory and field studies,"<title>Fuzzy-TLX: Using fuzzy integrals for evaluating human mental workload with NASA-Task Load indeX in laboratory and field studies</title> <excerpt>The aim of this study was to assess mental workload in which various load sources must be integrated to derive reliable workload estimates. We report a new algorithm for computing weights from qualitative fuzzy integrals and apply it to the National Aeronautics and Space Administration -Task Load indeX (NASA-TLX) subscales in order to replace the standard pair-wise weighting technique (PWT). In this paper, two empirical studies were reported: (1) In a laboratory experiment, age- and task-related variables were investigated in 53 male volunteers and (2) In a field study, task- and job-related variables were studied on aircrews during 48 commercial flights.</excerpt>",5
2013,Canada,"School of Optometry and Vision Science, University of Waterloo, Waterloo, ON, Canada",Simulated night vision goggle wear and colored aftereffects,"<title>Simulated night vision goggle wear and colored aftereffects</title> <excerpt>Background: Surveys of military pilots report that between 1.6% and 65% of the respondents experienced altered color vision after night vision goggle (NVG) wear. For the majority of these pilots, the aftereffect was a brownish afterimage that lasted less than 10 min. Given the large disparity in the surveys, we asked subjects to wear goggles which simulated NVGs to determine the nature and duration of any color aftereffects after removing the goggles.</excerpt>",11
2013,United States,"University of Texas Health Science Center at Houston, Houston, TX, United States; University of Houston, Houston, TX, United States; The Menninger Clinic, Houston, TX, United States",Potential utility of full motion flight simulators for treatment of individuals with a fear of flying,<title>Potential utility of full motion flight simulators for treatment of individuals with a fear of flying</title> <excerpt>[No abstract available].</excerpt>,94
2013,Australia,"Ageing, Work and Health Research Unit, The University of Sydney School of Health Sciences, Sydney, NSW, Australia; Western Sydney University, Penrith, NSW, Australia; Macquarie University, Sydney, NSW, Australia",The moderating effect of individual differences in error-management training: Who learns from mistakes?,"<title>The moderating effect of individual differences in error-management training: Who learns from mistakes?</title> <excerpt>Objective: We investigated the effectiveness of error-encouragement training and the influence of ability and personality attribute-treatment interactions using a dynamic decision-making task. Background: Error-encouragement training is said to be more effective than error-avoidance training because active exploration and error encouragement promote better learning and transfer. Past research, which is limited by confounded experimental designs involving simple tasks with little consideration of individual differences, provides evidence for the value of active exploration but less so for error encouragement.</excerpt>",85
2013,Australia - United Kingdom,"RAF Cranwell, Leicester, United Kingdom; The University of Sydney School of Health Sciences, Sydney, NSW, Australia; Leeds Beckett University, Leeds, West Yorkshire, United Kingdom","The effect of psychological skills training (PST) on self-regulation behavior, self-efficacy, and psychological skill use in military pilot-trainees","<title>The effect of psychological skills training (PST) on self-regulation behavior, self-efficacy, and psychological skill use in military pilot-trainees</title> <excerpt>Set within B. J. Zimmerman's (1989, A social cognitive view of self-regulated academic learning, Journal of Educational Psychology, Vol.</excerpt>",127
2013,Canada - France,"DTI R and D, Toulouse, France; Université de Toulouse, Toulouse, Occitanie, France; Université Laval, Quebec, QC, Canada; Université Toulouse - Jean Jaurès, Toulouse, Occitanie, France",Evaluation of head-free eye tracking as an input device for air traffic control,<title>Evaluation of head-free eye tracking as an input device for air traffic control</title> <excerpt>The purpose of this study was to investigate the possibility to integrate a free head motion eye-tracking system as input device in air traffic control (ATC) activity. Sixteen participants used an eye tracker to select targets displayed on a screen as quickly and accurately as possible. We assessed the impact of the presence of visual feedback about gaze position and the method of target selection on selection performance under different difficulty levels induced by variations in target size and target-to-target separation.</excerpt>,17
2013,Russian Federation,"Extremal and Environmental Medicine of Russia, Naval, Moscow, Russian Federation",Psychology of flight attendant's profession,"<title>Psychology of flight attendant's profession</title> <excerpt>The profession of a flight attendant appeared in aviation in the 1920s. Professional community of flight attendants is constantly growing with the growth of complexity of aviation technology, professional standards of passenger service and safety. The psychological scientific research was carried out by a psychologist who worked as a flight attendant.</excerpt>",-1
2012,Germany - United States,"Department of Pharmacy Practice, South University, Savannah, GA, United States; Department of Pharmaceutical Sciences, South University, Savannah, GA, United States; Department of General Practice, Klinikum der Universität München, Munich, Bayern, Germany",Professional aircrews' attitudes toward infectious diseases and aviation medical issues,"<title>Professional aircrews' attitudes toward infectious diseases and aviation medical issues</title> <excerpt>Introduction: Air carrier and professional corporate aircrews provide a unique and highly distinct population in which to examine potential transport and transmission of infectious diseases (ID). This study sought to assess frequency of fl ying while acutely ill, identify clinical triggers in self-grounding, determine employer support for self-grounding, examine rates of infl uenza vaccination, and identify unmet needs for current information on ID issues related to extensive travel required of professional aircrews. Methods: Anonymous questionnaires were completed by select European mainline, U.S.</excerpt>",60
2012,"Taiwan, Province of China","Department of Business Administration, China University of Science and Technology, Taipei, Taiwan","Relationships among service climate, psychological contract, work engagement and service performance","<title>Relationships among service climate, psychological contract, work engagement and service performance</title> <excerpt>The paper identifies relationships between cabin service directors and flight attendants and service climate, psychological contracts, work engagement, service performance and cue perception ability. We find that relational psychological contracts have a positive influence on work engagement; transactional psychological contracts have a negative influence on work engagement; work engagement has a positive influence on service performance; work engagement mediates the relationship between relational psychological contracts and service performance; service climate has a positive influence on service performance; and cue perception ability moderates the relationship between work engagement and service performance. © 2012 Elsevier Ltd..</excerpt>",27
2012,"Taiwan, Province of China","Department of Air Transportation Management, Aletheia University, Tamsui, Taipei, Taiwan; Department of Civil Engineering, National Chi Nan University, Puli, Nantou, Taiwan",Turnover intention of air traffic controllers in Taiwan: A note,"<title>Turnover intention of air traffic controllers in Taiwan: A note</title> <excerpt>This study examines the relationships between job stress, satisfaction, performance and turnover intention among air traffic controllers in Taiwan. In addition, personality traits, gender and marital status are examined as moderators in the effects on the turnover intention of an air traffic controller. The results show that the turnover intention of controllers increases as the job stress becomes heavier.</excerpt>",16
2012,India - United States,"Kepler Space University, Bluffton, SC, United States; JBR Institute of Health Education Research and Technology, PB, India","Mental and physical workload, salivary stress biomarkers and taste perception: Mars desert research station expedition","<title>Mental and physical workload, salivary stress biomarkers and taste perception: Mars desert research station expedition</title> <excerpt>Background: Very few studies have been conducted on the effects of simulation of Mars conditions on taste. Aims: This study was planned to find the effects of physical and mental workload on taste sensitivity and salivary stress biomarkers. Materials and Methods: Twelve crew members were selected.</excerpt>",7
2012,New Zealand,"Aviation Medicine Unit, Auckland, New Zealand; Aviation Medicine Unit, Auckland, New Zealand; Biostatistics, Auckland, New Zealand",Hypoxia training: Symptom replication in experienced military aircrew,"<title>Hypoxia training: Symptom replication in experienced military aircrew</title> <excerpt>Introduction: Military aircrew are trained to recognize the signs and symptoms of hypoxia in a safe environment using a variety of methods to simulate altitude. In order to investigate the effectiveness of hypoxia training, this study compared the recall of hypoxia symptoms in military aircrew between two consecutive hypobaric chamber hypoxia training sessions conducted, on average, 4.5 yr apart. Methods: Previously trained subjects completed a questionnaire immediately before and after they underwent refresher hypoxia training and recorded the occurrence, order, and severity of symptoms experienced.</excerpt>",65
2012,Germany - United States,"Department of Psychology III, Julius-Maximilians-Universität Würzburg, Wurzburg, Bayern, Germany; Department of Psychology, University of Nevada, Reno, Reno, NV, United States",Effective rotations: Action effects determine the interplay of mental and manual rotations,<title>Effective rotations: Action effects determine the interplay of mental and manual rotations</title> <excerpt>The last decades have seen a growing interest in the impact of action on perception and other concurrent cognitive processes. One particularly interesting example is that manual rotation actions facilitate mental rotations in the same direction. The present study extends this research in two fundamental ways.</excerpt>,39
2012,China - Germany,"West Hi-Tech Zone, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; Technische Universität Darmstadt, Darmstadt, Hessen, Germany",Body posture as an indicator of workload in mental work,"<title>Body posture as an indicator of workload in mental work</title> <excerpt>Objective: For this article, the relationships between body posture and workload for four mental tasks simulated on a computer were studied. Background: Human behaviors are observable during work and are related to human mental activities. A novel supplementary method, based on human behavior but not directly related to task execution, is proposed to assess the workload in mental work situations.</excerpt>",5
2012,Japan,"Department of Health Promotion, Kyushu Dental College, Kitakyushu, Fukuoka, Japan; Western Aircraft Control and Warning Wing, Air Base Group, Kasuga, Japan",Salivary alpha-amylase activity and stress in Japan air self-defense force cargo pilots involved in Iraq reconstruction,"<title>Salivary alpha-amylase activity and stress in Japan air self-defense force cargo pilots involved in Iraq reconstruction</title> <excerpt>Objectives: This study aimed to verify whether salivary α-amylase enzyme activity (Amy) is useful as a biomarker of stress in pilots working in a stressful environment. Methods: The subjects in this study were nine Japan air self-defense force pilots who participated in Iraq reconstruction support activity in Kuwait. Amy was measured using a portable salivary amylase monitor at preflight, postflight, and on stand-by day.</excerpt>",42
2012,India,"Institute of Aerospace Medicine, Indian Air Force, New Delhi, New Delhi, India",Psychological factors post military aircrew selection: A clinical perspective,"<title>Psychological factors post military aircrew selection: A clinical perspective</title> <excerpt>Military aircrews undergo rigorous psychological and medical testing during the selection process. This paper discusses information gained from aircrew who have been referred for clinical psychological evaluation for four main reasons i) fear of flying (FOF), ii) loss of motivation to fly/failing aviator syndrome, iii) traumatic experiences such as an ejection or Prisoner of War (POW) experience, and iv) psychological factors affecting medical conditions such as those in musculoskeletal disorders. Projective evaluation using Rorschach indicated different patterns of emotional and perceptual responses in referred clinical and non clinical aircrew groups.</excerpt>",4
2012,United States,"Department of Psychology, Texas A&M University, College Station, TX, United States; Air Force Research Laboratory, Dayton, OH, United States; L-3 Communications, Dayton, OH, United States",Team task analysis: Differentiating between tasks using team relatedness and team workflow as metrics of team task interdependence,"<title>Team task analysis: Differentiating between tasks using team relatedness and team workflow as metrics of team task interdependence</title> <excerpt>Objective: As a constructive replication and extension of Arthur, Edwards, Bell, Villado, and Bennett (2005), the objective of the current study was to further investigate the efficacy of team relatedness and team workflow ratings (along with their composite) as metrics of interdependence.Background: Although an analysis of task and job interdependence has important implications and uses in domains such as job design, selection, and training, the job analysis literature has been slow to develop an effective method to identify team-based tasks and jobs.Method: To achieve the study's objectives, 140 F-16 fighter pilots (35 four-person teams) rated 34 task and activity statements in terms of their team relatedness and team workflow.Results: The results indicated that team relatedness and team workflow effectively differentiated between tasks with varying levels of interdependency (as identified by instructor pilots who served as subject matter experts) within the same job. In addition, teams that accurately perceived the level of interdependency performed better on a four-ship F-16 flight-training program than those that did not.Conclusion: Team relatedness and team workflow ratings can effectively differentiate between tasks with varying levels of interdependency.Application: Like traditional individual task or job analysis, this information can serve as the basis for specified human resource functions and interventions, and as diagnostic indicators as well. © 2012 Human Factors and Ergonomics Society..</excerpt>",125
2012,Australia,"Centre for Sleep Research, University of South Australia, Adelaide, SA, Australia",Restricted sleep and negative affective states in commercial pilots during short haul operations,"<title>Restricted sleep and negative affective states in commercial pilots during short haul operations</title> <excerpt>This study aims to investigate (1) the relationship between restricted sleep and Heightened Emotional Activity (HEA) during normal flight operations, and (2) whether sleep patterns influence the strength of the HEA as a response to threats. Accident investigation reports continue to highlight the relationship between restricted sleep and poor safety outcomes. However, to date we have a limited understanding of how sleep and HEA interact.</excerpt>",120
2012,United States,"MIT Media Lab, Cambridge, MA, United States","Common sense reasoning for detection, prevention, and mitigation of cyberbullying","<title>Common sense reasoning for detection, prevention, and mitigation of cyberbullying</title> <excerpt>Cyberbullying (harassment on social networks) is widely recognized as a serious social problem, especially for adolescents. It is as much a threat to the viability of online social networks for youth today as spam once was to email in the early days of the Internet. Current work to tackle this problem has involved social and psychological studies on its prevalence as well as its negative effects on adolescents.</excerpt>",86
2012,United States,"Success at Work, Las Vegas, NV, United States",Integrating positive psychology applications into the EMDR Peak Performance protocol,"<title>Integrating positive psychology applications into the EMDR Peak Performance protocol</title> <excerpt>Introduction: This article describes an innovative Eye Movement Desensitization and Reprocessing (EMDR) protocol which applies the standard EMDR protocol, with modifications, to the reduction of performance anxiety and enhancement of skillful performance in higher functioning clients. Objective: The intention was to compare a modified version of the standard EMDR protocol for the reduction of performance anxiety and the enhancement of performance. Method: The method was applying the special EMDR protocol for peak performance with higher functioning clients.</excerpt>",3
2012,United States,"Department of Medicine, Baylor College of Medicine, Houston, TX, United States; School of Social Work, The University of Texas at Austin, Austin, TX, United States; NASA Ames Research Center, Moffett Field, CA, United States; Division of Hematology and Oncology, John Sealy School of Medicine, Galveston, TX, United States; Department of Medicine, McGovern Medical School, Houston, TX, United States",Exploring situational awareness in diagnostic errors in primary care,"<title>Exploring situational awareness in diagnostic errors in primary care</title> <excerpt>Objective: Diagnostic errors in primary care are harmful but poorly studied. To facilitate the understanding of diagnostic errors in real-world primary care settings that use electronic health records (EHRs), this study explored the use of the situational awareness (SA) framework from aviation human factors research. Methods: A mixed-methods study was conducted involving reviews of EHR data followed by semi-structured interviews of selected providers from two institutions in the USA.</excerpt>",54
