,year,publication,title,abstract,excerpt,doc
749,2007,Asian Journal of Social Psychology,Aviation with fraternal twin wings over the Asian context: Using nomothetic epistemic and narrative design paradigms in social psychology,"The present study proposes the future trends of Asian social psychology by taking into account its possible contribution to broad cultural and historical contexts of Asia. First, I locate social psychology in a two (nomothetic vs  narrative) by two (epistemic vs  design) paradigm of sciences. Second, I propose that different research perspectives in social psychology (i.e. so-called mainstream and narrative-design social psychology) may be considered as fraternal twins of the same mother, classic social psychology, and describe where each of the twins is heading. Third, I introduce two modes of research activities, Mode I and Mode II, based on previous research, and examine each twin in both modes of research. Finally, I focus on the broad context of Asia and propose that we should expand two wings, especially, the second wing over the context of the region. [PUBLICATION ABSTRACT]","The present study proposes the future trends of Asian social psychology by taking into account its possible contribution to broad cultural and historical contexts of Asia. First, I locate social psychology in a two (nomothetic vs  narrative) by two (epistemic vs  design) paradigm of sciences. Second, I propose that different research perspectives in social psychology (ie so-called mainstream and narrative-design social psychology) may be considered as fraternal twins of the same mother, classic social psychology, and describe where each of the twins is heading.","<title>Aviation with fraternal twin wings over the Asian context: Using nomothetic epistemic and narrative design paradigms in social psychology</title> <excerpt>The present study proposes the future trends of Asian social psychology by taking into account its possible contribution to broad cultural and historical contexts of Asia. First, I locate social psychology in a two (nomothetic vs  narrative) by two (epistemic vs  design) paradigm of sciences. Second, I propose that different research perspectives in social psychology (ie so-called mainstream and narrative-design social psychology) may be considered as fraternal twins of the same mother, classic social psychology, and describe where each of the twins is heading.</excerpt>"
750,2012,Journal of Transportation Security,Assessing the security benefits of a trusted traveler program in the presence of attempted attacker exploitation and compromise,"Current aviation security procedures screen all passengers uniformly. Varying the amount of screening individuals receive based on an assessment of their relative risk has the potential to reduce the security burdens on some travelers, while improving security overall. In this paper we examine the security costs and benefits of a trusted traveler program, in which individuals who have been identified as posting less risk than others are allowed to pass through security with reduced security screening. This allows security resources to be shifted from travelers who have been identified as low risk, to the remaining unknown-risk population. However, fears that terrorists may exploit trusted traveler programs have dissuaded adoption of such programs. Our analysis estimates the security performance of a trusted traveler program in the presence of attacker attempts to compromise it. We found that, although these attempts would reduce the maximum potential security benefits of a program, they would not eliminate those benefits in all circumstances. Adapted from the source document.","Current aviation security procedures screen all passengers uniformly. Varying the amount of screening individuals receive based on an assessment of their relative risk has the potential to reduce the security burdens on some travelers, while improving security overall. In this paper we examine the security costs and benefits of a trusted traveler program, in which individuals who have been identified as posting less risk than others are allowed to pass through security with reduced security screening.","<title>Assessing the security benefits of a trusted traveler program in the presence of attempted attacker exploitation and compromise</title> <excerpt>Current aviation security procedures screen all passengers uniformly. Varying the amount of screening individuals receive based on an assessment of their relative risk has the potential to reduce the security burdens on some travelers, while improving security overall. In this paper we examine the security costs and benefits of a trusted traveler program, in which individuals who have been identified as posting less risk than others are allowed to pass through security with reduced security screening.</excerpt>"
751,2019,Biological conservation,Learning from published project failures in conservation,"Conservation professionals need to know what has worked and what has not when designing, implementing, evaluating and refining conservation projects. Project failure reporting is an important, but largely unexploited, source of learning that capitalizes on the learning opportunity of failure provided through the experience of navigating research-implementation ‘spaces’. Learning from others through reading available literature is one way to supplement learning gained through direct experience. Learning vicariously is especially effective when presenting failure as opposed to success experiences. We reviewed the peer-reviewed conservation science literature to identify the extent and characteristics of failed project reporting, focusing our analysis upon social dimensions as opposed to biological causes, which have been comparatively well addressed. We quantified the degree to which articles reported activities commonly applied to learn from failure in business, medicine, the military and commercial aviation. These included activities for identifying, analyzing, correcting and sharing project failures. We used qualitative thematic analysis to identify the social causes of project failure. Reports of failed project experiences are rare and lack standardization. Human dimensions of project failure, such as stakeholder relationships, are more commonly reported than other causes of failure. The peer-reviewed literature has the potential to become a useful repository of lessons learned from failed projects. However, practical challenges such as identifying individuals' cognitive biases, cultivating psychological safety in teams, mainstreaming systemic team learning behaviors, addressing varied leadership styles, and confronting fear of failure in organizational culture must be overcome if conservation professionals are to effectively navigate research-implementation ‘spaces’.","Conservation professionals need to know what has worked and what has not when designing, implementing, evaluating and refining conservation projects. Project failure reporting is an important, but largely unexploited, source of learning that capitalizes on the learning opportunity of failure provided through the experience of navigating research-implementation ‘spaces’. Learning from others through reading available literature is one way to supplement learning gained through direct experience.","<title>Learning from published project failures in conservation</title> <excerpt>Conservation professionals need to know what has worked and what has not when designing, implementing, evaluating and refining conservation projects. Project failure reporting is an important, but largely unexploited, source of learning that capitalizes on the learning opportunity of failure provided through the experience of navigating research-implementation ‘spaces’. Learning from others through reading available literature is one way to supplement learning gained through direct experience.</excerpt>"
752,1956,Aeromedica acta,The Stipple test: a follow-up study,,,<title>The Stipple test: a follow-up study</title>
753,1980,Education,An Intellectual Aftermath of the Aviation Psychology Research Program,"Because assessment of creative potential is important in the selection of leaders, it is recommended that the critical activities of any occupational assignment should be examined in connection with the whole range of abilities of the structure-of-intellect model. (CM)","Because assessment of creative potential is important in the selection of leaders, it is recommended that the critical activities of any occupational assignment should be examined in connection with the whole range of abilities of the structure-of-intellect model. (CM).","<title>An Intellectual Aftermath of the Aviation Psychology Research Program</title> <excerpt>Because assessment of creative potential is important in the selection of leaders, it is recommended that the critical activities of any occupational assignment should be examined in connection with the whole range of abilities of the structure-of-intellect model. (CM).</excerpt>"
754,2018,Indian journal of occupational and environmental medicine,"Implication of Emotional Labor, Cognitive Flexibility, and Relational Energy among Cabin Crew: A Review","The primary aim of the civil aviation industry is to provide a secured and comfortable service to their customers and clients. This review concentrates on the cabin crew members, who are the frontline employees of the aviation industry and are salaried to smile. The objective of this review article is to analyze the variables of emotional labor, cognitive flexibility, and relational energy using the biopsychosocial model and identify organizational implications among cabin crew. Online databases such as EBSCOhost, JSTOR, Springerlink, and PubMed were used to gather articles for the review. The authors analyzed 17 articles from 2001 to 2016 and presented a comprehensive review. The review presented an integrative approach and suggested a hypothetical model that can prove to be a signitficant contribution to the avaition industry in particular and to research findings of aviation psychology.The primary aim of the civil aviation industry is to provide a secured and comfortable service to their customers and clients. This review concentrates on the cabin crew members, who are the frontline employees of the aviation industry and are salaried to smile. The objective of this review article is to analyze the variables of emotional labor, cognitive flexibility, and relational energy using the biopsychosocial model and identify organizational implications among cabin crew. Online databases such as EBSCOhost, JSTOR, Springerlink, and PubMed were used to gather articles for the review. The authors analyzed 17 articles from 2001 to 2016 and presented a comprehensive review. The review presented an integrative approach and suggested a hypothetical model that can prove to be a signitficant contribution to the avaition industry in particular and to research findings of aviation psychology.","The primary aim of the civil aviation industry is to provide a secured and comfortable service to their customers and clients. This review concentrates on the cabin crew members, who are the frontline employees of the aviation industry and are salaried to smile. The objective of this review article is to analyze the variables of emotional labor, cognitive flexibility, and relational energy using the biopsychosocial model and identify organizational implications among cabin crew.","<title>Implication of Emotional Labor, Cognitive Flexibility, and Relational Energy among Cabin Crew: A Review</title> <excerpt>The primary aim of the civil aviation industry is to provide a secured and comfortable service to their customers and clients. This review concentrates on the cabin crew members, who are the frontline employees of the aviation industry and are salaried to smile. The objective of this review article is to analyze the variables of emotional labor, cognitive flexibility, and relational energy using the biopsychosocial model and identify organizational implications among cabin crew.</excerpt>"
755,2012,ProQuest LLC,Factors of Non-Persistence in Civilian Helicopter Flight Training: A Narrative Inquiry of Pilot Attrition,"Previous literature on retention of student helicopter pilots shows a gap in research of civilian schools and qualitative studies. To address this gap in the literature and to help helicopter flight schools better understand the incidents of attrition from flight training, this qualitative study investigated student and school-based factors leading to attrition of helicopter pilot students from civilian training programs and how schools can intervene to help raise retention. The researcher interviewed four former helicopter pilot students of one Colorado flight school. Participants were chosen based on holding a private pilot certificate, having stated a goal of an aviation career, and having taken no training flights in the previous six months. Emergent themes from interview data include several linked to retention literature: motivation and interest, financial concerns, family care issues, need for remediation and learning style, social connections, and belonging. Also discussed are themes unique to study participants: safety, depression, responsibility, privilege, and disillusionment. Restoried interview data were scripted as a focus group. Recommendations to school leaders include continuing to research funding opportunities for students, addressing child-care needs, creating social and quasi-social student opportunities, contacting stop out students, creating an inclusive school environment, listening to students, creating individual student timelines, and helping instructors address students' learning styles. This research supports sub-baccalaureate retention research and articulates the individual nature of causes of attrition. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]","Previous literature on retention of student helicopter pilots shows a gap in research of civilian schools and qualitative studies. To address this gap in the literature and to help helicopter flight schools better understand the incidents of attrition from flight training, this qualitative study investigated student and school-based factors leading to attrition of helicopter pilot students from civilian training programs and how schools can intervene to help raise retention. The researcher interviewed four former helicopter pilot students of one Colorado flight school.","<title>Factors of Non-Persistence in Civilian Helicopter Flight Training: A Narrative Inquiry of Pilot Attrition</title> <excerpt>Previous literature on retention of student helicopter pilots shows a gap in research of civilian schools and qualitative studies. To address this gap in the literature and to help helicopter flight schools better understand the incidents of attrition from flight training, this qualitative study investigated student and school-based factors leading to attrition of helicopter pilot students from civilian training programs and how schools can intervene to help raise retention. The researcher interviewed four former helicopter pilot students of one Colorado flight school.</excerpt>"
756,1958,The Journal of aviation medicine,Pilot reactions during Man-high II balloon flight,,,<title>Pilot reactions during Man-high II balloon flight</title>
757,2014,"Aviation, Space, and Environmental Medicine",Subject Anxiety and Psychological Considerations for Centrifuge-Simulated Suborbital Spaceflight,"Introduction: Anxiety and psychological concerns may pose a challenge to future commercial spaceflight. To help identify potential measures of anxiousness and indicators of flight-related stress, the psychiatric histories and anxiousness responses of volunteers exposed to G forces in centrifuge-simulated spaceflight acceleration profiles were examined. Methods: Over 2 d, 86 individuals (63 men, 23 women), 20-78 yr old, underwent up to 7 centrifuge runs. Day 1 consisted of two +G sub(z) runs (peak = +3.5 G sub(z)) and two +G sub(x) runs (peak = +6.0 G sub(x)). Day 2 consisted of three runs approximating suborbital spaceflight profiles (combined +G sub(x) and +G sub(z)). Hemodynamic data were collected during the profiles. Subjects completed a retrospective self-report anxiety questionnaire. Medical monitors identified individuals exhibiting varying degrees of anxiousness during centrifuge exposure, medical histories of psychiatric disease, and other potential indicators of psychological intolerance of spaceflight. Results: The retrospective survey identified 18 individuals self-reporting anxiousness, commonly related to unfamiliarity with centrifuge acceleration and concerns regarding medical history. There were 12 individuals (5 men, 7 women, average age 46.2 yr) who were observed to have anxiety that interfered with their ability to complete training; of these, 4 reported anxiousness on their questionnaire and 9 ultimately completed the centrifuge profiles. Psychiatric history was not significantly associated with anxious symptoms. Discussion: Anxiety is likely to be a relevant and potentially disabling problem for commercial spaceflight participants; however, positive psychiatric history and self-reported symptoms did not predict anxiety during centrifuge performance. Symptoms of anxiousness can often be ameliorated through training and coaching. Even highly anxious individuals are likely capable of tolerating commercial spaceflight.","Introduction: Anxiety and psychological concerns may pose a challenge to future commercial spaceflight. To help identify potential measures of anxiousness and indicators of flight-related stress, the psychiatric histories and anxiousness responses of volunteers exposed to G forces in centrifuge-simulated spaceflight acceleration profiles were examined. Methods: Over 2 d, 86 individuals (63 men, 23 women), 20-78 yr old, underwent up to 7 centrifuge runs.","<title>Subject Anxiety and Psychological Considerations for Centrifuge-Simulated Suborbital Spaceflight</title> <excerpt>Introduction: Anxiety and psychological concerns may pose a challenge to future commercial spaceflight. To help identify potential measures of anxiousness and indicators of flight-related stress, the psychiatric histories and anxiousness responses of volunteers exposed to G forces in centrifuge-simulated spaceflight acceleration profiles were examined. Methods: Over 2 d, 86 individuals (63 men, 23 women), 20-78 yr old, underwent up to 7 centrifuge runs.</excerpt>"
758,2020,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings",Information Model for Evaluation and Selection of Instructor Pilots for Smart City Urban Air Mobility,"Conference Title: 2020 5th International Conference on Smart and Sustainable Technologies (SpliTech)Conference Start Date:  2020,  Sept.  23 Conference End Date:  2020,  Sept.  26 Conference Location: Split, CroatiaThe relevance of the work lies in the development of an information model for the evaluation and selection of instructor pilots for Smart City Urban Air Mobility (UAM), which are best suited for professional, psychophysiological and pedagogical qualities for effective training of future pilots. As a result, pilots' competency input models for Smart City UAM have been proposed for the first time: a model for evaluating the mindset and decision making of a pilot in Smart City; model of knowledge of pilot theory knowledge in Smart City; a model for assessing flight training knowledge and flight competence for Smart City UAM; model of knowledge assessment in theory of pedagogy, psychology and communicative competence. Competence models can use a different number of rating indicators and different scale scores. A six-step general algorithm for evaluating and selecting instructor pilots for Smart City UAM has been developed for the first time, integrating different pilot competency models and taking into account the ""desired values"" of the decision-maker. Experimentally developed 7-pilot algorithm for pilot instructor selection for further training for Smart City UAM.","Conference Title: 2020 5th International Conference on Smart and Sustainable Technologies (SpliTech)Conference Start Date:  2020,  Sept. 23 Conference End Date:  2020,  Sept. 26 Conference Location: Split, CroatiaThe relevance of the work lies in the development of an information model for the evaluation and selection of instructor pilots for Smart City Urban Air Mobility (UAM), which are best suited for professional, psychophysiological and pedagogical qualities for effective training of future pilots.","<title>Information Model for Evaluation and Selection of Instructor Pilots for Smart City Urban Air Mobility</title> <excerpt>Conference Title: 2020 5th International Conference on Smart and Sustainable Technologies (SpliTech)Conference Start Date:  2020,  Sept. 23 Conference End Date:  2020,  Sept. 26 Conference Location: Split, CroatiaThe relevance of the work lies in the development of an information model for the evaluation and selection of instructor pilots for Smart City Urban Air Mobility (UAM), which are best suited for professional, psychophysiological and pedagogical qualities for effective training of future pilots.</excerpt>"
759,2023,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings",New Personality Evaluation of Pilot Candidates in Czech Air Force,"Conference Title: 2023 New Trends in Aviation Development (NTAD)Conference Start Date:  2023,  Nov.  23 Conference End Date:  2023,  Nov.  24 Conference Location: Stary Smokovec, SlovakiaPilot selection has been a topic since the beginning of aviation, both in civil and military aviation. The first research was carried out before the First World War and has gained importance, especially in the last 20 years, due to the dynamic growth of civil air transport. The selection of military pilots in the Czech Air Force environment takes place within the framework of the admission procedure for study at the University of Defence (UoD) in the specialization of military pilot (MP). The selection includes medical tests, psychological tests, and knowledge tests. This paper aims to verify the suitability of using the NEO Five-Factor Inventory (NEO-FFI) test battery in a shortened form to design and implement a new objective system for selecting candidates for the military pilot specialization. Current MP specialization students (n=51) and candidates in the 2022/2023 academic year (n=35) were tested. The results showed that most students tested (82%) scored low on the Neuroticism scale, and 16% are in the broader average range. On the Conscientiousness scale, a majority of the students (63%) scored high, 37% of the students were in the normal range, and none of the respondents were in the below-average range. The analysis shows that 55% of the subjects have low Neuroticism scores and high Conscientiousness scores. The pilot testing has fulfilled its purpose; there has been a validation of the tools that can be used to define the prerequisites to achieve the desired abilities and skills for the MP specialization. This form may be used to select suitable candidates for the MP specialization in the future.","Conference Title: 2023 New Trends in Aviation Development (NTAD)Conference Start Date:  2023,  Nov. 23 Conference End Date:  2023,  Nov. 24 Conference Location: Stary Smokovec, SlovakiaPilot selection has been a topic since the beginning of aviation, both in civil and military aviation.","<title>New Personality Evaluation of Pilot Candidates in Czech Air Force</title> <excerpt>Conference Title: 2023 New Trends in Aviation Development (NTAD)Conference Start Date:  2023,  Nov. 23 Conference End Date:  2023,  Nov. 24 Conference Location: Stary Smokovec, SlovakiaPilot selection has been a topic since the beginning of aviation, both in civil and military aviation.</excerpt>"
760,1958,The Journal of aviation medicine,Emotional G in airsickness,,,<title>Emotional G in airsickness</title>
761,1958,The Journal of aviation medicine,The use of the MMPI in the psychological evaluation of pilots,,,<title>The use of the MMPI in the psychological evaluation of pilots</title>
762,2012,Applied Cognitive Psychology,Confirmation Bias in General Aviation Lost Procedures,"Pilots, students and orienteers completed three tasks in which they imagined that they were lost. For each task, participants were provided with a map and instructed to select one of three provided features to help them decide if they were at a certain (incorrect) location. One feature was unique to the correct location; the other two features were consistent with locations in both the incorrect location and the correct location. The unique feature was therefore the 'correct' choice to make. Only orienteers chose the unique feature at a rate significantly higher than chance; all other groups performed either at or worse than expected by chance. Attempts to increase the rate of disconfirming choices were largely ineffective. Findings suggest that when they are lost, both pilots and psychology students, but not orienteers, adopt a confirmatory approach to ascertain their location, which may put pilots who are already lost at even greater risk. [PUBLICATION ABSTRACT]","Pilots, students and orienteers completed three tasks in which they imagined that they were lost. For each task, participants were provided with a map and instructed to select one of three provided features to help them decide if they were at a certain (incorrect) location. One feature was unique to the correct location; the other two features were consistent with locations in both the incorrect location and the correct location.","<title>Confirmation Bias in General Aviation Lost Procedures</title> <excerpt>Pilots, students and orienteers completed three tasks in which they imagined that they were lost. For each task, participants were provided with a map and instructed to select one of three provided features to help them decide if they were at a certain (incorrect) location. One feature was unique to the correct location; the other two features were consistent with locations in both the incorrect location and the correct location.</excerpt>"
763,2019,The American Psychologist,Why wasn’t sport included? Comment on the special issue on the science of teamwork (2018),"The special issue of the American Psychologist (May–June 2018) is devoted to the science of teamwork, with 20 articles addressing the history and foundation of teamwork research and highlighting the importance of teamwork in aviation, military, business, space exploration, academic, and health care settings. Articles that address factors influencing team performance and evaluation of interventions with teams are also included. The editors of the special issue direct attention to key areas in teamwork research that would benefit from further inquiry. That is, a call is made for research that focuses on teamwork measurement and assessment tools, explores multi-team systems, and bridges the gap between theory and practice. The special issue is a gem, likely to advance teamwork research in the years to come. Missing, however, is discussion of research related to sport teams and the sport psychology literature, although a sport team is featured on the cover of the science of teamwork special issue.","The special issue of the American Psychologist (May–June 2018) is devoted to the science of teamwork, with 20 articles addressing the history and foundation of teamwork research and highlighting the importance of teamwork in aviation, military, business, space exploration, academic, and health care settings. Articles that address factors influencing team performance and evaluation of interventions with teams are also included. The editors of the special issue direct attention to key areas in teamwork research that would benefit from further inquiry.","<title>Why wasn’t sport included? Comment on the special issue on the science of teamwork (2018)</title> <excerpt>The special issue of the American Psychologist (May–June 2018) is devoted to the science of teamwork, with 20 articles addressing the history and foundation of teamwork research and highlighting the importance of teamwork in aviation, military, business, space exploration, academic, and health care settings. Articles that address factors influencing team performance and evaluation of interventions with teams are also included. The editors of the special issue direct attention to key areas in teamwork research that would benefit from further inquiry.</excerpt>"
764,1956,,"Symposium on Air force human engineering, personnel, and training research: held under the auspices of the Division of anthropology and psychology, National reacademy of sciences--National research council, November 14-16, 1955, Washington, D.C",Sample of the United States air force aviation psychology research programs.,Sample of the United States air force aviation psychology research programs..,"<title>Symposium on Air force human engineering, personnel, and training research: held under the auspices of the Division of anthropology and psychology, National reacademy of sciences--National research council, November 14-16, 1955, Washington, D.C</title> <excerpt>Sample of the United States air force aviation psychology research programs..</excerpt>"
765,1956,Aeromedica acta,Some notes on the psychological analysis of the pilot's task,,,<title>Some notes on the psychological analysis of the pilot's task</title>
766,1982,"Aviation, space, and environmental medicine",Functional optical invariants: a new methodology for aviation research,"The application to aviation psychology of Gibson's (4) ""ecological approach to visual perception"" demands information-rich visual displays to adequately and unambiguously enable a pilot to perform flight maneuvers. Optical information often takes the form of invariant properties of a changing optic array, and functional invariants are defined as psychologically effective optical invariants. Their effectiveness is determined by empirical test, but standard experimental paradigms are shown to be inappropriate for testing the effectiveness of information-rich displays. This is due to the presence of inherent and unavoidable confounding factors that are here termed ""secondary independent variables"" in contradistinction to the ""primary independent variables"" manipulated by the experimenter. Recommendations for a new methodology and statistical treatment are offered, and the implications for aviation psychology are discussed.The application to aviation psychology of Gibson's (4) ""ecological approach to visual perception"" demands information-rich visual displays to adequately and unambiguously enable a pilot to perform flight maneuvers. Optical information often takes the form of invariant properties of a changing optic array, and functional invariants are defined as psychologically effective optical invariants. Their effectiveness is determined by empirical test, but standard experimental paradigms are shown to be inappropriate for testing the effectiveness of information-rich displays. This is due to the presence of inherent and unavoidable confounding factors that are here termed ""secondary independent variables"" in contradistinction to the ""primary independent variables"" manipulated by the experimenter. Recommendations for a new methodology and statistical treatment are offered, and the implications for aviation psychology are discussed.","The application to aviation psychology of Gibson's (4) ""ecological approach to visual perception"" demands information-rich visual displays to adequately and unambiguously enable a pilot to perform flight maneuvers. Optical information often takes the form of invariant properties of a changing optic array, and functional invariants are defined as psychologically effective optical invariants. Their effectiveness is determined by empirical test, but standard experimental paradigms are shown to be inappropriate for testing the effectiveness of information-rich displays.","<title>Functional optical invariants: a new methodology for aviation research</title> <excerpt>The application to aviation psychology of Gibson's (4) ""ecological approach to visual perception"" demands information-rich visual displays to adequately and unambiguously enable a pilot to perform flight maneuvers. Optical information often takes the form of invariant properties of a changing optic array, and functional invariants are defined as psychologically effective optical invariants. Their effectiveness is determined by empirical test, but standard experimental paradigms are shown to be inappropriate for testing the effectiveness of information-rich displays.</excerpt>"
767,2015,Journal of Experimental Psychology,Finding a needle in a haystack: Toward a psychologically informed method for aviation security screening,"Current aviation security systems identify behavioral indicators of deception to assess risks to flights, but they lack a strong psychological basis or empirical validation. We present a new method that tests the veracity of passenger accounts. In an in vivo double-blind randomized-control trial conducted in international airports, security agents detected 66% of deceptive passengers using the veracity test method compared with less than 5% using behavioral indicator recognition. As well as revealing advantages of veracity testing over behavioral indicator identification, the study provides the highest levels to date of deception detection in a realistic setting where the known base rate of deceptive individuals is low.","Current aviation security systems identify behavioral indicators of deception to assess risks to flights, but they lack a strong psychological basis or empirical validation. We present a new method that tests the veracity of passenger accounts. In an in vivo double-blind randomized-control trial conducted in international airports, security agents detected 66% of deceptive passengers using the veracity test method compared with less than 5% using behavioral indicator recognition.","<title>Finding a needle in a haystack: Toward a psychologically informed method for aviation security screening</title> <excerpt>Current aviation security systems identify behavioral indicators of deception to assess risks to flights, but they lack a strong psychological basis or empirical validation. We present a new method that tests the veracity of passenger accounts. In an in vivo double-blind randomized-control trial conducted in international airports, security agents detected 66% of deceptive passengers using the veracity test method compared with less than 5% using behavioral indicator recognition.</excerpt>"
768,1993,Ergonomics,Book reviews -- Stress and Error in Aviation (Volume 2) edited by Eric Farmer,Review.,Review..,<title>Book reviews -- Stress and Error in Aviation (Volume 2) edited by Eric Farmer</title> <excerpt>Review..</excerpt>
769,1958,Journal of the American Medical Association,Research on human factors of aerial warfare,,,<title>Research on human factors of aerial warfare</title>
770,2002,Counselling Psychology Quarterly,The mental health of pilots: An overview,"The impact and long-term psychological consequences of the 11th September 2001 terrorist attacks in the USA involving commercial aircraft are likely to be far-reaching. Pilots were directly affected by these events though it is too early to comprehend the specific psychological and occupational repercussions. While psychologists have written much on the selection of commercial and military aircrew, surprisingly little has been published on the mental health of pilots. They are a unique occupational group in terms of their selection, training, lifestyle, frequent competency and medical checks, as well as the nature and changing demands placed on them. Their 'office' is normally a cramped flight deck on board an aircraft at altitudes of thousands of feet. While some aspects of their job and lifestyle appear attractive to some, their working conditions are, at worst, inhospitable and unpleasant. This paper provides an overview of current research on the mental health of pilots, gathered from a number of different fields and specialities within commercial and military aviation. The review covers their lifestyle, psychological requirements for medical certification, psychological problems amongst air crew, personality factors, disruption to personal relationships, reactions to incidents and accidents, alcohol and drug misuse, suicide by aircraft and environmental challenges. Flight crew should have easy access to psychological support; however, many pilots are distrusting of mental health professionals. Further research is needed to improve an understanding of mental health issues among pilots, especially in order to better understand the psychological impact of the terrorist attacks upon them. [PUBLICATION ABSTRACT]","The impact and long-term psychological consequences of the 11th September 2001 terrorist attacks in the USA involving commercial aircraft are likely to be far-reaching. Pilots were directly affected by these events though it is too early to comprehend the specific psychological and occupational repercussions. While psychologists have written much on the selection of commercial and military aircrew, surprisingly little has been published on the mental health of pilots.","<title>The mental health of pilots: An overview</title> <excerpt>The impact and long-term psychological consequences of the 11th September 2001 terrorist attacks in the USA involving commercial aircraft are likely to be far-reaching. Pilots were directly affected by these events though it is too early to comprehend the specific psychological and occupational repercussions. While psychologists have written much on the selection of commercial and military aircrew, surprisingly little has been published on the mental health of pilots.</excerpt>"
771,1958,Public health,Environmental and occupational problems in the Royal Air Force,,,<title>Environmental and occupational problems in the Royal Air Force</title>
772,2019,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings",The Moderating Effect of Risk Tolerance on the Hazardous Attitudes and Safety Behavior of Maritime Pilots: a Chinese Case,"Conference Title: 2019 5th International Conference on Transportation Information and Safety (ICTIS)Conference Start Date:  2019,  July  14 Conference End Date:  2019,  July  17 Conference Location: Liverpool, United KingdomThe safety psychology of maritime pilots has a significant impact on their safe operational behavior. This paper aims to analyze the hazardous attitudes of maritime pilots towards their safety behavior and investigate the effect}{of their risk tolerance on this process through a hybrid of Structural Equation Model (SEM) and multi-level regression analysis. Primary data was collected from a survey from Chinese pilots working at Shanghai port, and a total of 306 collected surveys was analyzed. The study shows that hazardous attitudes have a significant effect on the safety behavior of maritime pilots, and the degree of risk tolerance plays a significant moderating role in this process. If the value of hazardous attitudes of maritime pilots is higher than an average level, his/her safety operational behavior will gradually degrade with the increased degree of risk tolerance. If the value of hazardous attitudes is lower than the average level, the behavior will gradually be safer with the decreased degree of risk tolerance.","Conference Title: 2019 5th International Conference on Transportation Information and Safety (ICTIS)Conference Start Date:  2019,  July  14 Conference End Date:  2019,  July  17 Conference Location: Liverpool, United KingdomThe safety psychology of maritime pilots has a significant impact on their safe operational behavior. This paper aims to analyze the hazardous attitudes of maritime pilots towards their safety behavior and investigate the effect}{of their risk tolerance on this process through a hybrid of Structural Equation Model (SEM) and multi-level regression analysis. Primary data was collected from a survey from Chinese pilots working at Shanghai port, and a total of 306 collected surveys was analyzed.","<title>The Moderating Effect of Risk Tolerance on the Hazardous Attitudes and Safety Behavior of Maritime Pilots: a Chinese Case</title> <excerpt>Conference Title: 2019 5th International Conference on Transportation Information and Safety (ICTIS)Conference Start Date:  2019,  July  14 Conference End Date:  2019,  July  17 Conference Location: Liverpool, United KingdomThe safety psychology of maritime pilots has a significant impact on their safe operational behavior. This paper aims to analyze the hazardous attitudes of maritime pilots towards their safety behavior and investigate the effect}{of their risk tolerance on this process through a hybrid of Structural Equation Model (SEM) and multi-level regression analysis. Primary data was collected from a survey from Chinese pilots working at Shanghai port, and a total of 306 collected surveys was analyzed.</excerpt>"
773,2014,The Journal of Management Studies,Dreaming of Flying When Grounded: Occupational Identity and Occupational Fantasies of Furloughed Airline Pilots,"This article analyses the effects of job loss on the occupational identities of a group of United States pilots, laid off (or 'furloughed') twice by their employer in the decade following 9/11. Using a narrative methodology, the paper examines how the childhood dream of flying, referred to as the Phaethon dream, serves as an identity anchor that sustained their occupational identities. When the circumstances of the aviation industry (restructuring, outsourcing, and downsizing) led to extensive lay-offs, this identity anchor functioned in two contrasting ways. Some pilots moved on to retrain and start new careers, without abandoning their occupational identities or relinquishing the dream of flying. Another group of pilots, however, were stuck in occupational limbo waiting to be recalled by their employer, unwilling to forsake this dream and refusing to contemplate a move that would decisively take them out of their pilot seats. The paper's contribution lies in theorizing how a dream originating in childhood, linked to a long-standing archetype of flying and subsequently hardened into a shared occupational fantasy, acts as an identity anchor and how this shapes responses to the trauma of job loss. The paper concludes by linking the Phaethon dream to its mythological counterpart in order to highlight its enduring, shared, and unconscious character.","This article analyses the effects of job loss on the occupational identities of a group of United States pilots, laid off (or 'furloughed') twice by their employer in the decade following 9/11. Using a narrative methodology, the paper examines how the childhood dream of flying, referred to as the Phaethon dream, serves as an identity anchor that sustained their occupational identities. When the circumstances of the aviation industry (restructuring, outsourcing, and downsizing) led to extensive lay-offs, this identity anchor functioned in two contrasting ways.","<title>Dreaming of Flying When Grounded: Occupational Identity and Occupational Fantasies of Furloughed Airline Pilots</title> <excerpt>This article analyses the effects of job loss on the occupational identities of a group of United States pilots, laid off (or 'furloughed') twice by their employer in the decade following 9/11. Using a narrative methodology, the paper examines how the childhood dream of flying, referred to as the Phaethon dream, serves as an identity anchor that sustained their occupational identities. When the circumstances of the aviation industry (restructuring, outsourcing, and downsizing) led to extensive lay-offs, this identity anchor functioned in two contrasting ways.</excerpt>"
774,1956,The American journal of psychiatry,Fear of flying in Korea,,,<title>Fear of flying in Korea</title>
