Topic,Count,Name,Representation,Representative_Docs
65,10,65_Multisensory localization research,['Multisensory localization research'],"['<title>Three-Dimensional Audio Versus Head-Down Traffic Alert and Collision Avoidance System Displays</title> <excerpt>The advantage of a head-up auditory display for situational awareness was evaluated in an experiment designed to measure and compare the acquisition time for capturing visual targets under two conditions: standard headdown Traffic Alert and Collision Avoidance System (TCAS) display and three-dimensional (3-D) audio TCAS presentation. (The technology used for 3-D audio presentation allows a stereo headphone user to potentially localize a sound at any externalized position in 3-D auditory space).</excerpt>', '<title>Visual and auditory localization as a function of azimuth and elevation</title> <excerpt>This study was performed to investigate the accuracy of performing a localization task as a function of the use of three display formats: auditory, perspective, and combined perspective-auditory. The experimental task for the perspective and perspective-auditory displays was to judge the relative azimuth and elevation that separated a computer-generated target object from a reference object.</excerpt>', '<title>Evaluating adaptive multisensory displays for target localization in a flight task</title> <excerpt>This study was designed to determine the efficacy of providing target location information via head-coupled visual and spatial audio displays presented in adaptive and nonadaptive configurations. Twelve United States Air Force pilots performed a simulated flight task in which they were instructed to maintain flight parameters while searching for ground and air targets.</excerpt>', '<title>3-D audio in the fighter cockpit improves task performance</title> <excerpt>A flight simulator experiment was conducted to explore the benefits of 3-dimensional (3-D) audio to support in-cockpit tasks regarding performance and workload. In half of the conditions, 1 or 2 tasks requiring information from a head-down display (HDD) were supported by 3-D audio.</excerpt>', '<title>Effects of supplementing head-down displays with 3-D audio during visual target acquisition</title> <excerpt>We investigated the effectiveness of supplementing head-down displays (HDDs) with high-fidelity 3-dimensional (3-D) audio using a flight simulation task in which participants were required to visually acquire the image of a target aircraft. There were 3 conditions: a visual HDD providing azimuth information combined with a nonspatial audio cue, a visual HDD providing azimuth and elevation information combined with a nonspatial audio cue, and a visual HDD providing azimuth information combined with a 3-D audio cue.</excerpt>']"
66,10,66_Air medical transport,['Air medical transport'],"['<title>Task of a medical department in civil aviation.</title>', ""<title>On doctors' accountability and flight deck safety</title>"", ""<title>Air medical transport: What the family wants to know</title> <excerpt>Introduction: The needs of family members of intensive care unit patients are well-documented, but there is little published about the specific needs of family members of air medical patients. Purpose: This study was devised to identify family member's information needs regarding air medical transport.</excerpt>"", '<title>The king LT versus the combitube: Flight crew performance and preference</title> <excerpt>Introduction. Air medical personnel frequently face the challenge of the emergency airway.</excerpt>', '<title>AsMA medical guidelines for air travel: Stresses of flight</title> <excerpt>INTRODUCTION: Medical Guidelines for Airline Travel provide information that enables healthcare providers to properly advise patients who plan to travel by air. Modern commercial aircraft are very safe and, in most cases, reasonably comfortable.</excerpt>']"
67,10,67_Synthetic vision systems,['Synthetic vision systems'],"['<title>Using relative position and temporal judgments to identify biases in spatial awareness for synthetic vision systems</title> <excerpt>Synthetic vision systems (SVS) are cockpit displays that depict terrain ahead of ownship to prevent controlled flight into terrain. This work investigated how spatial biases manifest themselves in SVS displays.</excerpt>', '<title>Effects of a velocity-vector-based command augmentation system and synthetic vision system terrain portrayal and guidance symbology concepts on single-pilot performance</title> <excerpt>This study investigated the effects of synthetic vision system (SVS) concepts and advanced flight controls on the performance of pilots flying a light, single-engine general-aviation airplane. We evaluated the effects and interactions of 2 levels of terrain portrayal, guidance symbology, and flight control response type on pilot performance during the conduct of a relatively complex instrument approach procedure.</excerpt>', ""<title>The effects of the AH-64A pilot's night vision system on the performance of seven simulated maneuver tasks</title> <excerpt>The Pilot's Night Vision System (PNVS) allows the pilot of the AH-64A Apache helicopter to fly and navigate effectively at night. The PNVS restricts field of view (FOV) and degrades visual acuity, two factors that should adversely affect pilot performance during night operations, especially for flight maneuvers that rely on peripheral cues.</excerpt>"", '<title>Improved Flight Technical Performance in Flight Decks Equipped with Synthetic Vision Information System Displays</title> <excerpt>Synthetic vision information systems (SVIS) are the next generation of cockpit display systems that will become an integral part of the commercial flight deck in the future. The goal of this study was to evaluate SVIS against conventional glass cockpit displays to assess whether or not SVIS can improve pilot performance, situation awareness (SA), and workload.</excerpt>', '<title>Trade-offs in synthetic vision system display resolution, field of regard, terrain data density, texture, and shading during off-path operations</title> <excerpt>We conducted 2 independent fixed-base flight simulator studies to determine trade-offs in synthetic vision system (SVS) display resolution, field of regard, terrain data density, texture, and shading during off-path operations. The data we present herein are a synthesis of prior work and may be useful for consideration by SVS designers and certification entities.</excerpt>']"
68,10,68_Cognitive Abilities in Pilot Training,['Cognitive Abilities in Pilot Training'],"['<title>Cognitive evaluation of Israeli air force pilot cadets</title> <excerpt>OBJECTIVE: In aviation psychology, there is a constant need for the cognitive evaluation of pilots as part of operational fitness and safety criteria. METHODS: A cross-sectional study with comparison between the performance of Israeli Air Force pilot cadets (N = 318) and U.S.</excerpt>', ""<title>Cognitive-Adaptation Training for Improving Performance and Stress Management of Air Force Pilots</title> <excerpt>This study investigated the effects of cognitive-adaptation training on flight performance and stress management in a sample of pilot cadets who were undergoing a basic flying program (N = 21). The aim of the training was to enhance the participants' awareness of the cognitive processes that they used in a given situation, and to strengthen reflective processes.</excerpt>"", '<title>Investigating the Validity of Previous Flying Experience, Both Actual and Simulated, in Predicting Initial and Advanced Military Pilot Training Performance</title> <excerpt>This study examined the validity of cognitive ability, previous flying experience, and a simulation in predicting the job knowledge and flying performance of military pilots undergoing training. Archival data were analyzed for 300 Canadian pilot candidates who attempted entry-level military pilot training and 150 candidates who completed intermediate-level training on fixed-wing aircraft.</excerpt>', '<title>Consistency of the Relations of Cognitive Ability and Personality Traits to Pilot Training Performance</title> <excerpt>The predictive validity of cognitive ability and personality traits was examined in large samples of U.S. Air Force pilot trainees.</excerpt>', '<title>A Comparative Study of Cognitive Abilities of Generation Y and Generation Z Pilot Candidates</title> <excerpt>Objective: Training aviation specialists is a complex and rigorous process. According to statistics, 75% of incidents negatively impacting flight safety have been caused by human error.</excerpt>']"
69,10,69_Prospective Memory in Air Traffic Control,['Prospective Memory in Air Traffic Control'],"['<title>Minimizing the disruptive effects of prospective memory in simulated air traffic control</title> <excerpt>Prospective memory refers to remembering to perform an intended action in the future. Failures of prospective memory can occur in air traffic control.</excerpt>', '<title>Prospective Memory and Task Interference in a Continuous Monitoring Dynamic Display Task</title> <excerpt>Theories and methods from the prospective memory literature were used to anticipate how individuals would maintain and retrieve intentions in a continuous monitoring dynamic display task. Participants accepted aircraft into sectors and detected aircraft conflicts during an air traffic control simulation.</excerpt>', '<title>Applying Psychological Science to Examine Prospective Memory in Simulated Air Traffic Control</title> <excerpt>Failures to remember to perform deferred task actions in work settings such as air traffic control can have serious consequences. Most research examining the cognitive mechanisms underlying prospective memory has used simple, static tasks, which may make it difficult to generalize results to work settings.</excerpt>', '<title>Functions of External Cues in Prospective Memory</title> <excerpt>A simulation of an air traffic control task was the setting for an investigation of the functions of external cues in prospective memory. External cues can support the triggering of an action or memory for the content of the action.</excerpt>', '<title>Using memory for prior aircraft events to detect conflicts under conditions of proactive air traffic control and with concurrent task requirements</title> <excerpt>In 2 experiments we examined the impact of memory for prior events on conflict detection in simulated air traffic control under conditions where individuals proactively controlled aircraft and completed concurrent tasks. Individuals were faster to detect conflicts that had repeatedly been presented during training (positive transfer).</excerpt>']"
70,10,70_Weather-related pilot decision making,['Weather-related pilot decision making'],"[""<title>Why don't pilots submit more pilot weather reports (PIREPs)?</title> <excerpt>Pilot weather reports (PIREPs) are voluntary reports of actual weather conditions encountered by pilots during flight. Pilot weather reports are an ideal complement to observational and forecast weather products when they are submitted in sufficient quantity and detail.</excerpt>"", '<title>Pilot behaviors in the face of adverse weather: A new look at an old problem</title> <excerpt>Introduction: Weather-related general aviation accidents remain one of the most significant causes for concern in aviation safety. Previous studies have typically compared accident and non-accident cases.</excerpt>', '<title>Effects of Pilot Experience on Recall of Information From Graphical Weather Displays</title> <excerpt>Good weather-related decision making is critical for the safe conduct of general aviation flights. A number of tools have been developed in recent years to help pilots visualize the actual and forecast weather for their planned flight.</excerpt>', '<title>Expert and novice pilot perceptions of static in-flight images of weather</title> <excerpt>Weather-related accidents continue to account for a significant proportion of fatal general aviation accidents. The aim of this study was to examine the nature of in-flight weather-related decision making in a task involving assessments of in-flight weather conditions.</excerpt>', '<title>General Aviation Weather Alerting: The Effectiveness of Different Visual and Tactile Display Characteristics in Supporting Weather-Related Decision Making</title> <excerpt>Objective: This research analyzed the effects of weather technology interface characteristics on the quality and timeliness of weather-related decision making via mental workload and situational awareness (SA) metrics using flight training devices (FTDs) and follow-up in-flight validation testing. Background: A significant number of fatal general aviation (GA) accidents are attributable to pilots flying into instrument meteorological conditions without the necessary certification for safe operation.</excerpt>']"
71,10,71_Pilot Safety Behavior,['Pilot Safety Behavior'],"[""<title>Locus of control, self-serving biases, and attitudes towards safety in general aviation pilots</title> <excerpt>Of the three related survey studies that were conducted, two are summarized and one, which characterizes all three, is reported in detail. The studies attempted to determine how aviators compared with the general population on the personality dimension - locus of control (internal vs external) and how this was related to aviators' attenance at FAA Safety Clinics.</excerpt>"", ""<title>The effects of risk perception and flight experience on airline pilots' locus of control with regard to safety operation behaviors</title> <excerpt>The primary objective of this paper was to integrate two research traditions, social cognition approach and individual state approach, and to understand the relationships between locus of control (LOC), risk perception, flight time, and safety operation behavior (SOB) among Chinese airline pilots. The study sample consisted of 193 commercial airline pilots from China Southern Airlines Ltd.</excerpt>"", '<title>Assessing Locus of Control in Pilots: Psychometric Evaluation of a Self-Report Measure</title> <excerpt>The present study systematically assessed the factor structure, internal consistency, and construct validity of the Aviation Safety Locus of Control scale (ASLOC) on 476 European pilots (4.6% female). Independent confirmatory factor analyses showed a strong correlation between the latent factors of Internal and External LOC, justifying proceeding with a one-factor solution (assessing internal LOC after reversescoring items).</excerpt>', '<title>A Theoretical Model to Understand Flight Instructors’ Safety Behaviors in the United States: Through Personality Traits, Self-Efficacy, Risk Perception, and Safety Climate</title> <excerpt>Safety is an important aspect for any organization or individual to be successful, and the field of aviation has no exceptions. A CFI is authorized to give training and endorsements required for student, private, commercial, and instrument pilot certificates.</excerpt>', '<title>The Relationship Between Pilot Candidates’ Self-Control, Self-Efficacy and Training Performance in Terms of Safety Climate</title> <excerpt>Objective: This study investigates the relationship between pilot candidates’ self-control, self-efficacy, and training performance in terms of safety climate. Background: Self-efficacy and safety climate are essential for the flight performance of pilots.</excerpt>']"
72,10,72_Job satisfaction aviation,['Job satisfaction aviation'],"['<title>Job stress among female flight attendants</title> <excerpt>We evaluated the presence of chronic job stressors among flight attendants (FAs) to examine the relationships between these job stressors and psychological distress and job dissatisfaction. Seventy-three female FAs (90% participation) employed at two commercial airlines completed a detailed questionnaire.</excerpt>', '<title>Effects of trust in organizations and trait mindfulness on optimism and perceived stress of flight attendants during the COVID-19 pandemic</title> <excerpt>Purpose: This research adopts the conservation of resources (COR) theory to examine the effects of trust in organizations and trait mindfulness on optimism and perceived stress of flight attendants in Thailand during the COVID-19 pandemic. Design/methodology/approach: Online survey data were collected from 234 flight attendants who work for five low-cost airlines based in Thailand.</excerpt>', ""<title>A comparative analysis of job satisfaction among military and airline pilots: During, and post COVID-19</title> <excerpt>This research aimed to examine the impact of the COVID-19 pandemic on the Job Satisfaction of military and airline pilots, in order to identify factors that influence the sustainability of aviation operations during global economic shocks, through the prism of industrial and organizational (I/O) psychology. The primary focus was on identifying factors linked to pilots' Job Satisfaction differentiations over the time course of the pandemic, and proposing measures to mitigate their negative effects.</excerpt>"", '<title>The Effect of Psychological Anxiety Caused by COVID-19 on Job Self-Esteem and Job Satisfaction of Airline Flight Attendants</title> <excerpt>This study aimed to investigate how psychological anxiety caused by COVID-19 has influenced airline cabin crew job self-esteem and job satisfaction. A questionnaire based on prior research was developed to identify factors of psychological anxiety among cabin crews as a result of COVID-19.</excerpt>', '<title>A study on the effect of job stress factors on mental health and service sabotage: Focusing on flight attendants in foreign airlines</title> <excerpt>This study investigated the relationship among six job stress factors (job insecurity, meritocracy, vertical communication, acculturation stress, organizational silence, and psychological contract), mental health deterioration, and service sabotage in flight attendants working for foreign (non-Korean) airlines. Six job stressors were identified through a literature review and focus group interviews.</excerpt>']"
73,10,73_Mental fatigue assessment,['Mental fatigue assessment'],"[""<title>Posturographic balance's validity in mental and physical fatigue assessment among cadet pilots</title> <excerpt>BACKGROUND: Postural control is adversely affected by mental and physical fatigue, but its validity in fatigue assessment has not been investigated systemically among pilots. We explored the correlations of posturographic balance with physiological and psychological signals among cadet pilots.</excerpt>"", '<title>Maintaining concentration (Taf) as a measure of mental stress</title> <excerpt>Fatigue has been discussed both in physiological and psychological terms. Undoubtedly these two aspects of fatigue interact upon each other and it may be difficult to distinguish between the two.</excerpt>', '<title>Application of LC-MS-based global metabolomic profiling methods to human mental fatigue</title> <excerpt>Mental fatigue is characterized by a reduced capacity for work and a loss of capacity to respond to stimulation and is usually accompanied by a feeling of tiredness and drowsiness. Mental fatigue at work is a serious problem and can raise safety concerns especially in the transportation system.</excerpt>', '<title>Psychological factors in flying fatigue.</title>', '<title>Detecting fatigue in car drivers and aircraft pilots by using non-invasive measures: The value of differentiation of sleepiness and mental fatigue</title> <excerpt>Introduction: Fatigue is one of the most crucial factors that contribute to a decrease of the operating performance of aircraft pilots and car drivers and, as such, plays a dangerous role in transport safety. To reduce fatigue-related tragedies and to increase the quality of a healthy life, many studies have focused on exploring effective methods and psychophysiological indicators for detecting and monitoring fatigue.</excerpt>']"
74,9,74_Attitude Indicator Design,['Attitude Indicator Design'],"['<title>Attitude Indicator Format: How Difficult Is the Transition between Different Reference Systems?</title> <excerpt>A simulator study investigated the consequences of a transition between two alternative formats of the attitude indictor in aircraft cockpits, the moving-horizon and moving-aircraft format. Two groups of novices practiced performing two flight tasks (flight-path tracking and recovery from unusual attitudes) with one attitude-indicator format for six practice sessions, before transitioning to the other format.</excerpt>', '<title>The ""outside-in"" attitude display concept revisited</title> <excerpt>The ""outside-in"" attitude display concept, which includes a moving-aircraft (as opposed to a moving-horizon) attitude reference, dates back to the early days of flying. The majority of the laboratory and in-flight studies that have evaluated the outside-in format over the years have found it to be superior at preventing roll-reversal errors during normal flying and in recovering from unusual attitudes.</excerpt>', '<title>Unknown-attitude recoveries using conventional and terrain-depicting attitude indicators: Difference testing, equivalence testing, and equivalent level of safety</title> <excerpt>The objectives of this study were to assess the effects of differing formats of forward-looking primary flight display (PFD; electronic attitude-direction indicator, full-color terrain, uniformly brown terrain) on general aviation (GA) pilot recoveries from unknown attitudes and to determine if recovery assistance embodied in the display could be useful. Total recovery times and control reversals were examined as indexes of performance for 40 GA pilots, and the recovery times were subjected to a comparative analysis using both a parametric difference analysis and an equivalence testing technique.</excerpt>', '<title>Attitude Indicator Design and Reference Frame Effects on Unusual Attitude Recoveries</title> <excerpt>The objectives of this study were to examine the combination effects of the attitude directional indicator (ADI) formats and the 2 reference frames (moving horizon [MH] and moving aircraft [MA]) on unusual attitude recovery performance. Three ADI display formats were examined: (a) conventional MH; (b) perspective-view aircraft symbol (PAS), which replaced the conventional miniature aircraft symbol with a pictorial moving aircraft symbol; and (c) command, which presented the appropriate direction for recovery using the pitch or roll arrow.</excerpt>', '<title>Attitude Indicator Design in Primary Flight Display: Revisiting an Old Issue With Current Technology</title> <excerpt>Objective: The experiments investigated the “old issue” of the attitude indicator’s moving-horizon versus moving-aircraft format with current primary flight display technology. Of interest was whether the effects found in earlier studies, favoring the moving-aircraft format, could be replicated with most recent technology including extended horizon displays, which depict the artificial horizon extended over the whole screen with overlaying speed and altitude scales (eg, B787).</excerpt>']"
75,9,75_Pilot decision-making,['Pilot decision-making'],"['<title>Modelling and supporting flight crew decision-making during aircraft engine malfunctions: developing design recommendations from cognitive work analysis</title> <excerpt>In this article, we analyse flight crew response to an in-flight powerplant system malfunction (PSM) using control task analysis. We demonstrate the application of the decision ladder template and the skills, rules, and knowledge (SRK) framework to this new area of inquiry.</excerpt>', '<title>Modelling Pilot Decisions During One Engine Inoperative in Maritime SAR Helicopter Hoist Task: RPDM and PCM</title> <excerpt>This paper undertakes a comprehensive examination of pilot decision-making in response to a single-engine failure during maritime search and rescue (SAR) helicopter hoist tasks, employing two distinct decision models–namely, RPDM and PCM. The primary goal of this research is to assess the strengths and weaknesses of each model in accounting for the decision-making processes involved in this critical scenario.</excerpt>', '<title>Aeronautical decision making: Instructor-pilot evaluation of five Mnemonic methods</title> <excerpt>Introduction: The ability to make good decisions is a critical component of pilot proficiency. Results of recent research suggest that aeronautical decision making (ADM) can be improved by training.</excerpt>', '<title>Introduction to cognitive processes of expert pilots.</title> <excerpt>This report addresses the historical problem that a very high percentage of accidents have been classified as involving ""pilot error."" Through extensive research since 1977, the Federal Aviation Administration determined that the predominant underlying cause of these types of accidents involved decisional problems or cognitive information processing. To attack these problems, Aeronautical Decision Making (ADM) training materials were developed and tested for ten years.</excerpt>', '<title>Using computational cognitive modeling to diagnose possible sources of aviation error</title> <excerpt>We present a computational model of a closed-loop, pilot-aircraft-visual scene-taxiway system created to shed light on possible sources of taxi error. The creation of the cognitive aspects of the model with ACT-R (Adaptive Control of Thought-Rational) required us to conduct studies with subject matter experts to identify the experiential adaptations pilots bring to taxiing.</excerpt>']"
76,9,76_Aeromedical effects of decompression,['Aeromedical effects of decompression'],"['<title>An independent, objective calibration check for the Reduced Oxygen Breathing Device</title> <excerpt>Introduction: Normobaric hypoxia, which does not entail an altitude chamber, but reduces the fraction of inspired oxygen (O <inf>2</inf> ) by diluting air with nitrogen, is finding increased use. The Reduced Oxygen Breathing Device (ROBD-2) is one of several commercial devices for generating such normobaric hypoxia.</excerpt>', '<title>Rapid decompression to 50,000 feet: Effect on heart rate response</title> <excerpt>Interest in Molecular Sieve Oxygen Generation Systems (MSOGS) for use in military aircraft has demonstrated a need to study physiological effects of MSOGS product gas in the worst case scenario, a rapid decompression (RD). In this paper we report the heart rate (HR) response to positive pressure breathing (PPB) during and after RD from 6,096 to 15,239 m (20,000 to 50,000 ft) in a hypobaric chamber while breathing gas mixtures that simulate the product gas from MSOGS.</excerpt>', '<title>PSYCHOPHYSIOLOGICAL TRAINING OF PILOTS FOR CASES OF EMERGENCY COCKPIT DECOMPRESSION; ПСИХОФИЗИОЛОГИЧЕСКАЯ ПОДГОТОВКА ЛЕТЧИКОВ К ДЕЯТЕЛЬНОСТИ В УСЛОВИЯХ АВАРИЙНОЙ РАЗГЕРМЕТИЗАЦИИ КАБИНЫ САМОЛЕТА</title> <excerpt>Introduction. In the stratosphere, when the aircraft cockpit is depressurized, the pilot switches to breathing pressurized oxygen.</excerpt>', '<title>Recurrence of neurological deficits in an F/A-18D pilot following loss of cabin pressure at altitude</title> <excerpt>Introduction: Supersonic, high altitude aviation places its pilots and aircrew in complex environments, which may lead to injury that is not easily diagnosed or simply treated. Decompression illness (either venous or arterial) and environmental conditions (eg, abnormal gases and pressure) are the most likely adverse effects aircrew often face.</excerpt>', '<title>Physiological Factors Analysis in Unpressurized Aircraft Cabins</title> <excerpt>Amateur and sports flight is an activity with growing numbers worldwide. However, the main cause of flight incidents and accidents is increasingly pilot error, for a number of reasons.</excerpt>']"
77,9,77_Human factors in aviation,['Human factors in aviation'],"['<title>VFR Into IMC: Using Simulation to Improve Weather-Related Decision-Making</title> <excerpt>Safety-related training policies restrict pilots from encountering challenging weather during flight training. This potentially inhibits the development of critical decision-making skills.</excerpt>', ""<title>Human factors analysis of accidents involving visual flight rules flight into adverse weather</title> <excerpt>Background: General aviation (GA) accident statistics indicate that visual flight rules (VFR) flight into instrument meteorological conditions (IMC) is a major safety hazard. However, little research has been conducted to identify the factors that influence VFR pilots' decisions to risk flying into deteriorating weather.</excerpt>"", '<title>Human factors in helicopter flying</title> <excerpt>The problems of flying the helicopter and the loads imposed on the crew doing operational flying are summarized..</excerpt>', '<title>A Two-Stage Model of Diversion Knowledge and Skills Highlights Where Pilot Factors Impact Safety-Related Outcomes</title> <excerpt>Objective: To assist stakeholders apply targeted safety strategies, we developed and tested a two-stage model of diversion knowledge and skills. Background: Understanding pilot factors in weather-related diversions is integral to reducing the phenomenon of visual flight rules flight into meteorological conditions.</excerpt>', '<title>An Examination of Human Factors in Australian Helicopter Emergency Medical Services (HEMS)</title> <excerpt>Objective: This study aims to identify and examine prevalent human factors in the Australian Helicopter Emergency Medical Services (HEMS) industry. Background: There is little research into the human factors of HEMS operations.</excerpt>']"
78,9,78_Physiological responses in pilots,['Physiological responses in pilots'],"['<title>Neuroendocrine responses to psychological workload of instrument flying in student pilots</title> <excerpt>Background: Information processing and stress tolerance are necessary features for instrument flying (IRF), especially among student pilots. Psychological workload of IFR flight may lead to stress reactions such as neuroendocrine activity.</excerpt>', '<title>Hormonal responses of pilots to training flights: The effects of experience on apparent stress</title> <excerpt>Introduction: The levels of urinary noradrenaline (NAd), adrenaline (Ad) and salivary cortisol (Cor) were determined in student and instructor pilots during Phase 1 (training with propeller engine; PH1), and Phase 2 (training with jet engine; PH2) flight training. Methods: The subjects in PH1 were 30 students and 33 instructors, and in PH2 were 17 students and 15 instructors.</excerpt>', '<title>Neuroendocrine responses to real and simulated BA Hawk MK 51 flight</title> <excerpt>The effects of psychological workload on the plasma levels of eight neuroendocrine hormones were studied in 5 undergraduate and 5 senior military pilots of the Finnish Air Force (FAF). All subjects performed the same short- term basic flight mission, which included the following: 1) start; 2) ILS- approach in minimum weather conditions; 3) visual approach; and 4) landing.</excerpt>', '<title>Physiological, biochemical, and psychological responses to environmental survival training in the Royal Australian Air Force</title> <excerpt>Military environmental survival training (EST) is designed and considered to evoke significant stressors to military personnel in preparation for combat-like scenarios. The aim of this study was to observe and report selected physiological, biochemical, psychological, and performance responses to this intense 15-day program of Royal Australian Air Force (RAAF) EST.</excerpt>', '<title>Salivary alpha-amylase activity and stress in Japan air self-defense force cargo pilots involved in Iraq reconstruction</title> <excerpt>Objectives: This study aimed to verify whether salivary α-amylase enzyme activity (Amy) is useful as a biomarker of stress in pilots working in a stressful environment. Methods: The subjects in this study were nine Japan air self-defense force pilots who participated in Iraq reconstruction support activity in Kuwait.</excerpt>']"
79,9,79_Team Performance Dynamics,['Team Performance Dynamics'],"['<title>The role of trainee knowledge structures in aviation team environments</title> <excerpt>The importance of having well-developed knowledge structures to enhance complex team performance has been recently indicated in the training effectiveness literature. This work tested that proposition within an aviation team training setting.</excerpt>', ""<title>Team task analysis: Differentiating between tasks using team relatedness and team workflow as metrics of team task interdependence</title> <excerpt>Objective: As a constructive replication and extension of Arthur, Edwards, Bell, Villado, and Bennett (2005), the objective of the current study was to further investigate the efficacy of team relatedness and team workflow ratings (along with their composite) as metrics of interdependence.Background: Although an analysis of task and job interdependence has important implications and uses in domains such as job design, selection, and training, the job analysis literature has been slow to develop an effective method to identify team-based tasks and jobs.Method: To achieve the study's objectives, 140 F-16 fighter pilots (35 four-person teams) rated 34 task and activity statements in terms of their team relatedness and team workflow.Results: The results indicated that team relatedness and team workflow effectively differentiated between tasks with varying levels of interdependency (as identified by instructor pilots who served as subject matter experts) within the same job. In addition, teams that accurately perceived the level of interdependency performed better on a four-ship F-16 flight-training program than those that did not.Conclusion: Team relatedness and team workflow ratings can effectively differentiate between tasks with varying levels of interdependency.Application: Like traditional individual task or job analysis, this information can serve as the basis for specified human resource functions and interventions, and as diagnostic indicators as well.</excerpt>"", '<title>The Effects of leadership style and primary task workload on team performance and Follower satisfaction</title> <excerpt>Previous research has indicated that the majority of errors made in aircraft cockpits are the result of faulty information transfer among members of the flight crew. This study examined the problem by manipulating leadership style and studying its effects on performance and satisfaction under conditions of high and low workload.</excerpt>', '<title>Enhancing teamwork in complex environments through team training</title> <excerpt>Although the importance of team training has become widely recognized, research is needed to more clearly understand what instructional strategies actually lead to enhanced teamwork and performance. This research incorporates a theoretical framework, based on the work of J.</excerpt>', '<title>Team Performance in Air Combat: A Teamwork Perspective</title> <excerpt>Objective: The objective of this paper is to describe a model combining taskwork and teamwork of a single-seat fighter aircraft team, or flight, during its performance episode. Background: In air combat, evaluations of team performance have focused on task performance.</excerpt>']"
80,9,80_Mindfulness in Aviation,['Mindfulness in Aviation'],"['<title>Exploring the relationship between trait mindfulness and psychological adaptation from a network perspective: is there any difference between pilots and other non-pilot civil aviation employees?</title> <excerpt>To explore the role of trait mindfulness in the psychological adaptation of civil aviation personnel, and compare the importance of this role between airline pilots and other civil aviation practitioners. A total of 198 civil aviation pilots and 804 other civil aviation practitioners were recruited to complete surveys on mindfulness, SCL-90, job burnout, core self-evaluation, and psychological resilience.</excerpt>', '<title>The effect of loving-kindness meditation on flight attendants’ spirituality, mindfulness and subjective well-being</title> <excerpt>Background: This study investigated: (1) the effects of the loving-kindness meditation (LKM) on mindfulness, subjective well-being (SWB), and spirituality and (2) the relationships between mindfulness, spirituality, and SWB. Methods: 98 flight attendants from Xiamen Airlines in China were recruited and randomly assigned to the LKM training group (n = 49) or the waiting control group (n = 49).</excerpt>', '<title>A Sense of Fellowship: Mindfulness Improves Experienced Interpersonal Benefits and Prosociality in A Military Aviation Unit</title> <excerpt>Objective: Explore how personnel in a military aviation unit experienced personal as well as interpersonal aspects concerning their participation in a group-based four-month MBT programme. Background: mindfulness-based training (MBT) have been used as a personal stress management tool in stressful working environments, including military aviation.</excerpt>', '<title>Impact of Mindfulness Training on Physiological Measures of Stress and Objective Measures of Attention Control in a Military Helicopter Unit</title> <excerpt>Objective: This study sought to determine if mindfulness training (MT) has a measurable impact on stress and attentional control as measured by objective physiological and psychological means. Background: Periods of persistent, intensive work demands are known to compromise recovery and attentional capacity.</excerpt>', '<title>Mindfulness-Based Mental Training in a High-Performance Combat Aviation Population: A One-Year Intervention Study and Two-Year Follow-Up</title> <excerpt>This study tested the feasibility and value of mindfulness training (MT) in a Norwegian military combat aircraft squadron (n = 21). No objective measures of performance were included in this study.</excerpt>']"
81,9,81_Crew Resource Management,['Crew Resource Management'],"['<title>Crew performance as a factor of information input.</title>', '<title>Selecting pilots with crew resource management skills</title> <excerpt>For years, pilot selection has focused primarily on the identification of individuals with superior flying skills and abilities. More recently, the aviation community has become increasingly aware that successful completion of a flight or mission requires not only flying skills but the ability to work well in a crew situation.</excerpt>', '<title>Outcomes of Crew Resource Management Training</title> <excerpt>Participants self-reports and measures of attitudes regarding flightdeck management indicate that crew resource management training is favorably received and causes highly significant, positive changes in attitudes regarding crew coordination and personal capabilities. However, a subset of participants reacted negatively to the training and showed boomerangs (negative change) in attitudes.</excerpt>', '<title>A Framework for Understanding Crew Performance Assessment Issues</title> <excerpt>The focus of this special issue is on training pilot instructors to assess crew performance. In this opening article we attempt to set the stage for the other articles in this issue by introducing a framework for understanding crew-performance assessment.</excerpt>', '<title>Pilot Personality and Crew Coordination: Implications for Training and Selection</title> <excerpt>The performance of pilots can be construed as a product of skill, attitude, and personality factors. Although a great deal of effort within the aviation community has been focused on ensuring technical expertise, and new efforts highlight attitudes associated with crew coordination, personality factors have been relatively unexplored.</excerpt>']"
