year,country,title,doc,topic
2019,United Kingdom,Helicopter pilots’ views of air traffic controller responsibilities: a mismatch,<title>Helicopter pilots’ views of air traffic controller responsibilities: a mismatch</title>,119
2019,United States,Heart rate variability and performance of commercial airline pilots during flight simulations,<title>Heart rate variability and performance of commercial airline pilots during flight simulations</title>,39
2019,Australia,Unearthing airspace: the historical phenomenology of aviation artefacts,<title>Unearthing airspace: the historical phenomenology of aviation artefacts</title>,53
2019,United Kingdom,Third-culture kid pilots and multi-cultural identity efects on pilots' attitudes,<title>Third-culture kid pilots and multi-cultural identity efects on pilots' attitudes</title>,159
2019,Poland,The influence of sloping cloud in the visual field on the cognitive determinants of military pilots’ behavior,<title>The influence of sloping cloud in the visual field on the cognitive determinants of military pilots’ behavior</title>,-1
2019,Croatia,Subjective air traffic complexity estimation using artificial neural networks,<title>Subjective air traffic complexity estimation using artificial neural networks</title>,-1
2019,Australia,Preflight risk assessment for improved safety in Helicopter Emergency Medical Service operations,<title>Preflight risk assessment for improved safety in Helicopter Emergency Medical Service operations</title>,120
2019,United States,The impact of workplace harassment on health in a working cohort,<title>The impact of workplace harassment on health in a working cohort</title>,97
2019,United States,Doing What Is Right,<title>Doing What Is Right</title>,143
2019,China,Emotional intelligence and emotional state effects on simulated flight performance,<title>Emotional intelligence and emotional state effects on simulated flight performance</title>,16
2019,United States,A Year on the International Space Station: Implementing a long-duration biomedical research mission,<title>A Year on the International Space Station: Implementing a long-duration biomedical research mission</title>,17
2018,Cyprus - Turkey,Does trust in organization mediate the influence of servant leadership on satisfaction outcomes among flight attendants?,<title>Does trust in organization mediate the influence of servant leadership on satisfaction outcomes among flight attendants?</title>,3
2018,Spain,"Are crews empowered with all the resources needed to successfully address an inflight emergency? Checklists, a necessary but insufficient tool","<title>Are crews empowered with all the resources needed to successfully address an inflight emergency? Checklists, a necessary but insufficient tool</title>",-1
2018,Germany,Helicopter simulator performance prediction using the Random Forest method,<title>Helicopter simulator performance prediction using the Random Forest method</title>,38
2018,Australia,Selecting trainee pilots: Predictive validity of the WOMBAT situational awareness pilot selection test,<title>Selecting trainee pilots: Predictive validity of the WOMBAT situational awareness pilot selection test</title>,-1
2018,China,Systematic assessment of intrinsic factors influencing visual attention performances in air traffic control via clustering algorithm and statistical inference,<title>Systematic assessment of intrinsic factors influencing visual attention performances in air traffic control via clustering algorithm and statistical inference</title>,-1
2018,"Korea, Republic of",How and when are job crafters engaged at work?,<title>How and when are job crafters engaged at work?</title>,161
2018,United States,Subtypes of severe psychological distress among US Air Force remote warriors: A latent class analysis,<title>Subtypes of severe psychological distress among US Air Force remote warriors: A latent class analysis</title>,0
2018,Spain,Human factors in aviation: CRM (crew resource management),<title>Human factors in aviation: CRM (crew resource management)</title>,20
2018,China,The influence of trait mindfulness on incident involvement among Chinese airline pilots: The role of risk perception and flight experience,<title>The influence of trait mindfulness on incident involvement among Chinese airline pilots: The role of risk perception and flight experience</title>,16
2018,Australia,Cognitive Human-Machine Interfaces and Interactions for Unmanned Aircraft,<title>Cognitive Human-Machine Interfaces and Interactions for Unmanned Aircraft</title>,40
2018,"Iran, Islamic Republic of","Psychological entitlement, egoistic deprivation and deviant behavior among cabin crews: an attribution theory perspective","<title>Psychological entitlement, egoistic deprivation and deviant behavior among cabin crews: an attribution theory perspective</title>",0
2018,Hungary,Digital Health Technologies to Support Human Missions to Mars,<title>Digital Health Technologies to Support Human Missions to Mars</title>,-1
2018,Czechia,The Giant Hand illusion experienced on a simulator,<title>The Giant Hand illusion experienced on a simulator</title>,-1
2018,Canada,Acute mild hypoxic hypoxia effects on cognitive and simulated aircraft pilot performance,<title>Acute mild hypoxic hypoxia effects on cognitive and simulated aircraft pilot performance</title>,6
2018,Portugal,Cognitive impact and psychophysiological effects of stress using a biomonitoring platform,<title>Cognitive impact and psychophysiological effects of stress using a biomonitoring platform</title>,74
2018,Australia - South Africa - United Kingdom - United States,"Black swans, cognition, and the power of learning from failure","<title>Black swans, cognition, and the power of learning from failure</title>",167
2018,Germany - Spain,Emotional and cognitive influences in air traffic controller tasks: An investigation using a virtual environment?,<title>Emotional and cognitive influences in air traffic controller tasks: An investigation using a virtual environment?</title>,90
2018,Saudi Arabia,"Assessment of sleepiness, fatigue, and depression among Gulf Cooperation Council commercial airline pilots","<title>Assessment of sleepiness, fatigue, and depression among Gulf Cooperation Council commercial airline pilots</title>",-1
2018,"Taiwan, Province of China",Long-term predictive models of risk factors for early chronic kidney disease: A longitudinal study,<title>Long-term predictive models of risk factors for early chronic kidney disease: A longitudinal study</title>,-1
2018,Germany,Attitude Indicator Design in Primary Flight Display: Revisiting an Old Issue With Current Technology,<title>Attitude Indicator Design in Primary Flight Display: Revisiting an Old Issue With Current Technology</title>,36
2018,Japan - United States,Vape and Aviate: Electronic-Cigarette Use and Misuse in Naval Aviation,<title>Vape and Aviate: Electronic-Cigarette Use and Misuse in Naval Aviation</title>,122
2018,"Taiwan, Province of China","Examining the moderating effects of service climate on psychological capital, work engagement, and service behavior among flight attendants","<title>Examining the moderating effects of service climate on psychological capital, work engagement, and service behavior among flight attendants</title>",3
2018,Canada,Quality of Life Trajectories Predict Mortality in Older Men: The Manitoba Follow-Up Study,<title>Quality of Life Trajectories Predict Mortality in Older Men: The Manitoba Follow-Up Study</title>,97
2018,United States,The effect of metacognitive monitoring feedback on performance in a computer-based training simulation,<title>The effect of metacognitive monitoring feedback on performance in a computer-based training simulation</title>,47
2018,Poland,"Coping with stress, control of emotions and biochemical markers as a common protective element in the inflammatory response to stress","<title>Coping with stress, control of emotions and biochemical markers as a common protective element in the inflammatory response to stress</title>",88
2018,Portugal,A wearable system for the stress monitoring of air traffic controllers during an air traffic control refresher training and the trier social stress test: A comparative study,<title>A wearable system for the stress monitoring of air traffic controllers during an air traffic control refresher training and the trier social stress test: A comparative study</title>,-1
2018,Poland,A machine learning approach to the detection of pilot's reaction to unexpected events based on EEG signals,<title>A machine learning approach to the detection of pilot's reaction to unexpected events based on EEG signals</title>,24
2018,Netherlands,"Pilot mental health, negative life events, and improving safety with peer support and a just culture","<title>Pilot mental health, negative life events, and improving safety with peer support and a just culture</title>",168
2017,Brazil - United Kingdom,Effects of an alternating work shift on air traffic controllers and the relationship with excessive daytime sleepiness and stress; Efeitos do turno de trabalho alternado em controladores de tráfego aéreo e relação com sonolência diurna excessiva e estresse,<title>Effects of an alternating work shift on air traffic controllers and the relationship with excessive daytime sleepiness and stress; Efeitos do turno de trabalho alternado em controladores de tráfego aéreo e relação com sonolência diurna excessiva e estresse</title>,155
2017,United States,The aging physician and the medical profession a review,<title>The aging physician and the medical profession a review</title>,-1
2017,United Kingdom,Predicting jet lag in long-haul cabin crew: The role of illness cognitions and behaviour,<title>Predicting jet lag in long-haul cabin crew: The role of illness cognitions and behaviour</title>,-1
2017,Australia - Finland - Saudi Arabia - United Kingdom - United States,Attention-deficit/hyperactivity disorder and fatal accidents in aviation medicine,<title>Attention-deficit/hyperactivity disorder and fatal accidents in aviation medicine</title>,197
2017,Germany - Netherlands,I spy with my little eye: Analysis of airline pilots’ gaze patterns in a manual instrument flight scenario,<title>I spy with my little eye: Analysis of airline pilots’ gaze patterns in a manual instrument flight scenario</title>,64
2017,Netherlands,Flight performance during exposure to acute hypobaric hypoxia,<title>Flight performance during exposure to acute hypobaric hypoxia</title>,6
2017,Canada - China,Human performance time model of spacecraft control panel operation in simulated microgravity,<title>Human performance time model of spacecraft control panel operation in simulated microgravity</title>,-1
2017,United States,Enhancing the meaningfulness of work for astronauts on long duration space exploration missions,<title>Enhancing the meaningfulness of work for astronauts on long duration space exploration missions</title>,2
2017,Austria - Czechia - Germany - Greece - Italy - Lithuania - Netherlands - United Kingdom,Health effects of airline cabin environments in simulated 8-hour flights,<title>Health effects of airline cabin environments in simulated 8-hour flights</title>,-1
2017,United States,Cognitive deterioration in moderate and severe hypobaric hypoxia conditions,<title>Cognitive deterioration in moderate and severe hypobaric hypoxia conditions</title>,6
2017,United States,The effects of training on anxiety and task performance in simulated suborbital spaceflight,<title>The effects of training on anxiety and task performance in simulated suborbital spaceflight</title>,108
2017,Sweden,Impossible meals? The food and meal situation of flight attendants in Scandinavia – A qualitative interview study,<title>Impossible meals? The food and meal situation of flight attendants in Scandinavia – A qualitative interview study</title>,-1
2017,United Kingdom,Blood-injection-injury (B-I-I) specific phobia affects the outcome of hypoxic challenge testing,<title>Blood-injection-injury (B-I-I) specific phobia affects the outcome of hypoxic challenge testing</title>,84
2017,Norfolk Island - United States,Running Memory for Clinical Handoffs: A Look at Active and Passive Processing,<title>Running Memory for Clinical Handoffs: A Look at Active and Passive Processing</title>,99
2017,Israel,Cognitive evaluation of Israeli air force pilot cadets,<title>Cognitive evaluation of Israeli air force pilot cadets</title>,0
2017,Norway,"Subjective health complaints, work-related stress and self-efficacy in Norwegian aircrew","<title>Subjective health complaints, work-related stress and self-efficacy in Norwegian aircrew</title>",92
2017,United States,Understanding post-deployment reintegration concerns among en route care nurses: A mixed-methods approach,<title>Understanding post-deployment reintegration concerns among en route care nurses: A mixed-methods approach</title>,70
2017,Ireland - United Kingdom,Flying into Depression,<title>Flying into Depression</title>,-1
2017,"Iran, Islamic Republic of - Turkey",Perceived organizational support as the mediator of the relationships between high-performance work practices and counter-productive work behavior: Evidence from airline industry,<title>Perceived organizational support as the mediator of the relationships between high-performance work practices and counter-productive work behavior: Evidence from airline industry</title>,3
2017,United States,Musings on Models and the Genius of Jens Rasmussen,<title>Musings on Models and the Genius of Jens Rasmussen</title>,142
2017,Japan - United States,US air force behavioral health optimization program: Team members' satisfaction and barriers to care,<title>US air force behavioral health optimization program: Team members' satisfaction and barriers to care</title>,0
2017,United Kingdom,The impact of an implementation intention to improve mealtimes and reduce jet lag in long-haul cabin crew,<title>The impact of an implementation intention to improve mealtimes and reduce jet lag in long-haul cabin crew</title>,-1
2017,Brazil,Auditory skills of figure-ground and closure in air traffic controllers,<title>Auditory skills of figure-ground and closure in air traffic controllers</title>,28
2017,"Korea, Republic of",Organizational virtuousness perceptions and task crafting: The mediating roles of organizational identification and work engagement,<title>Organizational virtuousness perceptions and task crafting: The mediating roles of organizational identification and work engagement</title>,3
2017,China,Leader-member exchange and safety citizenship behavior: The mediating role of coworker trust,<title>Leader-member exchange and safety citizenship behavior: The mediating role of coworker trust</title>,3
2017,United Kingdom,Intergenerational conflict at US airlines: an unresolved Oedipal Complex?,<title>Intergenerational conflict at US airlines: an unresolved Oedipal Complex?</title>,111
2017,Netherlands,Risk factors for fatigue among airline pilots,<title>Risk factors for fatigue among airline pilots</title>,18
2016,United States,Airplane pilot mental health and suicidal thoughts: a cross-sectional descriptive study via anonymous web-based survey,<title>Airplane pilot mental health and suicidal thoughts: a cross-sectional descriptive study via anonymous web-based survey</title>,160
2016,China,Application of LC-MS-based global metabolomic profiling methods to human mental fatigue,<title>Application of LC-MS-based global metabolomic profiling methods to human mental fatigue</title>,24
2016,"Taiwan, Province of China - United Kingdom",Pilots' attention distributions between chasing a moving target and a stationary target,<title>Pilots' attention distributions between chasing a moving target and a stationary target</title>,-1
2016,France,Neural and psychophysiological correlates of human performance under stress and high mental workload,<title>Neural and psychophysiological correlates of human performance under stress and high mental workload</title>,74
2016,Germany,Psychometric personality differences between candidates in astronaut selection,<title>Psychometric personality differences between candidates in astronaut selection</title>,13
2016,United States,"Autonomous, computer-based behavioral health countermeasure evaluation at HI-SEAS mars analog","<title>Autonomous, computer-based behavioral health countermeasure evaluation at HI-SEAS mars analog</title>",2
2016,Brazil,Perceptual-auditory and Acoustic Analysis of Air Traffic Controllers’ Voices Pre- and Postshift,<title>Perceptual-auditory and Acoustic Analysis of Air Traffic Controllers’ Voices Pre- and Postshift</title>,28
2016,Sweden,Respiratory illness and allergy related to work and home environment among commercial pilots,<title>Respiratory illness and allergy related to work and home environment among commercial pilots</title>,106
2016,Poland,"Risk profiling of airline pilots: Experience, temperamental traits and aggression","<title>Risk profiling of airline pilots: Experience, temperamental traits and aggression</title>",-1
2016,United States,Potential utility of a cost-effective virtual reality system for treatment of fear of flying,<title>Potential utility of a cost-effective virtual reality system for treatment of fear of flying</title>,61
2016,United States,Compilation of cognitive and personality norms for military aviators,<title>Compilation of cognitive and personality norms for military aviators</title>,1
2016,Portugal - United Kingdom,Sleep and fatigue differences in the two most common types of commercial flight operations,<title>Sleep and fatigue differences in the two most common types of commercial flight operations</title>,-1
2016,Finland - United Kingdom,"Fighter pilots' heart rate, heart rate variation and performance during an instrument flight rules proficiency test","<title>Fighter pilots' heart rate, heart rate variation and performance during an instrument flight rules proficiency test</title>",39
2016,Australia - United States,"Reducing prospective memory error and costs in simulated air traffic control: External aids, extending practice, and removing perceived memory requirements","<title>Reducing prospective memory error and costs in simulated air traffic control: External aids, extending practice, and removing perceived memory requirements</title>",99
2016,"Taiwan, Province of China",Human risk factors associated with pilots in runway excursions,<title>Human risk factors associated with pilots in runway excursions</title>,-1
2016,United States,Recurrence of neurological deficits in an F/A-18D pilot following loss of cabin pressure at altitude,<title>Recurrence of neurological deficits in an F/A-18D pilot following loss of cabin pressure at altitude</title>,103
2016,Greece,Emotion work in the Arab context: Its relationship to job satisfaction and the moderating role of trust to the employer,<title>Emotion work in the Arab context: Its relationship to job satisfaction and the moderating role of trust to the employer</title>,161
2016,Brazil,"Quality of Life, Sleep, and Health of Air Traffic Controllers with Rapid Counterclockwise Shift Rotation","<title>Quality of Life, Sleep, and Health of Air Traffic Controllers with Rapid Counterclockwise Shift Rotation</title>",196
2016,Turkey,An empirical investigation of psychological capital among flight attendants,<title>An empirical investigation of psychological capital among flight attendants</title>,3
2016,,Emotional support animals on commercial flights: a risk to allergic patients,<title>Emotional support animals on commercial flights: a risk to allergic patients</title>,106
2016,Netherlands,Use of gene expression biomarkers to predict suicidality,<title>Use of gene expression biomarkers to predict suicidality</title>,160
2016,United States,Trust of an automatic ground collision avoidance technology: A fighter pilot perspective,<title>Trust of an automatic ground collision avoidance technology: A fighter pilot perspective</title>,86
2016,Italy,How life experience shapes cognitive control strategies: The case of air traffic control training,<title>How life experience shapes cognitive control strategies: The case of air traffic control training</title>,90
2016,Australia,Using memory for prior aircraft events to detect conflicts under conditions of proactive air traffic control and with concurrent task requirements,<title>Using memory for prior aircraft events to detect conflicts under conditions of proactive air traffic control and with concurrent task requirements</title>,99
2016,New Zealand,Estimating long-haul airline pilots' at-home baseline sleep duration,<title>Estimating long-haul airline pilots' at-home baseline sleep duration</title>,114
2016,Germany,Flying the Needles,<title>Flying the Needles</title>,-1
2016,Germany,The relevance of emotional intelligence in personnel selection for high emotional labor jobs,<title>The relevance of emotional intelligence in personnel selection for high emotional labor jobs</title>,161
2016,"Korea, Republic of",Positive psychological capital and emotional labor in Korea: the job demands-resources approach,<title>Positive psychological capital and emotional labor in Korea: the job demands-resources approach</title>,3
2016,Canada,The potential influence of the microbiota and probiotics on women during long spaceflights,<title>The potential influence of the microbiota and probiotics on women during long spaceflights</title>,2
2016,France - New Zealand,Effects of mild hypoxia in aviation on mood and complex cognition,<title>Effects of mild hypoxia in aviation on mood and complex cognition</title>,6
2016,Australia - Germany,Threat of resource loss: The role of self-regulation in adaptive task performance,<title>Threat of resource loss: The role of self-regulation in adaptive task performance</title>,170
2016,,You're the Flight Surgeon: erectile dysfunction,<title>You're the Flight Surgeon: erectile dysfunction</title>,195
2016,United States,"Humans and intelligent vehicles: The hope, the help, and the harm","<title>Humans and intelligent vehicles: The hope, the help, and the harm</title>",40
2016,Portugal,Physiological Factors Analysis in Unpressurized Aircraft Cabins,<title>Physiological Factors Analysis in Unpressurized Aircraft Cabins</title>,103
2016,United States,Designs and Algorithms to Map Eye Tracking Data with Dynamic Multielement Moving Objects,<title>Designs and Algorithms to Map Eye Tracking Data with Dynamic Multielement Moving Objects</title>,93
2015,France,Cognitive workload and psychophysiological parameters during multitask activity in helicopter pilots,<title>Cognitive workload and psychophysiological parameters during multitask activity in helicopter pilots</title>,-1
2015,Australia - Canada,The role of soci(et)al relations in a technology-rich teaching | learning setting: The case of professional development of airline pilots,<title>The role of soci(et)al relations in a technology-rich teaching | learning setting: The case of professional development of airline pilots</title>,46
2015,United States,Development and validation of the Cognition test battery for spaceflight,<title>Development and validation of the Cognition test battery for spaceflight</title>,21
2015,Brazil,"Pain, health perception and sleep: Impact on the quality of life of firefighters/rescue professionals","<title>Pain, health perception and sleep: Impact on the quality of life of firefighters/rescue professionals</title>",9
2015,China,Prevalence and associated factors for temporomandibular disorders in Chinese civilian pilots,<title>Prevalence and associated factors for temporomandibular disorders in Chinese civilian pilots</title>,137
2015,Brazil,"Quality of life, health, and sleep of air traffic controllers with different shift systems","<title>Quality of life, health, and sleep of air traffic controllers with different shift systems</title>",196
2015,France - Germany - Russian Federation - United States,Wireless monitoring of changes in crew relations during long-duration mission simulation,<title>Wireless monitoring of changes in crew relations during long-duration mission simulation</title>,30
2015,China - United States,From trees to forest: relational complexity network and workload of air traffic controllers,<title>From trees to forest: relational complexity network and workload of air traffic controllers</title>,14
2015,China,Developing a measurement for task complexity in flight,<title>Developing a measurement for task complexity in flight</title>,-1
2015,France,A cognitive and virtual reality treatment program for the fear of flying,<title>A cognitive and virtual reality treatment program for the fear of flying</title>,61
2015,Hong Kong - United Kingdom,Individual reactions to stress predict performance during a critical aviation incident,<title>Individual reactions to stress predict performance during a critical aviation incident</title>,82
2015,Austria - Czechia - Russian Federation - Sweden,Radiation environment at aviation altitudes and in space,<title>Radiation environment at aviation altitudes and in space</title>,17
2015,Poland,Preliminary results of the LF/HF ratio as an indicator for estimating difficulty level of flight tasks,<title>Preliminary results of the LF/HF ratio as an indicator for estimating difficulty level of flight tasks</title>,7
2015,Australia,"Effects of simulated domestic and international air travel on sleep, performance, and recovery for team sports","<title>Effects of simulated domestic and international air travel on sleep, performance, and recovery for team sports</title>",9
2015,United States,Exploring relationships of human-automation interaction consequences on pilots: Uncovering subsystems,<title>Exploring relationships of human-automation interaction consequences on pilots: Uncovering subsystems</title>,-1
2015,United States,Surgeons’ Attitudes Are Associated With Reoperation and Readmission Rates,<title>Surgeons’ Attitudes Are Associated With Reoperation and Readmission Rates</title>,145
2015,Australia - France - United Kingdom,Safety sans frontières: An international safety culture model,<title>Safety sans frontières: An international safety culture model</title>,-1
2015,,AsMA medical guidelines for air travel: Stresses of flight,<title>AsMA medical guidelines for air travel: Stresses of flight</title>,200
2015,Germany,Eye-tracking measurements and their link to a normative model of monitoring behaviour,<title>Eye-tracking measurements and their link to a normative model of monitoring behaviour</title>,93
2015,New Zealand - United States,Effects of sleep/wake history and circadian phase on proposed pilot fatigue safety performance indicators,<title>Effects of sleep/wake history and circadian phase on proposed pilot fatigue safety performance indicators</title>,114
2015,United Kingdom,Symptoms of fatigue and coping strategies in maritime pilotage,<title>Symptoms of fatigue and coping strategies in maritime pilotage</title>,18
2015,Australia - Finland - Saudi Arabia - United Kingdom - United States,On doctors' accountability and flight deck safety,<title>On doctors' accountability and flight deck safety</title>,25
2015,United States,From healy's training principles to training specifications: The case of the comprehensive LOFT,<title>From healy's training principles to training specifications: The case of the comprehensive LOFT</title>,26
2015,United States,Sun exposure knowledge and practices survey of maintenance squadrons at travis AFB,<title>Sun exposure knowledge and practices survey of maintenance squadrons at travis AFB</title>,-1
2015,United Kingdom,Finding a needle in a haystack: Toward a psychologically informed method for aviation security screening,<title>Finding a needle in a haystack: Toward a psychologically informed method for aviation security screening</title>,-1
2015,United States,Survivors perceptions of recovery following air medical transport accidents,<title>Survivors perceptions of recovery following air medical transport accidents</title>,166
2014,United States,The Sustained Attention to Response Task (SART) does not promote mindlessness during vigilance performance,<title>The Sustained Attention to Response Task (SART) does not promote mindlessness during vigilance performance</title>,-1
2014,United States,The retention of manual flying skills in the automated cockpit,<title>The retention of manual flying skills in the automated cockpit</title>,-1
2014,New Zealand,War Leaves an Enduring Legacy in Combatants’ Lives,<title>War Leaves an Enduring Legacy in Combatants’ Lives</title>,-1
2014,United States,Effects of sex and gender on adaptation to space: Musculoskeletal health,<title>Effects of sex and gender on adaptation to space: Musculoskeletal health</title>,121
2014,United States,Effects of sex and gender on adaptation to space: Behavioral health,<title>Effects of sex and gender on adaptation to space: Behavioral health</title>,121
2014,Canada - United States,Effects of sex and gender on adaptation to space: Cardiovascular alterations,<title>Effects of sex and gender on adaptation to space: Cardiovascular alterations</title>,121
2014,Australia,Applying Psychological Science to Examine Prospective Memory in Simulated Air Traffic Control,<title>Applying Psychological Science to Examine Prospective Memory in Simulated Air Traffic Control</title>,99
2014,Sweden,"Musculoskeletal symptoms and psychosocial work environment, among Swedish commercial pilots","<title>Musculoskeletal symptoms and psychosocial work environment, among Swedish commercial pilots</title>",92
2014,United States,Four models of family interests,<title>Four models of family interests</title>,-1
2014,Australia,A sequential sampling account of response bias and speed-accuracy tradeoffs in a conflict detection task,<title>A sequential sampling account of response bias and speed-accuracy tradeoffs in a conflict detection task</title>,34
2014,United Kingdom,Improving aircraft safety,<title>Improving aircraft safety</title>,-1
2014,United States,Impact of Combat Deployment on Psychological and Relationship Health: A Longitudinal Study,<title>Impact of Combat Deployment on Psychological and Relationship Health: A Longitudinal Study</title>,70
2014,United States,Risk factors for disability retirement among active duty Air Force personnel,<title>Risk factors for disability retirement among active duty Air Force personnel</title>,0
2014,Hong Kong,Measuring the ability of military aircrews to adapt to perceived stressors when undergoing centrifuge training.,<title>Measuring the ability of military aircrews to adapt to perceived stressors when undergoing centrifuge training.</title>,27
2014,Australia - Canada,On-the-fly scheduling as a manifestation of partial-order planning and dynamic task values,<title>On-the-fly scheduling as a manifestation of partial-order planning and dynamic task values</title>,46
2014,Italy - Russian Federation,Changes in stress hormones and metabolism during a 105-day simulated Mars mission,<title>Changes in stress hormones and metabolism during a 105-day simulated Mars mission</title>,-1
2014,United States,Subject anxiety and psychological considerations for centrifuge-simulated suborbital spaceflight,<title>Subject anxiety and psychological considerations for centrifuge-simulated suborbital spaceflight</title>,108
2014,Switzerland,"Speaking up in ad hoc multiteam systems: Individual-level effects of psychological safety, status, and leadership within and across teams","<title>Speaking up in ad hoc multiteam systems: Individual-level effects of psychological safety, status, and leadership within and across teams</title>",3
2014,Poland,Back pain and its consequences among Polish Air Force pilots flying high performance aircraft,<title>Back pain and its consequences among Polish Air Force pilots flying high performance aircraft</title>,206
2014,Slovakia,Psychological readiness of air traffic controllers for their job,<title>Psychological readiness of air traffic controllers for their job</title>,90
2014,Canada - France,Failure to detect critical auditory alerts in the cockpit: Evidence for inattentional deafness,<title>Failure to detect critical auditory alerts in the cockpit: Evidence for inattentional deafness</title>,89
2014,Germany - United States,Critical Incident Stress Management (CISM) in complex systems: Cultural adaptation and safety impacts in healthcare,<title>Critical Incident Stress Management (CISM) in complex systems: Cultural adaptation and safety impacts in healthcare</title>,110
2014,Canada - United States,Supervisory-level interruption recovery in time-critical control tasks,<title>Supervisory-level interruption recovery in time-critical control tasks</title>,-1
2014,Austria,A speech database for stress monitoring in the cockpit,<title>A speech database for stress monitoring in the cockpit</title>,141
2014,United States,"Mission, physical, and war stressors' impact on aircrew psychological strain","<title>Mission, physical, and war stressors' impact on aircrew psychological strain</title>",70
2014,Japan,Illusory self-motion (Vection) may be inhibited by hypobaric hypoxia,<title>Illusory self-motion (Vection) may be inhibited by hypobaric hypoxia</title>,6
2014,China,An integrated graphic-taxonomic-associative approach to analyze human factors in aviation accidents,<title>An integrated graphic-taxonomic-associative approach to analyze human factors in aviation accidents</title>,43
2014,Brazil,Common mental disorders among civil aviation flight attendants,<title>Common mental disorders among civil aviation flight attendants</title>,0
2013,United States,Influence of flight domain and cockpit display dynamics on pilot perceived clutter,<title>Influence of flight domain and cockpit display dynamics on pilot perceived clutter</title>,193
2013,New Zealand - United States,Circadian adaptation of airline pilots during extended duration operations between the USA and Asia,<title>Circadian adaptation of airline pilots during extended duration operations between the USA and Asia</title>,124
2013,United States,Neuropsychological assessment of decision making in alcohol-dependent commercial pilots,<title>Neuropsychological assessment of decision making in alcohol-dependent commercial pilots</title>,-1
2013,Australia - United States,Minimizing the disruptive effects of prospective memory in simulated air traffic control,<title>Minimizing the disruptive effects of prospective memory in simulated air traffic control</title>,99
2013,Australia,Adaptive decision making in a dynamic environment: A test of a sequential sampling model of relative judgment,<title>Adaptive decision making in a dynamic environment: A test of a sequential sampling model of relative judgment</title>,34
2013,France,Ejection in hostile environments: Medico-psychological aspects for the fighter pilot,<title>Ejection in hostile environments: Medico-psychological aspects for the fighter pilot</title>,-1
2013,France,Effects of the audiovisual conflict on auditory early processes,<title>Effects of the audiovisual conflict on auditory early processes</title>,85
2013,Japan,Two reports of flight-related headache,<title>Two reports of flight-related headache</title>,115
2013,Australia,"Physiological, biochemical, and psychological responses to environmental survival training in the Royal Australian Air Force","<title>Physiological, biochemical, and psychological responses to environmental survival training in the Royal Australian Air Force</title>",-1
2013,United States,Effects of hydration on cognitive function of pilots,<title>Effects of hydration on cognitive function of pilots</title>,122
2013,China,Evolution of group passenger behaviors and airline countermeasures on mass incident during flight delay,<title>Evolution of group passenger behaviors and airline countermeasures on mass incident during flight delay</title>,111
2013,Puerto Rico - Sudan - United States,Introducing Survival Ethics into Engineering Education and Practice,<title>Introducing Survival Ethics into Engineering Education and Practice</title>,-1
2013,China,The effects of risk perception and flight experience on airline pilots' locus of control with regard to safety operation behaviors,<title>The effects of risk perception and flight experience on airline pilots' locus of control with regard to safety operation behaviors</title>,15
2013,Norway - Sweden - United Kingdom - United States,The role of psychological capital in perception of safety climate among air traffic controllers,<title>The role of psychological capital in perception of safety climate among air traffic controllers</title>,3
2013,United States,Technical and operational users' opinions of a handheld device to detect directed energy,<title>Technical and operational users' opinions of a handheld device to detect directed energy</title>,100
2013,France,Fuzzy-TLX: Using fuzzy integrals for evaluating human mental workload with NASA-Task Load indeX in laboratory and field studies,<title>Fuzzy-TLX: Using fuzzy integrals for evaluating human mental workload with NASA-Task Load indeX in laboratory and field studies</title>,94
2013,Canada,Simulated night vision goggle wear and colored aftereffects,<title>Simulated night vision goggle wear and colored aftereffects</title>,23
2013,United States,Potential utility of full motion flight simulators for treatment of individuals with a fear of flying,<title>Potential utility of full motion flight simulators for treatment of individuals with a fear of flying</title>,61
2013,Australia,The moderating effect of individual differences in error-management training: Who learns from mistakes?,<title>The moderating effect of individual differences in error-management training: Who learns from mistakes?</title>,34
2013,Australia - United Kingdom,"The effect of psychological skills training (PST) on self-regulation behavior, self-efficacy, and psychological skill use in military pilot-trainees","<title>The effect of psychological skills training (PST) on self-regulation behavior, self-efficacy, and psychological skill use in military pilot-trainees</title>",15
2013,Canada - France,Evaluation of head-free eye tracking as an input device for air traffic control,<title>Evaluation of head-free eye tracking as an input device for air traffic control</title>,-1
2013,Russian Federation,Psychology of flight attendant's profession,<title>Psychology of flight attendant's profession</title>,184
2012,Germany - United States,Professional aircrews' attitudes toward infectious diseases and aviation medical issues,<title>Professional aircrews' attitudes toward infectious diseases and aviation medical issues</title>,106
2012,"Taiwan, Province of China","Relationships among service climate, psychological contract, work engagement and service performance","<title>Relationships among service climate, psychological contract, work engagement and service performance</title>",3
2012,"Taiwan, Province of China",Turnover intention of air traffic controllers in Taiwan: A note,<title>Turnover intention of air traffic controllers in Taiwan: A note</title>,119
2012,India - United States,"Mental and physical workload, salivary stress biomarkers and taste perception: Mars desert research station expedition","<title>Mental and physical workload, salivary stress biomarkers and taste perception: Mars desert research station expedition</title>",-1
2012,New Zealand,Hypoxia training: Symptom replication in experienced military aircrew,<title>Hypoxia training: Symptom replication in experienced military aircrew</title>,84
2012,Germany - United States,Effective rotations: Action effects determine the interplay of mental and manual rotations,<title>Effective rotations: Action effects determine the interplay of mental and manual rotations</title>,65
2012,China - Germany,Body posture as an indicator of workload in mental work,<title>Body posture as an indicator of workload in mental work</title>,-1
